threshold,method,collapsed_cells_of63,collapsed_runs_of126
0,TD3+BC,2,12
0,MPI-Prox K=2,2,6
0,MPI-Prox K=3,1,6
0,MPI-Prox K=4,0,2
0,MPI-Lin K=2,0,6
0,MPI-Lin K=3,2,12
10,TD3+BC,29,66
10,MPI-Prox K=2,20,51
10,MPI-Prox K=3,15,39
10,MPI-Prox K=4,9,26
10,MPI-Lin K=2,28,54
10,MPI-Lin K=3,21,46
20,TD3+BC,35,68
20,MPI-Prox K=2,25,53
20,MPI-Prox K=3,17,41
20,MPI-Prox K=4,9,29
20,MPI-Lin K=2,29,58
20,MPI-Lin K=3,24,53
30,TD3+BC,36,74
30,MPI-Prox K=2,26,56
30,MPI-Prox K=3,19,44
30,MPI-Prox K=4,11,29
30,MPI-Lin K=2,29,63
30,MPI-Lin K=3,24,55
40,TD3+BC,39,83
40,MPI-Prox K=2,26,60
40,MPI-Prox K=3,20,48
40,MPI-Prox K=4,12,30
40,MPI-Lin K=2,32,64
40,MPI-Lin K=3,24,57
