tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,37.5131,19.2875,108.8063,44.2422,41.7305,92.5999,73.5187,11.4363,106.865
0.1,41.0404,28.3334,100.7423,43.928,42.4882,91.648,77.1132,12.3794,107.6103
0.2,50.4887,79.2299,106.361,44.3532,43.0689,92.6214,78.3829,44.1654,106.963
0.4,46.6555,72.9707,104.3096,45.9443,43.634,94.4914,84.3794,77.0439,108.0034
0.7,47.5035,96.4719,110.177,47.0387,44.3195,96.3081,83.3762,67.3739,108.9763
1.5,59.0077,98.6069,93.8827,49.308,46.6637,93.1587,83.5288,86.2259,110.1867
2.5,62.768,99.1763,102.5674,50.8274,48.862,97.5771,87.4311,89.3321,111.1642
4,60.4082,98.3578,105.7298,53.2735,48.5725,79.2962,88.6198,85.446,112.0199
7,91.0527,96.8385,95.2599,57.4924,51.9042,39.4311,89.0989,90.4913,113.7166
10,97.3839,100.0555,5.2839,60.6676,52.0159,38.5082,98.8678,88.7049,-0.7599
12,101.2027,99.9692,1.2771,60.5151,52.3896,27.3577,96.2211,91.4094,-0.6984
14,86.4182,100.233,1.8199,60.8591,52.0286,18.8741,2.3684,95.924,-0.2713
17,0.6088,102.2712,1.8199,59.5174,54.6524,1.8337,2.3684,91.8263,-0.2713
20,102.3105,99.6501,1.8199,63.0331,55.6714,18.7509,2.3684,96.9457,-0.2713
