tau,hopper-medium-v2,hopper-medium-replay-v2,hopper-expert-v2,halfcheetah-medium-v2,halfcheetah-medium-replay-v2,halfcheetah-expert-v2,walker2d-medium-v2,walker2d-medium-replay-v2,walker2d-expert-v2
0.05,49.3687,22.7801,93.5826,42.8212,41.5367,92.8191,77.3352,19.1115,106.8505
0.1,52.7408,25.0796,92.3437,43.8748,41.6726,93.3470,71.4010,47.3950,106.2879
0.2,48.2177,30.0545,100.0757,44.1317,42.3499,93.6129,80.3980,54.7302,107.4209
0.4,58.0026,54.7759,108.5464,46.0710,42.9901,95.6252,83.2759,73.0430,107.4915
0.7,57.8448,50.7339,98.8673,46.7905,43.3170,96.0781,79.2770,0.7568,108.7362
1.5,49.6530,99.1486,105.7335,49.2037,45.8414,97.2880,79.4394,1.3717,110.2666
2.5,46.0002,100.1448,91.8080,51.6258,49.1057,95.9789,89.2328,84.5367,111.1741
4,49.7044,99.9334,100.0745,53.5561,49.9935,62.3014,89.4978,74.0763,111.9152
7,74.8986,100.1943,0.6246,54.9632,51.7260,53.3175,12.6708,91.5273,-0.3933
10,67.1262,99.0671,1.8199,55.5465,47.8335,2.4598,2.3738,88.9754,-0.2521
12,0.7329,99.2866,1.8229,55.0657,46.0333,4.0991,2.3543,42.3460,-0.2713
14,0.5807,99.3824,1.8184,52.5757,48.6031,1.1478,2.3684,22.3575,-0.2713
17,0.7899,20.1887,1.8199,52.6538,47.3388,2.6362,2.3684,80.0613,-0.2713
20,1.8199,101.8985,1.8199,52.0721,35.9376,12.2412,2.3684,0.4106,-0.2713
24,,,,,,,,,
28,,,,,,,,,
34,,,,,,,,,
40,,,,,,,,,
