method,K,integrator,T,h,seed,environment,score,status,source_csv
TD3+BC,1,Imp,0.05,0.05,0,antmaze-umaze-diverse-v2,40,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.05,0.05,1,antmaze-umaze-diverse-v2,46,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.05,0.05,2,antmaze-umaze-diverse-v2,40,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.05,0.05,3,antmaze-umaze-diverse-v2,54,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.1,0.1,0,antmaze-umaze-diverse-v2,42,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.1,0.1,1,antmaze-umaze-diverse-v2,44,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.1,0.1,2,antmaze-umaze-diverse-v2,40,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.1,0.1,3,antmaze-umaze-diverse-v2,47,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.2,0.2,0,antmaze-umaze-diverse-v2,47,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.2,0.2,1,antmaze-umaze-diverse-v2,49,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.2,0.2,2,antmaze-umaze-diverse-v2,46,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.2,0.2,3,antmaze-umaze-diverse-v2,62,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.4,0.4,0,antmaze-umaze-diverse-v2,34,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.4,0.4,1,antmaze-umaze-diverse-v2,31,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.4,0.4,2,antmaze-umaze-diverse-v2,48,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.4,0.4,3,antmaze-umaze-diverse-v2,47,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.7,0.7,0,antmaze-umaze-diverse-v2,51,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.7,0.7,1,antmaze-umaze-diverse-v2,51,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.7,0.7,2,antmaze-umaze-diverse-v2,48,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.7,0.7,3,antmaze-umaze-diverse-v2,54,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,1.5,1.5,0,antmaze-umaze-diverse-v2,48,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,1.5,1.5,1,antmaze-umaze-diverse-v2,52,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,1.5,1.5,2,antmaze-umaze-diverse-v2,42,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,1.5,1.5,3,antmaze-umaze-diverse-v2,53,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,2.5,2.5,0,antmaze-umaze-diverse-v2,0,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,2.5,2.5,1,antmaze-umaze-diverse-v2,4,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,2.5,2.5,2,antmaze-umaze-diverse-v2,13,available,K=1/Imp/seed2.csv
