method,K,T,seeds,available_runs,expected_runs,status,mean_score,std_seed,scores
TD3+BC,1,0.05,"0,1,2,3",4,4,complete,45,6.633,"40,46,40,54"
TD3+BC,1,0.1,"0,1,2,3",4,4,complete,43.25,2.986,"42,44,40,47"
TD3+BC,1,0.2,"0,1,2,3",4,4,complete,51,7.439,"47,49,46,62"
TD3+BC,1,0.4,"0,1,2,3",4,4,complete,40,8.756,"34,31,48,47"
TD3+BC,1,0.7,"0,1,2,3",4,4,complete,51,2.449,"51,51,48,54"
TD3+BC,1,1.5,"0,1,2,3",4,4,complete,48.75,4.992,"48,52,42,53"
TD3+BC,1,2.5,"0,1,2,3",4,4,complete,15.5,20.4,"0,4,13,45"
TD3+BC,1,4,"0,1,2,3",4,4,complete,15.75,24.72,"11,0,0,52"
TD3+BC,1,7,"0,1,2,3",4,4,complete,9.25,12.74,"27,0,10,0"
TD3+BC,1,10,"0,1,2,3",4,4,complete,8.5,13.87,"0,5,0,29"
TD3+BC,1,12,"0,1,2,3",4,4,complete,23,36.23,"77,5,0,10"
TD3+BC,1,14,"0,1,2,3",4,4,complete,0.5,0.5774,"1,1,0,0"
TD3+BC,1,17,"0,1,2,3",4,4,complete,0,0,"0,0,0,0"
TD3+BC,1,20,"0,1,2,3",4,4,complete,9.75,19.5,"0,0,0,39"
I-MART-2,2,0.05,"0,1,2,3",4,4,complete,44,2.944,"44,45,40,47"
I-MART-2,2,0.1,"0,1,2,3",4,4,complete,46.25,2.062,"44,46,46,49"
I-MART-2,2,0.2,"0,1,2,3",4,4,complete,50.5,9.849,"41,59,43,59"
I-MART-2,2,0.4,"0,1,2,3",4,4,complete,49,8.042,"48,55,38,55"
I-MART-2,2,0.7,"0,1,2,3",4,4,complete,52.25,5.737,"53,52,45,59"
I-MART-2,2,1.5,"0,1,2,3",4,4,complete,46,12.41,"30,45,49,60"
I-MART-2,2,2.5,"0,1,2,3",4,4,complete,40.5,3.873,"36,42,45,39"
I-MART-2,2,4,"0,1,2,3",4,4,complete,45,12.33,"49,55,49,27"
I-MART-2,2,7,"0,1,2,3",4,4,complete,25.25,39.72,"84,15,1,1"
I-MART-2,2,10,"0,1,2,3",4,4,complete,11.25,20.55,"42,0,0,3"
I-MART-2,2,12,"0,1,2,3",4,4,complete,17,19.06,"1,33,34,0"
I-MART-2,2,14,"0,1,2,3",4,4,complete,10.75,12.58,"0,19,0,24"
I-MART-2,2,17,"0,1,2,3",4,4,complete,20,36.04,"0,4,74,2"
I-MART-2,2,20,"0,1,2,3",4,4,complete,0,0,"0,0,0,0"
I-MART-3,3,0.05,"0,1,2,3",4,4,complete,46.5,6.758,"44,55,39,48"
I-MART-3,3,0.1,"0,1,2,3",4,4,complete,45.5,5.916,"39,50,42,51"
I-MART-3,3,0.2,"0,1,2,3",4,4,complete,44.75,4.113,"42,46,41,50"
I-MART-3,3,0.4,"0,1,2,3",4,4,complete,40.5,10.85,"42,50,25,45"
I-MART-3,3,0.7,"0,1,2,3",4,4,complete,42.5,4.933,"42,49,37,42"
I-MART-3,3,1.5,"0,1,2,3",4,4,complete,44.75,5.909,"39,47,41,52"
I-MART-3,3,2.5,"0,1,2,3",4,4,complete,44.25,5.315,"44,44,38,51"
I-MART-3,3,4,"0,1,2,3",4,4,complete,42,8.042,"32,40,51,45"
I-MART-3,3,7,"0,1,2,3",4,4,complete,53.75,37.12,"0,79,78,58"
I-MART-3,3,10,"0,1,2,3",4,4,complete,9.75,11.87,"7,0,5,27"
I-MART-3,3,12,"0,1,2,3",4,4,complete,21.5,35.11,"6,6,0,74"
I-MART-3,3,14,"0,1,2,3",1,4,partial,0,0,0
I-MART-3,3,17,"0,1,2,3",0,4,missing,,,
I-MART-3,3,20,"0,1,2,3",0,4,missing,,,
I-MART-4,4,0.05,"0,1,2,3",0,4,missing,,,
I-MART-4,4,0.1,"0,1,2,3",0,4,missing,,,
I-MART-4,4,0.2,"0,1,2,3",0,4,missing,,,
I-MART-4,4,0.4,"0,1,2,3",0,4,missing,,,
I-MART-4,4,0.7,"0,1,2,3",0,4,missing,,,
I-MART-4,4,1.5,"0,1,2,3",0,4,missing,,,
I-MART-4,4,2.5,"0,1,2,3",0,4,missing,,,
I-MART-4,4,4,"0,1,2,3",0,4,missing,,,
I-MART-4,4,7,"0,1,2,3",0,4,missing,,,
I-MART-4,4,10,"0,1,2,3",0,4,missing,,,
I-MART-4,4,12,"0,1,2,3",0,4,missing,,,
I-MART-4,4,14,"0,1,2,3",0,4,missing,,,
I-MART-4,4,17,"0,1,2,3",0,4,missing,,,
I-MART-4,4,20,"0,1,2,3",0,4,missing,,,
