environment,seed,method,integrator,s,t,total,pi_u_vs_continue_pi_s_rms,pi_u_vs_continue_pi_t_rms,relative_pi_u_vs_continue_mean,order_defect_rms,relative_order_defect,actor_gap_pi_s_to_pi_u_rms,actor_gap_aD_to_pi_u_rms,pi_s_vs_Phi_s_aD_rms,pi_u_vs_Phi_u_aD_rms,relative_pi_u_vs_Phi_u_aD,pi_u_vs_Phi_t_Phi_s_aD_rms,relative_pi_u_vs_Phi_t_Phi_s_aD,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,solver_converged_sample_fraction,all_solver_calls_converged,max_solver_iterations,max_fixed_point_residual,max_projection_fraction,all_numeric_outputs_finite,n_states
halfcheetah-medium-v2,2,mpi1,explicit,0.05,0.05,0.1,0.07421576262659749,0.07421576262659749,0.3036243468975648,0.0,0.0,0.07406161303369715,0.24443284402234058,0.24062299451132413,0.24390087628852536,0.9978236650809226,0.24389857292450923,0.9978142417809346,0.0025146329754532344,0.010287623111824542,1.0,True,1,0.0,0.005859375,True,512
halfcheetah-medium-v2,2,mpi1,implicit,0.05,0.05,0.1,0.07380544803330137,0.07380544803330137,0.29870277923609,0.0,0.0,0.07363206470859332,0.24708657958273195,0.24717570918067808,0.25154333083066366,0.9978627369407336,0.2515462679421681,0.9978743883493193,0.00045987399290837766,0.0018243024758240875,0.701171875,False,200,0.01257091760635376,0.005859375,True,512
halfcheetah-medium-v2,2,mpi1,explicit,0.1,0.1,0.2,0.09162633576572175,0.09162633576572175,0.3645356607775054,0.0,0.0,0.09068037443085757,0.2513508159127564,0.24390087628852536,0.25022576029090776,0.9955239627221297,0.25029536780110945,0.9958008964171683,0.0027082355981640992,0.010774723719632265,1.0,True,1,0.0,0.01953125,True,512
halfcheetah-medium-v2,2,mpi1,implicit,0.1,0.1,0.2,0.08969796929086345,0.08969796929086345,0.35053563800417115,0.0,0.0,0.08912012784066768,0.2558883022609989,0.27104352328027204,0.27682280792947356,0.9986990520755757,0.27682156698164595,0.9986945750838554,0.0005521940631331696,0.0019921613090253644,0.53125,False,200,0.060914576053619385,0.015625,True,512
halfcheetah-medium-v2,2,mpi1,explicit,0.2,0.2,0.4,0.09634886478199951,0.09634886478199951,0.40062839577459514,0.0,0.0,0.09501681448406389,0.2404943478749522,0.25022576029090776,0.23905142488511336,0.9940001792034252,0.23861763046776838,0.9921964178211804,0.010874495842971515,0.04521726160743634,1.0,True,1,0.0,0.060546875,True,512
halfcheetah-medium-v2,2,mpi1,implicit,0.2,0.2,0.4,0.10021367405125563,0.10021367405125563,0.4077421336698394,0.0,0.0,0.09952691790848998,0.2457770874677414,0.2950575395533984,0.27365836169435953,0.9944005879621047,0.2736630186050904,0.994417509918153,0.0022234619090017345,0.008079460155842336,0.396484375,False,200,0.03703686594963074,0.064453125,True,512
halfcheetah-medium-v2,2,mpi1,explicit,1.5,2.5,4.0,0.1769398652100572,0.1354124357173521,0.5621635585507612,0.167162324231263,0.6017088189614597,0.1348149328216775,0.2778126544992022,0.2522582721238725,0.2762842880421024,0.9944985714928828,0.26744883047880613,0.9626949174108775,0.05795843890404247,0.2086241859951304,1.0,True,1,0.0,0.576171875,True,512
halfcheetah-medium-v2,2,mpi1,implicit,1.5,2.5,4.0,0.17009626611931644,0.13048297469259798,0.3668908733391461,0.15924068031578995,0.3887424302115286,0.16147792190998833,0.40963030515897486,0.5329811779912099,0.5299522113566778,1.0211502185170855,0.5300902709016162,1.0214162416253227,0.009172225858342356,0.017673707626498687,0.03515625,False,200,0.5884442925453186,0.521484375,True,512
halfcheetah-medium-v2,2,mpi1,explicit,4.0,10.0,14.0,0.34628540604617847,0.25942859021677467,0.8695519789566913,0.34582745274002324,0.9929271826734946,0.2231783341779538,0.3482908503006933,0.2762842880421024,0.3703814299688227,1.0289489196443704,0.3409562971268019,0.9472035722851955,0.20002151186314177,0.5556755870685467,1.0,True,1,0.0,0.74609375,True,512
halfcheetah-medium-v2,2,mpi1,implicit,4.0,10.0,14.0,0.3803175472421052,0.4624865606006876,0.769800339767386,0.44954514419110575,0.821211006255897,0.3426105155462096,0.5474173394736788,0.5892668365870525,0.6196639403228075,1.1050601162739968,0.6195168984238109,1.1047978932730622,0.00048332622089761326,0.0008619261104416561,0.00390625,False,200,1.1650770902633667,0.732421875,True,512
