environment,seed,tau,method_a,method_b,final_action_rms,relative_final_action_rms,aD_to_final_a_rms,aD_to_final_b_rms,n_states
halfcheetah-medium-v2,2,0.05,mpi1,mpi2,0.09872859400556347,0.3885699923829913,0.2409804692240663,0.2540818795607159,512
halfcheetah-medium-v2,2,0.05,mpi1,mpi3,0.10492142353390989,0.4062270556817904,0.2409804692240663,0.2582827068419045,512
halfcheetah-medium-v2,2,0.05,mpi2,mpi3,0.07043473981760512,0.27270404851656754,0.2540818795607159,0.2582827068419045,512
halfcheetah-medium-v2,2,0.1,mpi1,mpi2,0.09612727816596738,0.37775564315222554,0.24443284402234058,0.2544694696386855,512
halfcheetah-medium-v2,2,0.1,mpi1,mpi3,0.10341044701926025,0.4035014081402012,0.24443284402234058,0.2562827413562064,512
halfcheetah-medium-v2,2,0.1,mpi2,mpi3,0.07275405489925166,0.2838819910940904,0.2544694696386855,0.2562827413562064,512
halfcheetah-medium-v2,2,0.2,mpi1,mpi2,0.07722661450327888,0.30266389858450626,0.2513508159127564,0.25515634624562455,512
halfcheetah-medium-v2,2,0.2,mpi1,mpi3,0.08374885633507295,0.32350096502222275,0.2513508159127564,0.2588828640103743,512
halfcheetah-medium-v2,2,0.2,mpi2,mpi3,0.0700269093583448,0.27049650283356946,0.25515634624562455,0.2588828640103743,512
halfcheetah-medium-v2,2,0.4,mpi1,mpi2,0.10059871780710074,0.39261010444562033,0.2404943478749522,0.256230587720481,512
halfcheetah-medium-v2,2,0.4,mpi1,mpi3,0.10632319698012983,0.41030788747810304,0.2404943478749522,0.2591302780788098,512
halfcheetah-medium-v2,2,0.4,mpi2,mpi3,0.0703726094386253,0.2715723147459547,0.256230587720481,0.2591302780788098,512
halfcheetah-medium-v2,2,1.5,mpi1,mpi2,0.10894544901667988,0.409173520645603,0.25350867025891133,0.26625732976264777,512
halfcheetah-medium-v2,2,1.5,mpi1,mpi3,0.10948030609644775,0.408235034140368,0.25350867025891133,0.2681795949408985,512
halfcheetah-medium-v2,2,1.5,mpi2,mpi3,0.08503289021718524,0.3170744225932805,0.26625732976264777,0.2681795949408985,512
halfcheetah-medium-v2,2,2.5,mpi1,mpi2,0.11062393945890135,0.39970392513107805,0.26556712693089785,0.2767647063326275,512
halfcheetah-medium-v2,2,2.5,mpi1,mpi3,0.11670200871577491,0.4211653843485113,0.26556712693089785,0.27709306854906396,512
halfcheetah-medium-v2,2,2.5,mpi2,mpi3,0.0999176209267466,0.3605922784353392,0.2767647063326275,0.27709306854906396,512
halfcheetah-medium-v2,2,4.0,mpi1,mpi2,0.1319206746264848,0.45775532161546745,0.2778126544992022,0.28819036807900483,512
halfcheetah-medium-v2,2,4.0,mpi1,mpi3,0.13832196764031826,0.4737126233421473,0.2778126544992022,0.2919955281419908,512
halfcheetah-medium-v2,2,4.0,mpi2,mpi3,0.11305292072170975,0.3871734661180656,0.28819036807900483,0.2919955281419908,512
halfcheetah-medium-v2,2,7.0,mpi1,mpi2,0.16397058242928614,0.5348346173499164,0.2971121997157259,0.3065818425175125,512
halfcheetah-medium-v2,2,7.0,mpi1,mpi3,0.1820698400011469,0.5759192740732512,0.2971121997157259,0.3161377786741505,512
halfcheetah-medium-v2,2,7.0,mpi2,mpi3,0.15128929906334787,0.4785549506226042,0.3065818425175125,0.3161377786741505,512
halfcheetah-medium-v2,2,10.0,mpi1,mpi2,0.23230686487556523,0.7001430853652516,0.3270485689665314,0.33179912753744484,512
