environment,seed,integrator,s,t,total,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,pi_u_vs_Phi_u_aD_rms,pi_u_vs_Phi_t_Phi_s_aD_rms,solver_converged_sample_fraction,all_numeric_outputs_finite
halfcheetah-medium-v2,2,explicit,0.05,0.05,0.1,0.0025146329754532344,0.010287623111824542,0.24390087628852536,0.24389857292450923,1.0,True
halfcheetah-medium-v2,2,implicit,0.05,0.05,0.1,0.00045987399290837766,0.0018243024758240875,0.25154333083066366,0.2515462679421681,0.701171875,True
halfcheetah-medium-v2,2,explicit,0.1,0.1,0.2,0.0027082355981640992,0.010774723719632265,0.25022576029090776,0.25029536780110945,1.0,True
halfcheetah-medium-v2,2,implicit,0.1,0.1,0.2,0.0005521940631331696,0.0019921613090253644,0.27682280792947356,0.27682156698164595,0.53125,True
halfcheetah-medium-v2,2,explicit,0.2,0.2,0.4,0.010874495842971515,0.04521726160743634,0.23905142488511336,0.23861763046776838,1.0,True
halfcheetah-medium-v2,2,implicit,0.2,0.2,0.4,0.0022234619090017345,0.008079460155842336,0.27365836169435953,0.2736630186050904,0.396484375,True
halfcheetah-medium-v2,2,explicit,1.5,2.5,4.0,0.05795843890404247,0.2086241859951304,0.2762842880421024,0.26744883047880613,1.0,True
halfcheetah-medium-v2,2,implicit,1.5,2.5,4.0,0.009172225858342356,0.017673707626498687,0.5299522113566778,0.5300902709016162,0.03515625,True
halfcheetah-medium-v2,2,explicit,4.0,10.0,14.0,0.20002151186314177,0.5556755870685467,0.3703814299688227,0.3409562971268019,1.0,True
halfcheetah-medium-v2,2,implicit,4.0,10.0,14.0,0.00048332622089761326,0.0008619261104416561,0.6196639403228075,0.6195168984238109,0.00390625,True
halfcheetah-medium-v2,2,explicit,7.0,7.0,14.0,0.18129226470049667,0.5036442564605886,0.3703814299688227,0.3334020827902837,1.0,True
halfcheetah-medium-v2,2,implicit,7.0,7.0,14.0,0.039861966057622766,0.06344463983224309,0.6413336980701656,0.6371118934156719,0.013671875,True
halfcheetah-medium-v2,2,explicit,7.0,10.0,17.0,0.23368908329554605,0.5914456807230851,0.39298569210108986,0.3503318356634808,1.0,True
halfcheetah-medium-v2,2,implicit,7.0,10.0,17.0,0.013747723915021224,0.022447634120529723,0.6463171142231527,0.6465531064390316,0.021484375,True
halfcheetah-medium-v2,2,explicit,10.0,10.0,20.0,0.26559614682968796,0.5708683379756453,0.4515649092319648,0.39448946167895127,1.0,True
halfcheetah-medium-v2,2,implicit,10.0,10.0,20.0,0.0005844385646975667,0.0008217711395420348,0.8455161677914238,0.8451140816210838,0.001953125,True
halfcheetah-medium-v2,3,explicit,0.05,0.05,0.1,0.0023794506276268767,0.009401029191593703,0.25255092477374225,0.2525799727083651,1.0,True
halfcheetah-medium-v2,3,implicit,0.05,0.05,0.1,0.00036099104804633233,0.0013234262019047643,0.2720670685298792,0.2720644617348234,0.677734375,True
halfcheetah-medium-v2,3,explicit,0.1,0.1,0.2,0.002516972845294905,0.009860050467806157,0.2546280476254191,0.254642231182199,1.0,True
halfcheetah-medium-v2,3,implicit,0.1,0.1,0.2,0.0007476813855974402,0.0026659559719576184,0.28059667785989684,0.2806104976650529,0.544921875,True
halfcheetah-medium-v2,3,explicit,0.2,0.2,0.4,0.004562566913661105,0.01804075635028597,0.25132402272756577,0.25139087959682704,1.0,True
halfcheetah-medium-v2,3,implicit,0.2,0.2,0.4,0.0012740603179409093,0.00439439552452739,0.288641700277122,0.28869161905430235,0.412109375,True
halfcheetah-medium-v2,3,explicit,1.5,2.5,4.0,0.06651969461705935,0.23957209657174727,0.2799267365929046,0.27225082950791046,1.0,True
halfcheetah-medium-v2,3,implicit,1.5,2.5,4.0,0.002436058229244537,0.004810398856581032,0.5149358712981108,0.5145350875275322,0.037109375,True
halfcheetah-medium-v2,3,explicit,4.0,10.0,14.0,0.1883959653854661,0.5346678238955908,0.3717827122610751,0.3411157144241928,1.0,True
halfcheetah-medium-v2,3,implicit,4.0,10.0,14.0,0.002449673928650037,0.003803594743295247,0.670995185036125,0.6705977092162174,0.005859375,True
halfcheetah-medium-v2,3,explicit,7.0,7.0,14.0,0.17935779434135407,0.5090174909159848,0.3717827122610751,0.33329684907230084,1.0,True
halfcheetah-medium-v2,3,implicit,7.0,7.0,14.0,0.013094254969005122,0.020906105098018733,0.7127344343393935,0.7106317181048617,0.0078125,True
halfcheetah-medium-v2,3,explicit,7.0,10.0,17.0,0.20617009867027145,0.5416670758573402,0.3943212215933117,0.3547602211594305,1.0,True
halfcheetah-medium-v2,3,implicit,7.0,10.0,17.0,0.013360004730337244,0.015216724811556332,0.9621473826471139,0.9574911556094067,0.00390625,True
halfcheetah-medium-v2,3,explicit,10.0,10.0,20.0,0.225465209731123,0.5330090616969679,0.42295106977977187,0.369366508234401,1.0,True
halfcheetah-medium-v2,3,implicit,10.0,10.0,20.0,0.03570867479440061,0.04271615631680143,0.8723954459697959,0.8736531281557229,0.0078125,True
halfcheetah-medium-replay-v2,2,explicit,0.05,0.05,0.1,0.01982011465447125,0.04748026205657986,0.41725764450823205,0.4169857921099526,1.0,True
halfcheetah-medium-replay-v2,2,implicit,0.05,0.05,0.1,0.001679288601951519,0.0033132113266806907,0.5060074414995802,0.5060325701548213,0.345703125,True
halfcheetah-medium-replay-v2,2,explicit,0.1,0.1,0.2,0.04086933263111459,0.0969857029473263,0.42233755843762766,0.419378504939633,1.0,True
halfcheetah-medium-replay-v2,2,implicit,0.1,0.1,0.2,0.0009503287131040051,0.0018504581405198244,0.5099742669436775,0.5099902717666146,0.298828125,True
halfcheetah-medium-replay-v2,2,explicit,0.2,0.2,0.4,0.042038715427213776,0.09975619047387609,0.41948466091298436,0.4178215943585951,1.0,True
halfcheetah-medium-replay-v2,2,implicit,0.2,0.2,0.4,0.00018035942859659729,0.0003461456717598483,0.5177577402463399,0.5177707207750877,0.263671875,True
halfcheetah-medium-replay-v2,2,explicit,1.5,2.5,4.0,0.19019150497563264,0.42424448676479853,0.4756843673459907,0.44590627281128703,1.0,True
halfcheetah-medium-replay-v2,2,implicit,1.5,2.5,4.0,0.001330508237672336,0.0025250226116613436,0.5148935318353883,0.514882135588701,0.142578125,True
halfcheetah-medium-replay-v2,2,explicit,4.0,10.0,14.0,0.4373121576050343,0.7648454417524055,0.5840284169404121,0.527507020874308,1.0,True
halfcheetah-medium-replay-v2,2,implicit,4.0,10.0,14.0,0.004919051087086656,0.009047754365321006,0.5220810731430794,0.5222144651726541,0.05078125,True
halfcheetah-medium-replay-v2,2,explicit,7.0,7.0,14.0,0.40203907665191047,0.7031539138257422,0.5840284169404121,0.5122674244320922,1.0,True
halfcheetah-medium-replay-v2,2,implicit,7.0,7.0,14.0,0.0036295183204608818,0.006431897476357537,0.5394214898790254,0.539856887271512,0.03125,True
halfcheetah-medium-replay-v2,2,explicit,7.0,10.0,17.0,0.48362005224325494,0.8052849730198881,0.6329121442539536,0.5615454820165624,1.0,True
halfcheetah-medium-replay-v2,2,implicit,7.0,10.0,17.0,0.013873037667371399,0.023758865304519136,0.5723824866385129,0.5727750774065146,0.01953125,True
halfcheetah-medium-replay-v2,2,explicit,10.0,10.0,20.0,0.4990994603500806,0.7909860748180054,0.6542423223219476,0.5773680360202902,1.0,True
halfcheetah-medium-replay-v2,2,implicit,10.0,10.0,20.0,0.006217674880581481,0.011700834176236073,0.5253682897029011,0.5260373734221545,0.02734375,True
halfcheetah-medium-replay-v2,3,explicit,0.05,0.05,0.1,0.02162420883912274,0.05226066231003706,0.4138845408558309,0.41275759399811257,1.0,True
halfcheetah-medium-replay-v2,3,implicit,0.05,0.05,0.1,0.006361074422147468,0.012724310467619338,0.4987830962629154,0.4984509471102549,0.326171875,True
halfcheetah-medium-replay-v2,3,explicit,0.1,0.1,0.2,0.03108417997210082,0.07420201685364344,0.4215510528634615,0.4206880194668377,1.0,True
halfcheetah-medium-replay-v2,3,implicit,0.1,0.1,0.2,0.0020330001978205946,0.004044683773502773,0.5016154246401168,0.5016142727976424,0.30078125,True
halfcheetah-medium-replay-v2,3,explicit,0.2,0.2,0.4,0.04494680157827411,0.1077161024804697,0.4188598463700287,0.4158864171306658,1.0,True
halfcheetah-medium-replay-v2,3,implicit,0.2,0.2,0.4,0.0008512315990529739,0.0017010884275345274,0.49915306364413736,0.4990921820423837,0.29296875,True
halfcheetah-medium-replay-v2,3,explicit,1.5,2.5,4.0,0.1959218883715464,0.43183968613727214,0.48402010384826655,0.45215154334414415,1.0,True
halfcheetah-medium-replay-v2,3,implicit,1.5,2.5,4.0,0.0009719078577139647,0.0018270028671719227,0.5300704355173312,0.530130355177333,0.154296875,True
halfcheetah-medium-replay-v2,3,explicit,4.0,10.0,14.0,0.4456485208890682,0.7863962277780857,0.5771616027565896,0.5183176323672763,1.0,True
halfcheetah-medium-replay-v2,3,implicit,4.0,10.0,14.0,0.006155219815641192,0.011437357121663074,0.5033448230180346,0.5033355824175525,0.060546875,True
halfcheetah-medium-replay-v2,3,explicit,7.0,7.0,14.0,0.41014655567905606,0.7237490737739284,0.5771616027565896,0.5040718509815306,1.0,True
halfcheetah-medium-replay-v2,3,implicit,7.0,7.0,14.0,0.0035020424199547788,0.007080974784732788,0.4667184268834612,0.4670526186519383,0.041015625,True
halfcheetah-medium-replay-v2,3,explicit,7.0,10.0,17.0,0.4910779061957102,0.7967832828699567,0.6249399726288126,0.5401140273074085,1.0,True
halfcheetah-medium-replay-v2,3,implicit,7.0,10.0,17.0,0.013627560344829717,0.025657289378459774,0.5217683394073112,0.5194734619015993,0.015625,True
halfcheetah-medium-replay-v2,3,explicit,10.0,10.0,20.0,0.4869666209840031,0.7660491224712307,0.643219249532724,0.5499602380898131,1.0,True
halfcheetah-medium-replay-v2,3,implicit,10.0,10.0,20.0,0.010592709075328187,0.018379844109387616,0.5267322872218553,0.5277455454206573,0.025390625,True
halfcheetah-expert-v2,2,explicit,0.05,0.05,0.1,0.00024910601338990374,0.0013011546670568669,0.1906441097889261,0.19064380465941702,1.0,True
halfcheetah-expert-v2,2,implicit,0.05,0.05,0.1,9.00611382788855e-05,0.00046527118815906056,0.1928207214421686,0.19282237364552207,0.859375,True
halfcheetah-expert-v2,2,explicit,0.1,0.1,0.2,0.0004771005793133199,0.0024669270887545426,0.1916988109176485,0.19172044983350464,1.0,True
