environment,seed,tau,method,hop,n_hops,ref_method,hop_vs_mpi1_final_rms,relative_hop_vs_mpi1_final,hop_vs_prev_rms,hop_vs_aD_rms,is_final_hop,n_states
halfcheetah-medium-v2,2,0.05,mpi1,1,1,mpi1,0.0,0.0,0.2409804692240663,0.2409804692240663,True,512
halfcheetah-medium-v2,2,0.05,mpi2,1,2,mpi1,0.09523282972883668,0.3951889961683498,0.25241702404792904,0.25241702404792904,False,512
halfcheetah-medium-v2,2,0.05,mpi2,2,2,mpi1,0.09872859400556347,0.409695417738458,0.063431973274942,0.2540818795607159,True,512
halfcheetah-medium-v2,2,0.05,mpi3,1,3,mpi1,0.09742021646706524,0.4042660252955307,0.2514553227853642,0.2514553227853642,False,512
halfcheetah-medium-v2,2,0.05,mpi3,2,3,mpi1,0.09696985274855863,0.40239714471796045,0.06398609917159484,0.2537860626151585,False,512
halfcheetah-medium-v2,2,0.05,mpi3,3,3,mpi1,0.10492142353390989,0.4353938884414437,0.0600279016934643,0.2582827068419045,True,512
halfcheetah-medium-v2,2,0.1,mpi1,1,1,mpi1,0.0,0.0,0.24443284402234058,0.24443284402234058,True,512
halfcheetah-medium-v2,2,0.1,mpi2,1,2,mpi1,0.09422274069906947,0.38547495970082374,0.2517546881079023,0.2517546881079023,False,512
halfcheetah-medium-v2,2,0.1,mpi2,2,2,mpi1,0.09612727816596738,0.39326661910124305,0.0635909078887695,0.2544694696386855,True,512
halfcheetah-medium-v2,2,0.1,mpi3,1,3,mpi1,0.10212910299968943,0.41782070412090394,0.2517008206768301,0.2517008206768301,False,512
halfcheetah-medium-v2,2,0.1,mpi3,2,3,mpi1,0.10023973061403818,0.41009108663349886,0.06774395825035379,0.25467948311312555,False,512
halfcheetah-medium-v2,2,0.1,mpi3,3,3,mpi1,0.10341044701926025,0.42306281479017926,0.05861875256361755,0.2562827413562064,True,512
halfcheetah-medium-v2,2,0.2,mpi1,1,1,mpi1,0.0,0.0,0.2513508159127564,0.2513508159127564,True,512
halfcheetah-medium-v2,2,0.2,mpi2,1,2,mpi1,0.07817917377888661,0.3110360851425385,0.25156230978589006,0.25156230978589006,False,512
halfcheetah-medium-v2,2,0.2,mpi2,2,2,mpi1,0.07722661450327888,0.30724632511272276,0.06691260413371737,0.25515634624562455,True,512
halfcheetah-medium-v2,2,0.2,mpi3,1,3,mpi1,0.07270509951241301,0.2892574637101989,0.25076250511397724,0.25076250511397724,False,512
halfcheetah-medium-v2,2,0.2,mpi3,2,3,mpi1,0.07602150023454944,0.30245177426014974,0.06480541571390351,0.25550699143894157,False,512
halfcheetah-medium-v2,2,0.2,mpi3,3,3,mpi1,0.08374885633507295,0.33319508445177315,0.058413763838759,0.2588828640103743,True,512
halfcheetah-medium-v2,2,0.4,mpi1,1,1,mpi1,0.0,0.0,0.2404943478749522,0.2404943478749522,True,512
halfcheetah-medium-v2,2,0.4,mpi2,1,2,mpi1,0.09760733271978352,0.4058612336724669,0.2517314467058579,0.2517314467058579,False,512
halfcheetah-medium-v2,2,0.4,mpi2,2,2,mpi1,0.10059871780710074,0.4182997176274937,0.0695483435912643,0.256230587720481,True,512
halfcheetah-medium-v2,2,0.4,mpi3,1,3,mpi1,0.0992247035420711,0.4125864263290883,0.2510462025422044,0.2510462025422044,False,512
halfcheetah-medium-v2,2,0.4,mpi3,2,3,mpi1,0.10065109364887555,0.41851750171363794,0.0682671923477731,0.25738345568042564,False,512
halfcheetah-medium-v2,2,0.4,mpi3,3,3,mpi1,0.10632319698012983,0.4421026852382153,0.06388466859474547,0.2591302780788098,True,512
halfcheetah-medium-v2,2,0.7,mpi1,1,1,mpi1,0.0,0.0,0.24613031625132692,0.24613031625132692,True,512
halfcheetah-medium-v2,2,0.7,mpi2,1,2,mpi1,0.09377522486976048,0.38099827074534515,0.2515912814395232,0.2515912814395232,False,512
halfcheetah-medium-v2,2,0.7,mpi2,2,2,mpi1,0.09482066898268608,0.3852457934757758,0.06882232830265851,0.25686017683086504,True,512
halfcheetah-medium-v2,2,0.7,mpi3,1,3,mpi1,0.10015922810150463,0.40693576324515307,0.24844433169248073,0.24844433169248073,False,512
halfcheetah-medium-v2,2,0.7,mpi3,2,3,mpi1,0.0982601639516109,0.39922007759205147,0.06758081723752966,0.25509591167512763,False,512
halfcheetah-medium-v2,2,0.7,mpi3,3,3,mpi1,0.09963992466324355,0.4048258913440793,0.0659106233401518,0.2629206939506217,True,512
halfcheetah-medium-v2,2,1.5,mpi1,1,1,mpi1,0.0,0.0,0.25350867025891133,0.25350867025891133,True,512
halfcheetah-medium-v2,2,1.5,mpi2,1,2,mpi1,0.10130800369409548,0.3996234274379194,0.2554195269121829,0.2554195269121829,False,512
halfcheetah-medium-v2,2,1.5,mpi2,2,2,mpi1,0.10894544901667988,0.42975038646770003,0.07949866842756315,0.26625732976264777,True,512
halfcheetah-medium-v2,2,1.5,mpi3,1,3,mpi1,0.10113706380264754,0.3989491314019165,0.25309658196531887,0.25309658196531887,False,512
halfcheetah-medium-v2,2,1.5,mpi3,2,3,mpi1,0.10187551313495952,0.40186204689138594,0.0710436845384031,0.2618165262772394,False,512
halfcheetah-medium-v2,2,1.5,mpi3,3,3,mpi1,0.10948030609644775,0.43186020416830023,0.0667988759469242,0.2681795949408985,True,512
halfcheetah-medium-v2,2,2.5,mpi1,1,1,mpi1,0.0,0.0,0.26556712693089785,0.26556712693089785,True,512
halfcheetah-medium-v2,2,2.5,mpi2,1,2,mpi1,0.10322834654413332,0.38870905347781975,0.25975604290787047,0.25975604290787047,False,512
halfcheetah-medium-v2,2,2.5,mpi2,2,2,mpi1,0.11062393945890135,0.41655735307814046,0.08688304791444,0.2767647063326275,True,512
halfcheetah-medium-v2,2,2.5,mpi3,1,3,mpi1,0.10524276839999144,0.3962944119487207,0.2534708784781506,0.2534708784781506,False,512
halfcheetah-medium-v2,2,2.5,mpi3,2,3,mpi1,0.10791273969712938,0.40634825907955435,0.07669132319341107,0.26712990460957603,False,512
halfcheetah-medium-v2,2,2.5,mpi3,3,3,mpi1,0.11670200871577491,0.439444482698122,0.07012916247143909,0.27709306854906396,True,512
halfcheetah-medium-v2,2,4.0,mpi1,1,1,mpi1,0.0,0.0,0.2778126544992022,0.2778126544992022,True,512
halfcheetah-medium-v2,2,4.0,mpi2,1,2,mpi1,0.11492489609396142,0.4136776861411525,0.26581112399274426,0.26581112399274426,False,512
halfcheetah-medium-v2,2,4.0,mpi2,2,2,mpi1,0.1319206746264848,0.47485480769150357,0.09539180713836212,0.28819036807900483,True,512
halfcheetah-medium-v2,2,4.0,mpi3,1,3,mpi1,0.12239906143372237,0.44058130344841384,0.2587403481071233,0.2587403481071233,False,512
halfcheetah-medium-v2,2,4.0,mpi3,2,3,mpi1,0.12371972813071115,0.44533510668811677,0.0843583637089919,0.27359250223362114,False,512
halfcheetah-medium-v2,2,4.0,mpi3,3,3,mpi1,0.13832196764031826,0.4978965695053156,0.08207888360510206,0.2919955281419908,True,512
