method,source_method,env,T,seed,checkpoint,score,collapsed_10,collapsed_20,collapsed_30,collapsed_40,td_error_mean,td_error_p50,td_error_p90,td_error_p99,td_error_max,q_abs_mean,q_abs_p99,critic_loss,d_critic,d_final,joint_critic_gain,common_critic_gain,n_nan,n_inf
prox2,mpi2,halfcheetah-expert-v2,4.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-expert-v2_tau4_mpi2_seed0/params_1000000.pkl,73.1934480052107,0,0,0,0,31.129207145277178,10.85946273803711,56.6571586608887,410.44022766113164,,1020.6634521484375,1077.4498291015625,34.29843521118164,0.028701279934213963,0.03223813668669803,1.8896129131317139,1.5618849024176598,0,0
prox2,mpi2,halfcheetah-expert-v2,4.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-expert-v2_tau4_mpi2_seed1/params_1000000.pkl,69.72857299916654,0,0,0,0,35.503676067106426,12.939347743988037,76.97635955810549,464.563876953124,,1028.097412109375,1084.9808349609375,65.6531753540039,0.02826929852973821,0.03237070890523969,1.8323005586862564,1.607631802558899,0,0
prox2,mpi2,halfcheetah-expert-v2,7.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-expert-v2_tau7_mpi2_seed0/params_1000000.pkl,44.18664980849557,0,0,0,0,36.497527442959836,11.491517066955566,69.57038574218751,520.5981256103506,,1095.1732177734375,1157.8277587890625,46.58681106567383,0.03234185563979636,0.04156404320758361,3.1821998357772827,1.7058320865035057,0,0
prox2,mpi2,halfcheetah-expert-v2,7.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-expert-v2_tau7_mpi2_seed1/params_1000000.pkl,51.47438427980925,0,0,0,0,35.33637849975639,11.092629432678223,75.81134262084963,402.7729421997068,,1081.4134521484375,1141.0753173828125,75.71878051757812,0.031321668430597416,0.0387077915256177,2.767874389886856,1.9180411994457245,0,0
prox2,mpi2,halfcheetah-expert-v2,10.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-expert-v2_tau10_mpi2_seed0/params_1000000.pkl,34.10066369410213,0,0,0,1,49.85815825963073,13.46926498413086,102.6122871398927,672.0123217773424,,1151.4744873046875,1217.7379150390625,60.19536590576172,0.036247780435060835,0.048519077906855224,3.9572153091430664,1.6567085310816765,0,0
prox2,mpi2,halfcheetah-expert-v2,10.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-expert-v2_tau10_mpi2_seed1/params_1000000.pkl,25.264524757871815,0,0,1,1,144.1190621356145,48.63340759277344,320.36883239746106,1703.098310546874,,1379.408447265625,1485.34521484375,290.9600524902344,0.042976934268566705,0.06336746728362264,9.155207395553589,1.4691473245620728,0,0
prox2,mpi2,halfcheetah-expert-v2,14.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-expert-v2_tau14_mpi2_seed0/params_1000000.pkl,3.824544202286786,1,1,1,1,157.91906465179636,49.87125587463379,349.5920593261719,1691.614824218742,,1402.8525390625,1508.781982421875,195.626953125,0.050815025815631555,0.08002316928460262,9.959244310855865,1.2406855449080467,0,0
prox2,mpi2,halfcheetah-expert-v2,14.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-expert-v2_tau14_mpi2_seed1/params_1000000.pkl,7.344029048863613,1,1,1,1,47.49825883875019,19.759521484375,101.1001502990723,468.6459124755857,,1170.785400390625,1242.0079345703125,95.57440185546875,0.039666508911981244,0.055617730069827176,4.276425361633301,1.9099947214126587,0,0
prox2,mpi2,halfcheetah-expert-v2,20.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-expert-v2_tau20_mpi2_seed0/params_1000000.pkl,9.284681432617518,1,1,1,1,51.227916617761366,15.683423519134521,131.08452529907254,627.8471252441406,,1271.6917724609375,1342.9287109375,69.9407958984375,0.04872948769109758,0.07445771149246681,5.678670935332775,1.4062514752149582,0,0
prox2,mpi2,halfcheetah-expert-v2,20.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-expert-v2_tau20_mpi2_seed1/params_1000000.pkl,-1.5404724834741086,1,1,1,1,119274.50396350026,54927.5,253132.48125000007,1257473.803749999,,39811.234375,42556.953125,115295.0390625,0.14193298966549955,0.2254601265625249,798.7343578338623,-4.357777833938599,0,0
