analysis,variant,subgroup,metric,value,n,status
target_exposure,prox3_vs_td3,d_target_deterministic,mean_difference_cluster_bootstrap_95_low,-0.27916954431099356,18,computed
target_exposure,prox3_vs_td3,d_target_deterministic,mean_difference_cluster_bootstrap_95_high,-0.11068044290984637,18,computed
target_exposure,prox3_vs_td3,d_target_deterministic,fraction_left_lower_cluster_bootstrap_95_low,0.9444444444444444,18,computed
target_exposure,prox3_vs_td3,d_target_deterministic,fraction_left_lower_cluster_bootstrap_95_high,1.0,18,computed
target_exposure,prox3_vs_td3,d_target_deterministic,median_log_ratio_cluster_bootstrap_95_low,-0.5754528927668836,18,computed
target_exposure,prox3_vs_td3,d_target_deterministic,median_log_ratio_cluster_bootstrap_95_high,-0.3445896385340645,18,computed
target_exposure,prox3_vs_td3,d_target_smoothed,mean_difference_cluster_bootstrap_95_low,-0.2424789520661973,18,computed
target_exposure,prox3_vs_td3,d_target_smoothed,mean_difference_cluster_bootstrap_95_high,-0.09787846266060607,18,computed
target_exposure,prox3_vs_td3,d_target_smoothed,fraction_left_lower_cluster_bootstrap_95_low,0.9444444444444444,18,computed
target_exposure,prox3_vs_td3,d_target_smoothed,fraction_left_lower_cluster_bootstrap_95_high,1.0,18,computed
target_exposure,prox3_vs_td3,d_target_smoothed,median_log_ratio_cluster_bootstrap_95_low,-0.4092908576473342,18,computed
target_exposure,prox3_vs_td3,d_target_smoothed,median_log_ratio_cluster_bootstrap_95_high,-0.2547122268625366,18,computed
target_exposure,prox3_vs_td3,d_final_current,mean_difference_cluster_bootstrap_95_low,-0.1940523854590288,18,computed
target_exposure,prox3_vs_td3,d_final_current,mean_difference_cluster_bootstrap_95_high,-0.025859252304467503,18,computed
target_exposure,prox3_vs_td3,d_final_current,fraction_left_lower_cluster_bootstrap_95_low,0.25555555555555554,18,computed
target_exposure,prox3_vs_td3,d_final_current,fraction_left_lower_cluster_bootstrap_95_high,0.5444444444444444,18,computed
target_exposure,prox3_vs_td3,d_final_current,median_log_ratio_cluster_bootstrap_95_low,-0.04976401769498527,18,computed
target_exposure,prox3_vs_td3,d_final_current,median_log_ratio_cluster_bootstrap_95_high,0.18681869097383413,18,computed
target_exposure,prox3_vs_prox2,d_target_deterministic,mean_difference_cluster_bootstrap_95_low,-0.0716088072778754,18,computed
target_exposure,prox3_vs_prox2,d_target_deterministic,mean_difference_cluster_bootstrap_95_high,-0.006147733442520369,18,computed
target_exposure,prox3_vs_prox2,d_target_deterministic,fraction_left_lower_cluster_bootstrap_95_low,0.8666666666666667,18,computed
target_exposure,prox3_vs_prox2,d_target_deterministic,fraction_left_lower_cluster_bootstrap_95_high,0.9888888888888889,18,computed
target_exposure,prox3_vs_prox2,d_target_deterministic,median_log_ratio_cluster_bootstrap_95_low,-0.12660519486212085,18,computed
target_exposure,prox3_vs_prox2,d_target_deterministic,median_log_ratio_cluster_bootstrap_95_high,-0.08306285206659951,18,computed
target_exposure,prox3_vs_prox2,d_target_smoothed,mean_difference_cluster_bootstrap_95_low,-0.0627793259937072,18,computed
target_exposure,prox3_vs_prox2,d_target_smoothed,mean_difference_cluster_bootstrap_95_high,-0.006371157873900065,18,computed
target_exposure,prox3_vs_prox2,d_target_smoothed,fraction_left_lower_cluster_bootstrap_95_low,0.8333333333333334,18,computed
target_exposure,prox3_vs_prox2,d_target_smoothed,fraction_left_lower_cluster_bootstrap_95_high,0.9555555555555556,18,computed
target_exposure,prox3_vs_prox2,d_target_smoothed,median_log_ratio_cluster_bootstrap_95_low,-0.08092051596422568,18,computed
target_exposure,prox3_vs_prox2,d_target_smoothed,median_log_ratio_cluster_bootstrap_95_high,-0.05549648859137853,18,computed
target_exposure,prox3_vs_prox2,d_final_current,mean_difference_cluster_bootstrap_95_low,-0.06119253199356646,18,computed
target_exposure,prox3_vs_prox2,d_final_current,mean_difference_cluster_bootstrap_95_high,0.014018591267279872,18,computed
target_exposure,prox3_vs_prox2,d_final_current,fraction_left_lower_cluster_bootstrap_95_low,0.18888888888888888,18,computed
target_exposure,prox3_vs_prox2,d_final_current,fraction_left_lower_cluster_bootstrap_95_high,0.4666666666666667,18,computed
target_exposure,prox3_vs_prox2,d_final_current,median_log_ratio_cluster_bootstrap_95_low,0.008215024086928212,18,computed
target_exposure,prox3_vs_prox2,d_final_current,median_log_ratio_cluster_bootstrap_95_high,0.06535024432182028,18,computed
failure,collapse_threshold_10,lin2,collapsed_runs,35,90,computed
failure,collapse_threshold_10,prox2,collapsed_runs,29,90,computed
failure,collapse_threshold_20,lin2,collapsed_runs,38,90,computed
failure,collapse_threshold_20,prox2,collapsed_runs,31,90,computed
failure,collapse_threshold_30,lin2,collapsed_runs,40,90,computed
