method,env,T,seed,checkpoint,score,n_source_rows,n_valid_rows,n_sampled_rows,d_critic_current,d_final_current,d_target_deterministic,d_target_smoothed,current_state_proxy,polyak_lag,target_noise_draws,n_nan,n_inf
td3,halfcheetah-medium-v2,4.0,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau4_seed0/params_1000000.pkl,52.55501555283176,1000000,999000,4096,0.037060155628637334,0.03687949067754294,0.03639155254730131,0.06180956386652789,0.03706015563946696,0.0007497538782803091,64,0,0
mpi2,halfcheetah-medium-v2,4.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau4_mpi2_seed0/params_1000000.pkl,52.23684123647537,1000000,999000,4096,0.03138732577658504,0.041679109398777156,0.030593355510841747,0.05682106149834446,0.03138732575285319,0.000666390680696326,64,0,0
mpi3,halfcheetah-medium-v2,4.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau4_mpi3_seed0/params_1000000.pkl,53.89746372095229,1000000,999000,4096,0.029658246186045616,0.04223464129900867,0.02916673028961192,0.055622488462795217,0.029658246164502515,0.0007040044473940356,64,0,0
td3,halfcheetah-medium-v2,4.0,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau4_seed1/params_1000000.pkl,53.21404461769833,1000000,999000,4096,0.03613250451343803,0.036430148930721856,0.03666651364459739,0.06187263265146663,0.036132504577935876,0.0007580693824023325,64,0,0
mpi2,halfcheetah-medium-v2,4.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau4_mpi2_seed1/params_1000000.pkl,55.93803171326817,1000000,999000,4096,0.031810305369138536,0.041374223435679064,0.0301533242924501,0.05648776787855656,0.03181030537221586,0.0007959969649907481,64,0,0
mpi3,halfcheetah-medium-v2,4.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau4_mpi3_seed1/params_1000000.pkl,53.27348125692657,1000000,999000,4096,0.029944197811898415,0.04142895463741654,0.028825016922336744,0.055351219718699184,0.029944197803357737,0.0006147319013280461,64,0,0
td3,halfcheetah-medium-v2,7.0,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau7_seed0/params_1000000.pkl,56.53405207509182,1000000,999000,4096,0.046261774196494555,0.04552304327511444,0.04556803462569192,0.06963879113856722,0.04626177417092399,0.0007250027706917602,64,0,0
mpi2,halfcheetah-medium-v2,7.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau7_mpi2_seed0/params_1000000.pkl,56.772331417694296,1000000,999000,4096,0.03560118241059754,0.05416045904936954,0.03522906196050002,0.06087295747165212,0.03560118237961234,0.0007827003167433198,64,0,0
mpi3,halfcheetah-medium-v2,7.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau7_mpi3_seed0/params_1000000.pkl,56.58806324844725,1000000,999000,4096,0.03150615773070075,0.0532011581213348,0.0315877277101384,0.057492702656554276,0.03150615776401014,0.0007240216275627629,64,0,0
td3,halfcheetah-medium-v2,7.0,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau7_seed1/params_1000000.pkl,57.54999629458176,1000000,999000,4096,0.04492390339822136,0.04520967772727191,0.045167569290587295,0.06940315624370205,0.04492390343283924,0.0007600375358840958,64,0,0
mpi2,halfcheetah-medium-v2,7.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-v2_tau7_mpi2_seed1/params_1000000.pkl,57.44093148495861,1000000,999000,4096,0.03602487674836048,0.050489453380979814,0.03482522542202382,0.06044738441992628,0.03602487670161329,0.0006980672623741079,64,0,0
mpi3,halfcheetah-medium-v2,7.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-v2_tau7_mpi3_seed1/params_1000000.pkl,57.49236408610612,1000000,999000,4096,0.03217147053408284,0.054892671987077445,0.03140410532799898,0.05763968457903025,0.0321714705039101,0.0006399289322269346,64,0,0
td3,halfcheetah-medium-v2,10.0,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau10_seed0/params_1000000.pkl,57.86957846261852,1000000,999000,4096,0.05807417650169791,0.059181975260168,0.057182810055813604,0.08084525332217059,0.05807417655779122,0.0011609272884365574,64,0,0
