method,environment,tau,seed,execution_class,resume_step,config_path,config_bytes,config_sha256,eval_path,eval_bytes,eval_sha256,checkpoint_path,checkpoint_bytes,checkpoint_sha256,primary_log_path,primary_log_bytes,primary_log_sha256,recovery_log_path,recovery_log_bytes,recovery_log_sha256
bar,hopper-medium-v2,4,0,gpu_designated,,results/bar_p3/hopper-medium-v2_tau4_mpi3_seed0/config.json,672,847d39188848a7a4f7854366b88ddc6d2c115914821572c429e5c93cd3b91f83,results/bar_p3/hopper-medium-v2_tau4_mpi3_seed0/eval.csv,226,cd64e26d92457292b088b5ad93796fb950396ee617781a38e1893d2e4e4204bf,results/bar_p3/hopper-medium-v2_tau4_mpi3_seed0/params_1000000.pkl,5026720,4af814f83045ec0cc3ebc804074b233e6025cb9ff7b41acdee5ee6f48d33f75e,logs/bar_p3/hopper-medium-v2_tau4_mpi3_seed0.log,2571,aefe58298ec56ceef95587b40f76a015993a4331a8fd9377eedcf32cc8bbb73d,,,
bar,hopper-medium-v2,4,1,gpu_designated,,results/bar_p3/hopper-medium-v2_tau4_mpi3_seed1/config.json,672,55c68c37345dac4b5a2939614ffdbe785a3cf10cd3761440568ece5a8ce25950,results/bar_p3/hopper-medium-v2_tau4_mpi3_seed1/eval.csv,224,88fb3f5794c97537f95de14558fc5dc4d37d9fc56bc50e9c71e9524dbc744229,results/bar_p3/hopper-medium-v2_tau4_mpi3_seed1/params_1000000.pkl,5026720,f3566aa0406c91fb27ca8b24c141c5db56efed4fb38194f209a2a762d51addb4,logs/bar_p3/hopper-medium-v2_tau4_mpi3_seed1.log,2571,2bbcfd051123b45f596e7f16b2868612e489250e424bb03f9b306d9e61feaf55,,,
bar,hopper-medium-v2,7,0,gpu_designated,,results/bar_p3/hopper-medium-v2_tau7_mpi3_seed0/config.json,672,6de85a41177d722a6bf61ebfc48b445bf385a7d5346690fe599ce5e90ec479d0,results/bar_p3/hopper-medium-v2_tau7_mpi3_seed0/eval.csv,224,727ea3cf213cfe475dddfae6eaf358cd20c89b4fba5cd65167fc71d6b771ee5c,results/bar_p3/hopper-medium-v2_tau7_mpi3_seed0/params_1000000.pkl,5026720,4c3034b003081131a83a4a7e78f70e3be79b84b772e3d333f731b88a4ea3c5a9,logs/bar_p3/hopper-medium-v2_tau7_mpi3_seed0.log,2571,b4448b2571638c455228ea010fba5e77bf1298d1bc9edfae4be2e1cbe8559979,,,
bar,hopper-medium-v2,7,1,gpu_designated,,results/bar_p3/hopper-medium-v2_tau7_mpi3_seed1/config.json,672,2c6af4e3d95395f57f0dc8a229e240298aa56bf18ab5a708bdb7e688f7596fa0,results/bar_p3/hopper-medium-v2_tau7_mpi3_seed1/eval.csv,227,b6871afa4b69bdcda2a09bcc2782c4e8a3111157f357764f5c4e18965187377a,results/bar_p3/hopper-medium-v2_tau7_mpi3_seed1/params_1000000.pkl,5026720,950e3a6623990f9189844b81660c5593f2e130d9dbfe194f062732630f0eb110,logs/bar_p3/hopper-medium-v2_tau7_mpi3_seed1.log,2573,8cf9db5baef91b26a1adda000254cc6f34e145306a454b3a861b2eb88e908b22,,,
bar,hopper-medium-v2,10,0,gpu_designated,,results/bar_p3/hopper-medium-v2_tau10_mpi3_seed0/config.json,673,b909629d1c5b0e4392b468388d7b2a14a4c62a3a641ed7146c28c7d5000eed16,results/bar_p3/hopper-medium-v2_tau10_mpi3_seed0/eval.csv,222,68c52eee07cf3a4136893c5ddd907441674decf9170349376d04128daf91b7db,results/bar_p3/hopper-medium-v2_tau10_mpi3_seed0/params_1000000.pkl,5026720,0a435ff3e5c245069b531fd33cbc390613bc5a6df61ed11f85a5bcdf7d70693d,logs/bar_p3/hopper-medium-v2_tau10_mpi3_seed0.log,2576,b155678e5907e35c042e9bdfaf753b62d15ada97cb6630cc71652ae45beef396,,,
bar,hopper-medium-v2,10,1,gpu_designated,,results/bar_p3/hopper-medium-v2_tau10_mpi3_seed1/config.json,673,80f428c7b6e7996260ca4bf861d4cd2f7570ff0b68f06dd72ddcc6e96a9b2273,results/bar_p3/hopper-medium-v2_tau10_mpi3_seed1/eval.csv,224,60a51afdcb4717dd1ece1117b47b66cf2edc713b09ce78a8b4d35bf494b078d3,results/bar_p3/hopper-medium-v2_tau10_mpi3_seed1/params_1000000.pkl,5026720,1374444dea1fa0a9d4122ce0684362f00ad044c8700cf0ca7f6e4dfe454b8c0b,logs/bar_p3/hopper-medium-v2_tau10_mpi3_seed1.log,2574,045338cc8417ff930beb62b830d72a2acb189cb1ec76de8c16bf14e8ce4e87ea,,,
bar,hopper-medium-v2,14,0,gpu_designated,,results/bar_p3/hopper-medium-v2_tau14_mpi3_seed0/config.json,673,65487929cff10864a261df95bddf4e6dd4390fe9b7e36811bfa0ca37bd77dbbd,results/bar_p3/hopper-medium-v2_tau14_mpi3_seed0/eval.csv,220,e2a560a78886452edd5a9712c5d7b85dfb5f7458b331dca346b34af22c8b0f29,results/bar_p3/hopper-medium-v2_tau14_mpi3_seed0/params_1000000.pkl,5026720,5feeb3286864e535820d23d949cb3a13aeca07ecf03fd09894ee553c8f078dcc,logs/bar_p3/hopper-medium-v2_tau14_mpi3_seed0.log,2574,d5e1d7716d98c19bd810f5386a6225121f8b1e7170bcbf43f5a1dc19be97d179,,,
bar,hopper-medium-v2,14,1,gpu_designated,,results/bar_p3/hopper-medium-v2_tau14_mpi3_seed1/config.json,673,4ecc3539d19a7659d9107bfaf69ac8097e44d3047b5b25ea81b1f0484cad9820,results/bar_p3/hopper-medium-v2_tau14_mpi3_seed1/eval.csv,223,406cc9e3b592b28d3066d08153fa66af140197407572271c7d80bf8cafb5407d,results/bar_p3/hopper-medium-v2_tau14_mpi3_seed1/params_1000000.pkl,5026720,f0587f39f1a1591fb415619a21b9fbc6eed9386a1c40d2ca14834987cd25ddf7,logs/bar_p3/hopper-medium-v2_tau14_mpi3_seed1.log,2574,0d9d984b57b7ec8155331ed7ee4758a0b894cb9e2783ba6d42a741e1b523822e,,,
bar,hopper-medium-v2,20,0,gpu_designated,,results/bar_p3/hopper-medium-v2_tau20_mpi3_seed0/config.json,673,464be8e5396ad36d99ae89dc53796c112d505821da0fdcb733876121d5311a5e,results/bar_p3/hopper-medium-v2_tau20_mpi3_seed0/eval.csv,224,9ff5d8de45199c103b2db135ce61158b448f56f41fb931de461e17cb7d74d723,results/bar_p3/hopper-medium-v2_tau20_mpi3_seed0/params_1000000.pkl,5026720,7551b046331bdcac3a9b13255e4ca14019188072cb243ae9dd6956e92ad6d0c5,logs/bar_p3/hopper-medium-v2_tau20_mpi3_seed0.log,2573,7811074f294be38f6f7ce842954535b4de487efb94691ce5913841ad019c7781,,,
bar,hopper-medium-v2,20,1,gpu_designated,,results/bar_p3/hopper-medium-v2_tau20_mpi3_seed1/config.json,673,0c618ede5c5a15ae1afdb93f8081c670d0cd88c904aeb71bdf888db3b9c7061c,results/bar_p3/hopper-medium-v2_tau20_mpi3_seed1/eval.csv,223,2bc669008017724a9cde6cb8c82653fbf96a4afb126ebf0ce53b74ad3654157d,results/bar_p3/hopper-medium-v2_tau20_mpi3_seed1/params_1000000.pkl,5026720,88bbbd470fd1388049e394ca8e18f3d1c7ee72ad250f465d474427d9aa10aae7,logs/bar_p3/hopper-medium-v2_tau20_mpi3_seed1.log,2570,28d19e72dbf736bd1aab212ba54aeedc98bf2a7522ca14bb266e825f91990d86,,,
