experiment,condition,environment,T,seed,step,d4rl_score,source_run
compute,sequential,hopper-medium-v2,10,0,1000000,101.685626,results_mpi3/hopper-medium-v2_tau10_mpi3_seed0
compute,sequential,hopper-medium-v2,10,1,1000000,97.383936,results_mpi3/hopper-medium-v2_tau10_mpi3_seed1
compute,sequential,hopper-medium-v2,20,0,1000000,0.732684,results_mpi3/hopper-medium-v2_tau20_mpi3_seed0
compute,sequential,hopper-medium-v2,20,1,1000000,102.310457,results_mpi3/hopper-medium-v2_tau20_mpi3_seed1
compute,sequential,walker2d-medium-v2,4,0,1000000,88.585728,results_mpi3/walker2d-medium-v2_tau4_mpi3_seed0
compute,sequential,walker2d-medium-v2,4,1,1000000,88.619814,results_mpi3/walker2d-medium-v2_tau4_mpi3_seed1
compute,sequential,walker2d-medium-v2,7,0,1000000,2.664506,results_mpi3/walker2d-medium-v2_tau7_mpi3_seed0
compute,sequential,walker2d-medium-v2,7,1,1000000,89.098925,results_mpi3/walker2d-medium-v2_tau7_mpi3_seed1
compute,fixed_reference,hopper-medium-v2,10,0,1000000,93.448696,results_compute_matched/hopper-medium-v2_tau10_mpi3_fixed_reference_seed0
compute,fixed_reference,hopper-medium-v2,10,1,1000000,95.190173,results_compute_matched/hopper-medium-v2_tau10_mpi3_fixed_reference_seed1
compute,fixed_reference,hopper-medium-v2,20,0,1000000,0.580881,results_compute_matched/hopper-medium-v2_tau20_mpi3_fixed_reference_seed0
compute,fixed_reference,hopper-medium-v2,20,1,1000000,101.904008,results_compute_matched/hopper-medium-v2_tau20_mpi3_fixed_reference_seed1
compute,fixed_reference,walker2d-medium-v2,4,0,1000000,87.807039,results_compute_matched/walker2d-medium-v2_tau4_mpi3_fixed_reference_seed0
compute,fixed_reference,walker2d-medium-v2,4,1,1000000,87.990135,results_compute_matched/walker2d-medium-v2_tau4_mpi3_fixed_reference_seed1
compute,fixed_reference,walker2d-medium-v2,7,0,1000000,6.078443,results_compute_matched/walker2d-medium-v2_tau7_mpi3_fixed_reference_seed0
compute,fixed_reference,walker2d-medium-v2,7,1,1000000,86.730525,results_compute_matched/walker2d-medium-v2_tau7_mpi3_fixed_reference_seed1
compute,direct_final,hopper-medium-v2,10,0,1000000,99.337934,results_compute_matched/hopper-medium-v2_tau10_mpi3_direct_final_seed0
compute,direct_final,hopper-medium-v2,10,1,1000000,101.401104,results_compute_matched/hopper-medium-v2_tau10_mpi3_direct_final_seed1
compute,direct_final,hopper-medium-v2,20,0,1000000,2.763192,results_compute_matched/hopper-medium-v2_tau20_mpi3_direct_final_seed0
compute,direct_final,hopper-medium-v2,20,1,1000000,0.732878,results_compute_matched/hopper-medium-v2_tau20_mpi3_direct_final_seed1
compute,direct_final,walker2d-medium-v2,4,0,1000000,88.401139,results_compute_matched/walker2d-medium-v2_tau4_mpi3_direct_final_seed0
compute,direct_final,walker2d-medium-v2,4,1,1000000,90.814292,results_compute_matched/walker2d-medium-v2_tau4_mpi3_direct_final_seed1
compute,direct_final,walker2d-medium-v2,7,0,1000000,-0.173772,results_compute_matched/walker2d-medium-v2_tau7_mpi3_direct_final_seed0
compute,direct_final,walker2d-medium-v2,7,1,1000000,92.014436,results_compute_matched/walker2d-medium-v2_tau7_mpi3_direct_final_seed1
target_lag,canonical,hopper-medium-v2,10,0,1000000,0.897443,results_qnorm/hopper-medium-v2_tau10_seed0
target_lag,canonical,hopper-medium-v2,10,1,1000000,0.591405,results_qnorm/hopper-medium-v2_tau10_seed1
target_lag,canonical,hopper-medium-v2,20,0,1000000,0.732684,results_qnorm/hopper-medium-v2_tau20_seed0
target_lag,canonical,hopper-medium-v2,20,1,1000000,0.741828,results_qnorm/hopper-medium-v2_tau20_seed1
target_lag,canonical,walker2d-medium-v2,4,0,1000000,25.654126,results_qnorm/walker2d-medium-v2_tau4_seed0
target_lag,canonical,walker2d-medium-v2,4,1,1000000,77.776596,results_qnorm/walker2d-medium-v2_tau4_seed1
target_lag,canonical,walker2d-medium-v2,7,0,1000000,2.301871,results_qnorm/walker2d-medium-v2_tau7_seed0
target_lag,canonical,walker2d-medium-v2,7,1,1000000,-0.182787,results_qnorm/walker2d-medium-v2_tau7_seed1
target_lag,actor_lag_3x,hopper-medium-v2,10,0,1000000,0.749159,results_target_lag/hopper-medium-v2_tau10_seed0_actorlag3
target_lag,actor_lag_3x,hopper-medium-v2,10,1,1000000,0.680688,results_target_lag/hopper-medium-v2_tau10_seed1_actorlag3
target_lag,actor_lag_3x,hopper-medium-v2,20,0,1000000,0.777613,results_target_lag/hopper-medium-v2_tau20_seed0_actorlag3
target_lag,actor_lag_3x,hopper-medium-v2,20,1,1000000,0.735951,results_target_lag/hopper-medium-v2_tau20_seed1_actorlag3
target_lag,actor_lag_3x,walker2d-medium-v2,4,0,1000000,2.333544,results_target_lag/walker2d-medium-v2_tau4_seed0_actorlag3
target_lag,actor_lag_3x,walker2d-medium-v2,4,1,1000000,86.125039,results_target_lag/walker2d-medium-v2_tau4_seed1_actorlag3
target_lag,actor_lag_3x,walker2d-medium-v2,7,0,1000000,2.301871,results_target_lag/walker2d-medium-v2_tau7_seed0_actorlag3
target_lag,actor_lag_3x,walker2d-medium-v2,7,1,1000000,2.368459,results_target_lag/walker2d-medium-v2_tau7_seed1_actorlag3
