env,tau,n_seeds,d4rl_score_mean,dcrit_mean,dfinal_mean
halfcheetah-expert-v2,4,2,71.4610105,0.0284852892,0.0323044227
halfcheetah-expert-v2,7,2,47.830517,0.031831762,0.0401359171
halfcheetah-expert-v2,10,2,29.6825942,0.0396123573,0.0559432728
halfcheetah-expert-v2,14,2,5.58428663,0.0452407675,0.0678204496
halfcheetah-expert-v2,20,2,3.87210447,0.095331239,0.149958919
halfcheetah-medium-replay-v2,4,2,49.7105669,0.102716017,0.139125877
halfcheetah-medium-replay-v2,7,2,51.6685974,0.111375391,0.157433036
halfcheetah-medium-replay-v2,10,2,53.1197001,0.122736319,0.176449212
halfcheetah-medium-replay-v2,14,2,52.5533021,0.130277716,0.196555784
halfcheetah-medium-replay-v2,20,2,54.1443651,0.149894728,0.225123207
halfcheetah-medium-v2,4,2,54.0874365,0.0329490213,0.0415266665
halfcheetah-medium-v2,7,2,57.1066315,0.0382085948,0.0523249562
halfcheetah-medium-v2,10,2,58.1559818,0.0413994961,0.0618759604
halfcheetah-medium-v2,14,2,60.5377375,0.0467478561,0.0759239524
halfcheetah-medium-v2,20,2,61.7536977,0.0564955286,0.0931761234
hopper-expert-v2,4,2,101.944378,0.0516616298,0.0538411141
hopper-expert-v2,7,2,11.0785625,0.105869078,0.219655801
hopper-expert-v2,10,2,2.72681552,0.455485374,0.588444053
hopper-expert-v2,14,2,1.25047375,0.510240261,0.658611619
hopper-expert-v2,20,2,1.81968949,0.906702955,1.04728708
hopper-medium-replay-v2,4,2,98.8755297,0.137879798,0.176781349
hopper-medium-replay-v2,7,2,100.440543,0.146865447,0.200828697
hopper-medium-replay-v2,10,2,99.170124,0.153137798,0.222408172
hopper-medium-replay-v2,14,2,84.6306803,0.166644433,0.258714967
hopper-medium-replay-v2,20,2,64.7351703,0.178579139,0.295968814
hopper-medium-v2,4,2,59.5250316,0.0551860661,0.0599788281
hopper-medium-v2,7,2,83.2447753,0.0565839799,0.0662531604
hopper-medium-v2,10,2,50.8150311,0.10922714,0.2192077
hopper-medium-v2,14,2,50.5995576,0.434721361,0.523982183
hopper-medium-v2,20,2,0.662902467,0.878394902,1.02853505
walker2d-expert-v2,4,2,111.954289,0.0250649349,0.0264054171
walker2d-expert-v2,7,2,59.9897043,0.0477554612,0.0887771301
walker2d-expert-v2,10,2,-0.0681819285,0.465580906,0.556689437
walker2d-expert-v2,14,2,-0.235115954,0.550824234,0.62341053
walker2d-expert-v2,20,2,1.01526804,0.592530796,0.71295019
walker2d-medium-replay-v2,4,2,55.3017456,0.115812327,0.170076983
walker2d-medium-replay-v2,7,2,86.382263,0.132107665,0.2096448
walker2d-medium-replay-v2,10,2,91.6092789,0.14914225,0.255827864
walker2d-medium-replay-v2,14,2,19.3292422,0.198817502,0.347923698
walker2d-medium-replay-v2,20,2,43.8265914,0.282705206,0.47283058
walker2d-medium-v2,4,2,46.2700975,0.240822184,0.338976969
walker2d-medium-v2,7,2,83.4068211,0.038979704,0.0585548845
walker2d-medium-v2,10,2,16.7750052,0.111375501,0.295858411
walker2d-medium-v2,14,2,2.33514682,0.759095073,0.809440608
walker2d-medium-v2,20,2,16.6595181,0.331905739,0.388292798
