h,beta,q_scale,converged,iterations,fixed_point_residual_max,explicit_implicit_rms,explicit_move_rms,implicit_move_rms,relative_difference,projection_fraction_explicit,projection_fraction_implicit,projection_fraction_union,environment,seed,checkpoint,n_states,local_loglog_slope_when_identifiable,local_points_eligible,local_max_relative_difference,local_exact_agreement_fraction
0.001,1.4291356253302909e-05,419.83419163687324,True,3,0.0,4.535940547611972e-07,8.172693924279884e-05,8.17444160929881e-05,0.00554893014643609,0.0,0.0,0.0,halfcheetah-medium-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau1_seed0/params_1000000.pkl,512,,1,0.00554893014643609,0.0
0.003,4.287406875990873e-05,419.83419163687324,False,200,1.436471939086914e-05,3.367396629982977e-06,0.0002451803593430668,0.0002450876054354012,0.013739563141109298,0.0,0.0,0.0,halfcheetah-medium-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau1_seed0/params_1000000.pkl,512,,1,0.00554893014643609,0.0
0.01,0.00014291356253302907,419.83419163687324,False,200,0.006348311901092529,0.0001486195542383939,0.0008172683883458376,0.0007946090772747993,0.18703480552739377,0.0,0.0,0.0,halfcheetah-medium-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau1_seed0/params_1000000.pkl,512,,1,0.00554893014643609,0.0
0.03,0.00042874068759908725,419.83419163687324,False,200,0.001692652702331543,0.00046066800132393837,0.0024518053978681564,0.0023888612631708384,0.19283999804679905,0.0,0.0,0.0,halfcheetah-medium-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau1_seed0/params_1000000.pkl,512,,1,0.00554893014643609,0.0
0.1,0.001429135625330291,419.83419163687324,False,200,0.0696326196193695,0.002850664546713233,0.008172685280442238,0.007398779504001141,0.3852884851037444,0.0,0.001953125,0.001953125,halfcheetah-medium-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau1_seed0/params_1000000.pkl,512,,1,0.00554893014643609,0.0
0.001,1.4708277482079857e-05,407.93356035811996,True,3,0.0,7.855242500909299e-08,7.27785809431225e-05,7.277997792698443e-05,0.0010793136690409508,0.0,0.0,0.0,halfcheetah-medium-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau1_seed1/params_1000000.pkl,512,,2,0.010653106945140127,0.0
0.003,4.412483244623958e-05,407.93356035811996,True,3,0.0,2.3252305254573002e-06,0.00021833591745235026,0.00021826782904099673,0.010653106945140127,0.0,0.0,0.0,halfcheetah-medium-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau1_seed1/params_1000000.pkl,512,,2,0.010653106945140127,0.0
0.01,0.00014708277482079857,407.93356035811996,False,200,0.00029587745666503906,1.3280742678034585e-05,0.0007277869735844433,0.0007273509399965405,0.01825905755768701,0.0,0.0,0.0,halfcheetah-medium-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau1_seed1/params_1000000.pkl,512,,2,0.010653106945140127,0.0
0.03,0.0004412483244623957,407.93356035811996,False,200,0.007091820240020752,0.0002372930757701397,0.0021833607461303473,0.0021624837536364794,0.10973172647937934,0.0,0.0,0.0,halfcheetah-medium-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau1_seed1/params_1000000.pkl,512,,2,0.010653106945140127,0.0
0.1,0.0014708277482079859,407.93356035811996,False,200,0.023639261722564697,0.001234343508258462,0.007277869153767824,0.007053464185446501,0.17499819603611202,0.0,0.0,0.0,halfcheetah-medium-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau1_seed1/params_1000000.pkl,512,,2,0.010653106945140127,0.0
