critic_scope,method,hop,cells,positive_q_gain_cells,positive_q_gain_fraction,q1_gain_hop_median,secant_q_median,prox_residual_median,step_norm_median
canonical_td3_tau1,mpi2,1,40,20,0.5,-0.05870421975851059,-1.7049186825752258,0.8051415681838989,0.6350525274191341
canonical_td3_tau1,mpi2,2,40,20,0.5,0.028930597007274628,-1.3774014711380005,0.8560869693756104,0.2377621700561905
canonical_td3_tau1,mpi3,1,40,28,0.7,0.297544002532959,-1.7044680714607239,0.772821456193924,0.5357858174041894
canonical_td3_tau1,mpi3,2,40,25,0.625,0.19184917211532593,-1.2119036316871643,0.7776286602020264,0.2351040475138741
canonical_td3_tau1,mpi3,3,40,25,0.625,0.12160131335258484,-1.7664730548858643,0.7945033311843872,0.16507763699325317
own,mpi2,1,40,40,1.0,36951.903830349445,-0.24645806103944778,0.7033344805240631,0.6350525274191341
own,mpi2,2,40,40,1.0,33088.453453063965,-0.415865957736969,0.6569367051124573,0.2377621700561905
own,mpi3,1,40,40,1.0,1.3950297236442566,-0.3040587604045868,0.7133102118968964,0.5357858174041894
own,mpi3,2,40,39,0.975,1.117630958557129,-0.49107445776462555,0.6136554479598999,0.2351040475138741
own,mpi3,3,40,39,0.975,0.7929862141609192,-0.8365477323532104,0.6185658276081085,0.16507763699325317
