env,tau,seed,step,return,d4rl_score,d4rl_pct,has_params_1m,source_dir
halfcheetah-expert-v2,40,0,1000000,-345.44656312447376,-0.5257081703901056,-52.5708,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau40_seed0
halfcheetah-expert-v2,40,1,1000000,-1017.1334249391382,-5.935915017649107,-593.5915,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-expert-v2_tau40_seed1
halfcheetah-medium-v2,40,0,1000000,7591.900181840906,63.406892197383094,6340.6892,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau40_seed0
halfcheetah-medium-v2,40,1,1000000,7880.55324079892,65.73189339189479,6573.1893,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-v2_tau40_seed1
halfcheetah-medium-replay-v2,40,0,1000000,5374.101516361725,45.5432860917033,4554.3286,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau40_seed0
halfcheetah-medium-replay-v2,40,1,1000000,5794.862138476108,48.93236830878009,4893.2368,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau40_seed1
hopper-expert-v2,40,0,1000000,38.94814692924881,1.8196078126231339,181.9608,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-expert-v2_tau40_seed0
hopper-expert-v2,40,1,1000000,38.957773883213925,1.819903610444258,181.9904,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-expert-v2_tau40_seed1
hopper-medium-v2,40,0,1000000,3.5734187348193105,0.7326837906838056,73.2684,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-v2_tau40_seed0
hopper-medium-v2,40,1,1000000,3.579732762374891,0.7328777955165108,73.2878,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-v2_tau40_seed1
hopper-medium-replay-v2,40,0,1000000,3278.662666970476,101.36308746013482,10136.3087,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-replay-v2_tau40_seed0
hopper-medium-replay-v2,40,1,1000000,3206.4777104894724,99.14513223541587,9914.5132,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-replay-v2_tau40_seed1
walker2d-expert-v2,40,0,1000000,107.30032041262533,2.3018707417014848,230.1871,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/walker2d-expert-v2_tau40_seed0
walker2d-expert-v2,40,1,1000000,-10.82707351437394,-0.2713346597061892,-27.1335,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/walker2d-expert-v2_tau40_seed1
walker2d-medium-v2,40,0,1000000,107.30032041262533,2.3018707417014848,230.1871,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/walker2d-medium-v2_tau40_seed0
walker2d-medium-v2,40,1,1000000,110.35551122855028,2.368422904146782,236.8423,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/walker2d-medium-v2_tau40_seed1
walker2d-medium-replay-v2,40,0,1000000,44.04515272885662,0.9239639434578025,92.3964,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/walker2d-medium-replay-v2_tau40_seed0
walker2d-medium-replay-v2,40,1,1000000,-60.39183373125604,-1.351019095886801,-135.1019,True,/home/ext_csv/mpi_sweep_lab/results_qnorm/walker2d-medium-replay-v2_tau40_seed1
