environment,seed,method,integrator,s,t,total,pi_u_vs_continue_pi_s_rms,pi_u_vs_continue_pi_t_rms,relative_pi_u_vs_continue_mean,order_defect_rms,relative_order_defect,actor_gap_pi_s_to_pi_u_rms,actor_gap_aD_to_pi_u_rms,pi_s_vs_Phi_s_aD_rms,pi_u_vs_Phi_u_aD_rms,relative_pi_u_vs_Phi_u_aD,pi_u_vs_Phi_t_Phi_s_aD_rms,relative_pi_u_vs_Phi_t_Phi_s_aD,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,solver_converged_sample_fraction,all_solver_calls_converged,max_solver_iterations,max_fixed_point_residual,max_projection_fraction,all_numeric_outputs_finite,n_states
halfcheetah-medium-v2,0,mpi1,explicit,0.05,0.05,0.1,0.5949916345456293,0.5949916345456293,0.9280567575998837,0.0,0.0,0.5949007486417511,0.641115567203434,0.4763244234180851,0.6401734812811192,0.9985305521024482,0.640173048252786,0.998529876673001,8.386649451158045e-05,0.0001308133803042854,1.0,True,1,0.0,0.525390625,True,512
halfcheetah-medium-v2,0,mpi1,implicit,0.05,0.05,0.1,0.5972148724881192,0.5972148724881192,0.9304106725718523,0.0,0.0,0.5971202653447082,0.6418830846354017,0.4825717364085083,0.6456452763318762,0.9985891100023954,0.6456452176268784,0.998589019206143,3.74261633483164e-05,5.7885282397061626e-05,0.92578125,False,200,0.0024628043174743652,0.525390625,True,512
halfcheetah-medium-v2,0,mpi4,explicit,0.05,0.05,0.1,0.07631471360023673,0.07631471360023673,0.2903532973112729,0.0,0.0,0.07279481907893862,0.26283398296807914,0.2578237305554498,0.26255929704546277,0.9989549071261088,0.2624636809594376,0.998591118224288,0.006568731400717507,0.024991941021246373,1.0,True,1,0.0,0.017578125,True,512
halfcheetah-medium-v2,0,mpi4,implicit,0.05,0.05,0.1,0.07755829692547929,0.07755829692547929,0.28648980387285866,0.0,0.0,0.07546772956206622,0.27071922238425944,0.2858927524899686,0.29332586078718514,0.9953569794503605,0.29332180943682484,0.9953432318051767,0.0006728479468811194,0.0022832078229981507,0.546875,False,200,0.042628660798072815,0.01171875,True,512
halfcheetah-medium-v2,0,mpi4,explicit,0.1,0.1,0.2,0.05931760554353027,0.05931760554353027,0.223514904252895,0.0,0.0,0.05157913081077667,0.265385459380443,0.26255929704546277,0.2643324736658702,0.9960322403607528,0.26403459184980227,0.9949097907104842,0.0056929476071615635,0.0214516184136541,1.0,True,1,0.0,0.0234375,True,512
halfcheetah-medium-v2,0,mpi4,implicit,0.1,0.1,0.2,0.052363674096665126,0.052363674096665126,0.19245789717873227,0.0,0.0,0.050086933834643334,0.2720785941458973,0.2923192968992548,0.2943169589998994,0.9961183475080663,0.29434668293606053,0.9962189484325623,0.0008866050219225274,0.0030007225282934606,0.462890625,False,200,0.11240637302398682,0.0234375,True,512
halfcheetah-medium-v2,0,mpi4,explicit,0.2,0.2,0.4,0.07817333810274782,0.07817333810274782,0.3008557324635845,0.0,0.0,0.07230060411949236,0.2598366248919984,0.2643324736658702,0.25821317047668835,0.9937520185386305,0.2578163396278563,0.992224786382667,0.01665957781028766,0.06411558731265174,1.0,True,1,0.0,0.091796875,True,512
halfcheetah-medium-v2,0,mpi4,implicit,0.2,0.2,0.4,0.07760924918735826,0.07760924918735826,0.2829645182023487,0.0,0.0,0.07695396973260477,0.2742720171433638,0.3277120151277517,0.318667419901842,0.9947088397649381,0.31866031457718724,0.9946866607506991,0.002003489182048371,0.006253819108243956,0.318359375,False,200,0.12558990716934204,0.07421875,True,512
halfcheetah-medium-v2,0,mpi4,explicit,1.5,2.5,4.0,0.18173546832354237,0.1376087135595448,0.541158882757858,0.1812825833175221,0.6144009242509653,0.12567086472745873,0.295055844094846,0.26863806322191197,0.2993095191211107,1.014416508303077,0.2849958233438678,0.9659046890535598,0.10298669019577386,0.34904135016105187,1.0,True,1,0.0,0.564453125,True,512
halfcheetah-medium-v2,0,mpi4,implicit,1.5,2.5,4.0,0.14923304713646648,0.12341977078621434,0.30061448991588896,0.13983198586339815,0.30834466648477266,0.12748644695610684,0.4534924746956946,0.5321352408231044,0.5159828023249906,0.9812694663207764,0.516098366144054,0.9814892396282343,0.0011454452610394565,0.002178348687078735,0.0390625,False,200,0.7491282820701599,0.564453125,True,512
halfcheetah-medium-v2,0,mpi4,explicit,4.0,10.0,14.0,0.3824733159049693,0.24089209118546043,0.8236269302020988,0.38266325509729293,1.01119426426948,0.21475341684649646,0.3784270427737656,0.2993095191211107,0.45385707459552727,0.9174189599782179,0.3837307050672305,0.7756667110856935,0.3284197675245802,0.66386212405569,1.0,True,1,0.0,0.818359375,True,512
halfcheetah-medium-v2,0,mpi4,implicit,4.0,10.0,14.0,0.22982242809183398,0.2092846434029361,0.4077364094821066,0.28195714092621893,0.523627150333725,0.1710751910007545,0.5384692920268139,0.583168585392106,0.614402573264145,0.9575458644312054,0.6141353089420524,0.9571293332227336,0.009147072162773284,0.014255703836956075,0.009765625,False,200,1.7796841859817505,0.78515625,True,512
halfcheetah-medium-v2,0,mpi4,explicit,7.0,7.0,14.0,0.2929175767929525,0.2929175767929525,0.7740397584854075,0.0,0.0,0.1888706100458104,0.3784270427737656,0.35025322179236507,0.45385707459552727,0.9174189599782179,0.3780410112449928,0.7641656609067496,0.31258026464027944,0.6318444227217679,1.0,True,1,0.0,0.74609375,True,512
halfcheetah-medium-v2,0,mpi4,implicit,7.0,7.0,14.0,0.2294491246519857,0.2294491246519857,0.48757470786468204,0.0,0.0,0.17813405082601125,0.47059275419935304,0.5854322541453003,0.6672603929411085,1.0757875360299738,0.6677751252624853,1.0766174108758164,0.001992904969170612,0.003213051979416925,0.0078125,False,200,1.2142384052276611,0.724609375,True,512
halfcheetah-medium-v2,0,mpi4,explicit,7.0,10.0,17.0,0.37578162354904365,0.2950689592762269,0.8718282151524644,0.38156198325809126,0.9917454388515595,0.21881848641887505,0.38473782516200905,0.35025322179236507,0.44516879793530645,0.8969883302976922,0.3695391471905036,0.7445991366767213,0.3300066147426559,0.6649434635089279,1.0,True,1,0.0,0.77734375,True,512
halfcheetah-medium-v2,0,mpi4,implicit,7.0,10.0,17.0,0.27073657259573125,0.2096695971314133,0.4466960852370167,0.25288079759528515,0.4702723213633432,0.19858190271421547,0.5377326840375614,0.5147479629811876,0.5240898202968995,1.0004061112430311,0.5235112902768759,0.9993017872413908,0.002186877356174248,0.0041744093987865286,0.005859375,False,200,1.6569535732269287,0.759765625,True,512
halfcheetah-medium-v2,0,mpi4,explicit,10.0,10.0,20.0,0.3550543114863553,0.3550543114863553,0.8709946260990151,0.0,0.0,0.22786227941608342,0.40764236752706734,0.37152598414089244,0.5081429972672028,0.9098735602588348,0.40758696640634057,0.7298193741401211,0.3807672539136082,0.6817963817499517,1.0,True,1,0.0,0.775390625,True,512
halfcheetah-medium-v2,0,mpi4,implicit,10.0,10.0,20.0,0.30020706898055544,0.30020706898055544,0.5501812366976939,0.0,0.0,0.23682388723018993,0.5456512308243422,0.4845499253836907,0.5328785615447671,1.005548469378378,0.5318539868346056,1.0036150841647187,0.003110981820643908,0.0058704613654261975,0.009765625,False,200,1.225167989730835,0.771484375,True,512
halfcheetah-medium-v2,1,mpi1,explicit,0.05,0.05,0.1,0.5104393456766415,0.5104393456766415,0.8554391681434796,0.0,0.0,0.5103347710963527,0.5966985902509288,0.44832814520410286,0.5958547747119357,0.9985858596739131,0.5958574615248949,0.9985903624714781,6.245693431685252e-05,0.00010467082600377455,1.0,True,1,0.0,0.484375,True,512
halfcheetah-medium-v2,1,mpi1,implicit,0.05,0.05,0.1,0.5137385223605223,0.5137385223605223,0.8588869065439014,0.0,0.0,0.5136295830446931,0.5981445501687397,0.4531180811995144,0.6020065889660515,0.9986323653362227,0.6020059359072252,0.9986312820163846,2.3363198427515507e-05,3.8755798582804266e-05,0.904296875,False,200,0.003353595733642578,0.484375,True,512
