environment,seed,tau,method_a,method_b,final_action_rms,relative_final_action_rms,aD_to_final_a_rms,aD_to_final_b_rms,n_states
halfcheetah-medium-v2,0,0.05,mpi1,mpi2,0.41573873799168426,0.8718674387923557,0.47683709643696964,0.4677178524926584,512
halfcheetah-medium-v2,0,0.05,mpi1,mpi4,0.41899071708889024,0.878687334143421,0.47683709643696964,0.2587938345184772,512
halfcheetah-medium-v2,0,0.05,mpi2,mpi4,0.39551787776561304,0.8456334853539107,0.4677178524926584,0.2587938345184772,512
halfcheetah-medium-v2,0,0.1,mpi1,mpi4,0.6024164038851695,0.9396377731286866,0.641115567203434,0.26283398296807914,512
halfcheetah-medium-v2,1,0.05,mpi1,mpi2,0.37877228355956977,0.8438920915188713,0.44883971228814334,0.4432974731890839,512
halfcheetah-medium-v2,1,0.05,mpi1,mpi4,0.3829196040819261,0.8531321841595464,0.44883971228814334,0.2535943819588332,512
halfcheetah-medium-v2,1,0.05,mpi2,mpi4,0.37716008841708454,0.8508058611383306,0.4432974731890839,0.2535943819588332,512
halfcheetah-medium-v2,1,0.1,mpi1,mpi4,0.5581216136612163,0.9353493083107675,0.5966985902509288,0.25335460350614053,512
halfcheetah-medium-replay-v2,0,0.05,mpi1,mpi4,0.37583528659591214,0.679955472870007,0.5527351445669794,0.46211446665853145,512
halfcheetah-medium-replay-v2,0,0.1,mpi1,mpi4,0.49393348279260507,0.7507066543872347,0.657958045137856,0.46721189291995113,512
halfcheetah-medium-replay-v2,1,0.05,mpi1,mpi4,0.3922152316737283,0.6967989117262295,0.5628815215885823,0.4640076622382148,512
halfcheetah-medium-replay-v2,1,0.1,mpi1,mpi4,0.5240116414217798,0.7661751391672078,0.6839319297038964,0.4610649589895328,512
halfcheetah-expert-v2,0,0.05,mpi1,mpi4,0.5921437167758165,0.9529562047601635,0.6213755824433138,0.19526936183627,512
halfcheetah-expert-v2,0,0.1,mpi1,mpi4,1.2770634021806644,1.0021432673115067,1.274332167701628,0.19558847303968244,512
halfcheetah-expert-v2,1,0.05,mpi1,mpi4,0.7106792718251713,0.9735629595311086,0.7299777224140199,0.19701374668685961,512
halfcheetah-expert-v2,1,0.1,mpi1,mpi4,0.8349594213172695,0.9737226329912789,0.8574920547469166,0.19565822239852687,512
hopper-medium-v2,0,0.05,mpi1,mpi2,1.037110482745663,0.9709981223966905,1.0680870115235537,0.2989087932361107,512
hopper-medium-v2,0,0.05,mpi1,mpi4,1.0605792250239745,0.9929708100383415,1.0680870115235537,0.27281347903568337,512
hopper-medium-v2,0,0.05,mpi1,mpi8,1.0362339605380992,0.9701774755784941,1.0680870115235537,0.2830868093773097,512
hopper-medium-v2,0,0.05,mpi2,mpi4,0.15926889233455463,0.5328344161784051,0.2989087932361107,0.27281347903568337,512
hopper-medium-v2,0,0.05,mpi2,mpi8,0.16742861111070972,0.5601327726028333,0.2989087932361107,0.2830868093773097,512
hopper-medium-v2,0,0.05,mpi4,mpi8,0.0845482169629503,0.29866533572838067,0.27281347903568337,0.2830868093773097,512
hopper-medium-v2,0,0.1,mpi1,mpi2,2.0,1.6420750700594549,1.217971112567701,1.0680870115235537,512
hopper-medium-v2,0,0.1,mpi1,mpi4,1.1749375991707498,0.9646678702368984,1.217971112567701,0.2737915547547263,512
hopper-medium-v2,0,0.1,mpi1,mpi8,1.1913620509239722,0.9781529616185788,1.217971112567701,0.28076835511781884,512
hopper-medium-v2,0,0.1,mpi2,mpi4,1.0572166322301906,0.9898225714046862,1.0680870115235537,0.2737915547547263,512
hopper-medium-v2,0,0.1,mpi2,mpi8,1.0376080340668938,0.9714639564681311,1.0680870115235537,0.28076835511781884,512
hopper-medium-v2,0,0.1,mpi4,mpi8,0.0789672744260487,0.28125418333882984,0.2737915547547263,0.28076835511781884,512
hopper-medium-v2,0,0.2,mpi1,mpi4,1.24806871497969,0.9954704766016206,1.2537475940425677,0.2722841013891853,512
hopper-medium-v2,0,0.2,mpi1,mpi8,1.2443551883789503,0.9925085354434598,1.2537475940425677,0.2829024513949163,512
hopper-medium-v2,0,0.2,mpi4,mpi8,0.0841862162363491,0.29758037026985584,0.2722841013891853,0.2829024513949163,512
hopper-medium-v2,0,0.4,mpi1,mpi4,1.0457581877852973,0.975084330411512,1.0724797385924139,0.2747745772656831,512
hopper-medium-v2,0,0.4,mpi1,mpi8,1.0469184329525205,0.9761661645249899,1.0724797385924139,0.28442721069224036,512
hopper-medium-v2,0,0.4,mpi4,mpi8,0.08544806310706193,0.30042154862433174,0.2747745772656831,0.28442721069224036,512
hopper-medium-v2,0,1.5,mpi1,mpi4,1.2537415045698146,0.9999951429834983,1.2537475940425677,0.27955706380569534,512
hopper-medium-v2,0,1.5,mpi1,mpi8,1.248268329123427,0.9956296905811212,1.2537475940425677,0.2859912323773967,512
hopper-medium-v2,0,1.5,mpi4,mpi8,0.08691198340658123,0.30389737015396107,0.27955706380569534,0.2859912323773967,512
hopper-medium-v2,0,2.5,mpi1,mpi4,1.0545717622139799,0.9833022706779174,1.0724797385924139,0.2825431144967577,512
hopper-medium-v2,0,2.5,mpi1,mpi8,1.0578145725318067,0.986325927164037,1.0724797385924139,0.28875992754380975,512
hopper-medium-v2,0,2.5,mpi4,mpi8,0.08553397848583025,0.29621138643918415,0.2825431144967577,0.28875992754380975,512
hopper-medium-v2,0,4.0,mpi1,mpi4,1.0557385799220693,0.9843902331504027,1.0724797385924139,0.2846069056967946,512
hopper-medium-v2,0,4.0,mpi1,mpi8,1.0669824846860934,0.9948742584978478,1.0724797385924139,0.29680744558897154,512
hopper-medium-v2,0,4.0,mpi4,mpi8,0.08797118765476145,0.29639144489854463,0.2846069056967946,0.29680744558897154,512
hopper-medium-v2,0,7.0,mpi1,mpi4,1.0620678256759912,0.9923370816191359,1.0702692112876402,0.30025312153803074,512
