environment,seed,method,integrator,s,t,total,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,pi_u_vs_Phi_u_aD_rms,pi_u_vs_Phi_t_Phi_s_aD_rms,solver_converged_sample_fraction,all_numeric_outputs_finite
halfcheetah-medium-v2,0,mpi1,explicit,0.05,0.05,0.1,8.386649451158045e-05,0.0001308133803042854,0.6401734812811192,0.640173048252786,1.0,True
halfcheetah-medium-v2,0,mpi1,implicit,0.05,0.05,0.1,3.74261633483164e-05,5.7885282397061626e-05,0.6456452763318762,0.6456452176268784,0.92578125,True
halfcheetah-medium-v2,0,mpi4,explicit,0.05,0.05,0.1,0.006568731400717507,0.024991941021246373,0.26255929704546277,0.2624636809594376,1.0,True
halfcheetah-medium-v2,0,mpi4,implicit,0.05,0.05,0.1,0.0006728479468811194,0.0022832078229981507,0.29332586078718514,0.29332180943682484,0.546875,True
halfcheetah-medium-v2,0,mpi4,explicit,0.1,0.1,0.2,0.0056929476071615635,0.0214516184136541,0.2643324736658702,0.26403459184980227,1.0,True
halfcheetah-medium-v2,0,mpi4,implicit,0.1,0.1,0.2,0.0008866050219225274,0.0030007225282934606,0.2943169589998994,0.29434668293606053,0.462890625,True
halfcheetah-medium-v2,0,mpi4,explicit,0.2,0.2,0.4,0.01665957781028766,0.06411558731265174,0.25821317047668835,0.2578163396278563,1.0,True
halfcheetah-medium-v2,0,mpi4,implicit,0.2,0.2,0.4,0.002003489182048371,0.006253819108243956,0.318667419901842,0.31866031457718724,0.318359375,True
halfcheetah-medium-v2,0,mpi4,explicit,1.5,2.5,4.0,0.10298669019577386,0.34904135016105187,0.2993095191211107,0.2849958233438678,1.0,True
halfcheetah-medium-v2,0,mpi4,implicit,1.5,2.5,4.0,0.0011454452610394565,0.002178348687078735,0.5159828023249906,0.516098366144054,0.0390625,True
halfcheetah-medium-v2,0,mpi4,explicit,4.0,10.0,14.0,0.3284197675245802,0.66386212405569,0.45385707459552727,0.3837307050672305,1.0,True
halfcheetah-medium-v2,0,mpi4,implicit,4.0,10.0,14.0,0.009147072162773284,0.014255703836956075,0.614402573264145,0.6141353089420524,0.009765625,True
halfcheetah-medium-v2,0,mpi4,explicit,7.0,7.0,14.0,0.31258026464027944,0.6318444227217679,0.45385707459552727,0.3780410112449928,1.0,True
halfcheetah-medium-v2,0,mpi4,implicit,7.0,7.0,14.0,0.001992904969170612,0.003213051979416925,0.6672603929411085,0.6677751252624853,0.0078125,True
halfcheetah-medium-v2,0,mpi4,explicit,7.0,10.0,17.0,0.3300066147426559,0.6649434635089279,0.44516879793530645,0.3695391471905036,1.0,True
halfcheetah-medium-v2,0,mpi4,implicit,7.0,10.0,17.0,0.002186877356174248,0.0041744093987865286,0.5240898202968995,0.5235112902768759,0.005859375,True
halfcheetah-medium-v2,0,mpi4,explicit,10.0,10.0,20.0,0.3807672539136082,0.6817963817499517,0.5081429972672028,0.40758696640634057,1.0,True
