environment,seed,tau,method,hop,n_hops,ref_method,hop_vs_mpi1_final_rms,relative_hop_vs_mpi1_final,hop_vs_prev_rms,hop_vs_aD_rms,is_final_hop,n_states
halfcheetah-medium-v2,0,0.05,mpi1,1,1,mpi1,0.0,0.0,0.47683709643696964,0.47683709643696964,True,512
halfcheetah-medium-v2,0,0.05,mpi2,1,2,mpi1,0.36621576127764743,0.7680102156776206,0.35816319600450036,0.35816319600450036,False,512
halfcheetah-medium-v2,0,0.05,mpi2,2,2,mpi1,0.41573873799168426,0.8718674387923557,0.2120676981542486,0.4677178524926584,True,512
halfcheetah-medium-v2,0,0.05,mpi4,1,4,mpi1,0.42524597447338375,0.8918055613770699,0.24987108700479554,0.24987108700479554,False,512
halfcheetah-medium-v2,0,0.05,mpi4,2,4,mpi1,0.42231476443079186,0.8856583675775637,0.0734735286819485,0.25445106237375437,False,512
halfcheetah-medium-v2,0,0.05,mpi4,3,4,mpi1,0.41749734731633725,0.8755555103324975,0.06214697850263815,0.2551656541592871,False,512
halfcheetah-medium-v2,0,0.05,mpi4,4,4,mpi1,0.41899071708889024,0.878687334143421,0.06266832328636673,0.2587938345184772,True,512
halfcheetah-medium-v2,0,0.1,mpi1,1,1,mpi1,0.0,0.0,0.641115567203434,0.641115567203434,True,512
halfcheetah-medium-v2,0,0.1,mpi4,1,4,mpi1,0.6031366851073692,0.9407612542279548,0.2552612100422687,0.2552612100422687,False,512
halfcheetah-medium-v2,0,0.1,mpi4,2,4,mpi1,0.6028225863381267,0.9402713288770347,0.07243788016841253,0.2578372477116667,False,512
halfcheetah-medium-v2,0,0.1,mpi4,3,4,mpi1,0.5949664972271832,0.9280175488834962,0.062158577159260354,0.2621470766748401,False,512
halfcheetah-medium-v2,0,0.1,mpi4,4,4,mpi1,0.6024164038851695,0.9396377731286866,0.06252206550084526,0.26283398296807914,True,512
halfcheetah-medium-v2,0,0.2,mpi4,1,4,,nan,nan,0.25628715712959527,0.25628715712959527,False,512
halfcheetah-medium-v2,0,0.2,mpi4,2,4,,nan,nan,0.07282162557096128,0.25811123873492825,False,512
halfcheetah-medium-v2,0,0.2,mpi4,3,4,,nan,nan,0.06275506061313663,0.2638545497960875,False,512
halfcheetah-medium-v2,0,0.2,mpi4,4,4,,nan,nan,0.060953655543850294,0.265385459380443,True,512
halfcheetah-medium-v2,0,0.4,mpi4,1,4,,nan,nan,0.2486723325441548,0.2486723325441548,False,512
halfcheetah-medium-v2,0,0.4,mpi4,2,4,,nan,nan,0.07113852552992204,0.25190496881298446,False,512
halfcheetah-medium-v2,0,0.4,mpi4,3,4,,nan,nan,0.06377262009579077,0.2566267281627662,False,512
halfcheetah-medium-v2,0,0.4,mpi4,4,4,,nan,nan,0.06087046263978339,0.2598366248919984,True,512
halfcheetah-medium-v2,0,1.5,mpi4,1,4,,nan,nan,0.24621708084829966,0.24621708084829966,False,512
halfcheetah-medium-v2,0,1.5,mpi4,2,4,,nan,nan,0.08948740257097411,0.258301442099496,False,512
halfcheetah-medium-v2,0,1.5,mpi4,3,4,,nan,nan,0.06730372151337409,0.26404679467048625,False,512
halfcheetah-medium-v2,0,1.5,mpi4,4,4,,nan,nan,0.06803736590749207,0.2713453258215865,True,512
halfcheetah-medium-v2,0,2.5,mpi4,1,4,,nan,nan,0.2578725861578936,0.2578725861578936,False,512
halfcheetah-medium-v2,0,2.5,mpi4,2,4,,nan,nan,0.0748611826278149,0.2642520030140097,False,512
halfcheetah-medium-v2,0,2.5,mpi4,3,4,,nan,nan,0.07135109822706932,0.2763725064763673,False,512
halfcheetah-medium-v2,0,2.5,mpi4,4,4,,nan,nan,0.07233475355885921,0.287083116574438,True,512
halfcheetah-medium-v2,0,4.0,mpi4,1,4,,nan,nan,0.2584105167975054,0.2584105167975054,False,512
halfcheetah-medium-v2,0,4.0,mpi4,2,4,,nan,nan,0.0813645245381453,0.2706126466800016,False,512
halfcheetah-medium-v2,0,4.0,mpi4,3,4,,nan,nan,0.07824594557440868,0.28392065985807174,False,512
halfcheetah-medium-v2,0,4.0,mpi4,4,4,,nan,nan,0.0761940669109435,0.295055844094846,True,512
halfcheetah-medium-v2,0,7.0,mpi4,1,4,,nan,nan,0.2617888088410157,0.2617888088410157,False,512
halfcheetah-medium-v2,0,7.0,mpi4,2,4,,nan,nan,0.0953187782804591,0.28147557748481666,False,512
halfcheetah-medium-v2,0,7.0,mpi4,3,4,,nan,nan,0.08998693997567828,0.303417863215904,False,512
halfcheetah-medium-v2,0,7.0,mpi4,4,4,,nan,nan,0.0922659565466834,0.32720475084862144,True,512
