run_dir,params_1000000_sha256,params_1000000_bytes,params_1000000_mtime,has_config,has_eval_csv,config_bytes,eval_bytes,train_log,has_train_log,train_log_bytes
halfcheetah-expert-v2_tau0.05_mpi4_seed0,f351a7dc4146f496c5dbb90715490ab0678d6589b7a9c637e209efc89b4ed901,6056735,2026-08-30T05:24:18,True,True,657,192,halfcheetah-expert-v2_tau0.05_mpi4_seed0.log,True,1230
halfcheetah-expert-v2_tau0.05_mpi4_seed1,9c0fa0afe7bacc80401e37fe4b142b8a00d27ef67248163afe153e58ff7cbd02,6056735,2026-08-30T05:24:18,True,True,657,196,halfcheetah-expert-v2_tau0.05_mpi4_seed1.log,True,1230
halfcheetah-expert-v2_tau0.05_mpi4_seed2,e54b526f6340e8172dd10084c36f25575b6cf4b854bda2275696148e19e86ccf,6056735,2026-08-31T01:42:04,True,True,657,193,halfcheetah-expert-v2_tau0.05_mpi4_seed2.log,True,1230
halfcheetah-expert-v2_tau0.05_mpi4_seed3,d6e4bb60a3123964bf532af3550d29c37224996cd66ba034f1971fc6a8dc78a6,6056735,2026-08-31T01:42:04,True,True,657,194,halfcheetah-expert-v2_tau0.05_mpi4_seed3.log,True,1230
halfcheetah-expert-v2_tau0.1_mpi4_seed0,c51269c8f0b6825a0ac81cb5946bd58922f681649ac942b873f7e3bb7d02340a,6056735,2026-08-30T05:33:59,True,True,656,193,halfcheetah-expert-v2_tau0.1_mpi4_seed0.log,True,1227
halfcheetah-expert-v2_tau0.1_mpi4_seed1,c83c6dc5c2e9bc778ade07cbd059463758c84aa5c17a748a4f2be57e17b8d3ba,6056735,2026-08-30T05:33:59,True,True,656,191,halfcheetah-expert-v2_tau0.1_mpi4_seed1.log,True,1227
halfcheetah-expert-v2_tau0.1_mpi4_seed2,d7be080b87d5161c8fe52314f1fa646a33d27b26386f62eb6aa83a557f533887,6056735,2026-08-31T01:51:44,True,True,656,191,halfcheetah-expert-v2_tau0.1_mpi4_seed2.log,True,1227
halfcheetah-expert-v2_tau0.1_mpi4_seed3,87c92c1382a7685326a91777369f124606649cb83535af4793f3e67873d54abb,6056735,2026-08-31T01:51:44,True,True,656,193,halfcheetah-expert-v2_tau0.1_mpi4_seed3.log,True,1227
halfcheetah-expert-v2_tau0.2_mpi4_seed0,13324e8bc3212bb4c520af63740ae5ee7293cec116317dbd655fc19fb5204c8a,6056735,2026-08-30T05:43:39,True,True,656,192,halfcheetah-expert-v2_tau0.2_mpi4_seed0.log,True,1227
halfcheetah-expert-v2_tau0.2_mpi4_seed1,45dd05557a02125372be96598c3e01ee80d4fd8a1496d3c824922acafa65df6d,6056735,2026-08-30T05:43:39,True,True,656,192,halfcheetah-expert-v2_tau0.2_mpi4_seed1.log,True,1227
halfcheetah-expert-v2_tau0.2_mpi4_seed2,192e87ee286422dec3539cc7fdce5467ddf26e43946afcc0c9d13a287063e708,6056735,2026-08-31T02:01:25,True,True,656,192,halfcheetah-expert-v2_tau0.2_mpi4_seed2.log,True,1227
halfcheetah-expert-v2_tau0.2_mpi4_seed3,d5aa609c551abfab01c04329ffeb9a89eec68aac76b16c4889c09544fde198ae,6056735,2026-08-31T02:01:25,True,True,656,187,halfcheetah-expert-v2_tau0.2_mpi4_seed3.log,True,1227
halfcheetah-expert-v2_tau0.4_mpi4_seed0,83c3884508ad5fff3fad0d538d76eb327017772d9d3b55885041c468d581fbc9,6056735,2026-08-30T05:53:19,True,True,656,192,halfcheetah-expert-v2_tau0.4_mpi4_seed0.log,True,1227
halfcheetah-expert-v2_tau0.4_mpi4_seed1,186de23a9c282a85c725f422669d2b8eebad3ea760adf3496713f963a20516c7,6056735,2026-08-30T05:53:19,True,True,656,192,halfcheetah-expert-v2_tau0.4_mpi4_seed1.log,True,1227
halfcheetah-expert-v2_tau0.4_mpi4_seed2,b9e1e1291958d89dbbcb8786b9064a6c5d71fc4cf425b4dde04cf575cbae9b13,6056735,2026-08-31T02:11:05,True,True,656,190,halfcheetah-expert-v2_tau0.4_mpi4_seed2.log,True,1227
halfcheetah-expert-v2_tau0.4_mpi4_seed3,012ca1bce916b677f0271d72a29ea6ba7a4cda1ec3c950c40c3b8b1b3676995a,6056735,2026-08-31T02:11:05,True,True,656,191,halfcheetah-expert-v2_tau0.4_mpi4_seed3.log,True,1227
halfcheetah-expert-v2_tau0.7_mpi4_seed0,1b241ac4c505ba095d7868ffca5661bc88036da0cdd849addd4f49a5f72d7348,6056735,2026-08-30T06:02:57,True,True,656,191,halfcheetah-expert-v2_tau0.7_mpi4_seed0.log,True,1227
halfcheetah-expert-v2_tau0.7_mpi4_seed1,32e819a2781fd2134f8dff12517b1ef620ed5b026fc6d1742cc250bed7bd77e8,6056735,2026-08-30T06:02:57,True,True,656,193,halfcheetah-expert-v2_tau0.7_mpi4_seed1.log,True,1227
halfcheetah-expert-v2_tau0.7_mpi4_seed2,abf864b9d13e04405760c7024a0df31913742a1be68f613f60cca353be245d04,6056735,2026-08-31T02:20:45,True,True,656,191,halfcheetah-expert-v2_tau0.7_mpi4_seed2.log,True,1227
halfcheetah-expert-v2_tau0.7_mpi4_seed3,94f2399c9cc44c20e637a933a96dd19154746bed9f3e5c4e3d987ef00bddce6a,6056735,2026-08-31T02:20:45,True,True,656,192,halfcheetah-expert-v2_tau0.7_mpi4_seed3.log,True,1227
halfcheetah-expert-v2_tau1.5_mpi4_seed0,44251486341fcf1b4bb4bcf18aeef5272a5f6a9cd84ba3d35d24acb3dcce58d3,6056735,2026-08-30T06:12:36,True,True,656,189,halfcheetah-expert-v2_tau1.5_mpi4_seed0.log,True,1227
halfcheetah-expert-v2_tau1.5_mpi4_seed1,edc9e1d3b3839211271635f6a3013d412a9db7d4b6826cb8a2bfefb07e67d3e6,6056735,2026-08-30T06:12:36,True,True,656,189,halfcheetah-expert-v2_tau1.5_mpi4_seed1.log,True,1227
