family,K,integrator,environment,T,seed,tag,score_column,target_d4rl,deployment_d4rl,delta_endpoint_minus_first,host_run_dir
historical_score_grid_s23,3,implicit,hopper-medium-v2,0.05,2,hopper-medium-v2_tau0.05_mpi3_seed2,d4rl_pi3,46.89435691713243,44.9813154204256,-1.9130414967068248,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau0.05_mpi3_seed2
historical_score_grid_s23,3,implicit,hopper-medium-v2,0.05,3,hopper-medium-v2_tau0.05_mpi3_seed3,d4rl_pi3,44.67126981894501,46.58786351941336,1.9165937004683542,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau0.05_mpi3_seed3
historical_score_grid_s23,3,implicit,hopper-medium-v2,0.1,2,hopper-medium-v2_tau0.1_mpi3_seed2,d4rl_pi3,42.877553370603636,42.21528565218801,-0.6622677184156274,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau0.1_mpi3_seed2
historical_score_grid_s23,3,implicit,hopper-medium-v2,0.1,3,hopper-medium-v2_tau0.1_mpi3_seed3,d4rl_pi3,42.36024648965437,48.39536019956537,6.035113709910995,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau0.1_mpi3_seed3
historical_score_grid_s23,3,implicit,hopper-medium-v2,0.2,2,hopper-medium-v2_tau0.2_mpi3_seed2,d4rl_pi3,47.84866627228278,43.032065402833595,-4.816600869449182,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau0.2_mpi3_seed2
historical_score_grid_s23,3,implicit,hopper-medium-v2,0.2,3,hopper-medium-v2_tau0.2_mpi3_seed3,d4rl_pi3,44.90890867505239,47.45402566986795,2.545116994815565,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau0.2_mpi3_seed3
historical_score_grid_s23,3,implicit,hopper-medium-v2,0.4,2,hopper-medium-v2_tau0.4_mpi3_seed2,d4rl_pi3,47.603202192047874,42.739222080629965,-4.863980111417909,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau0.4_mpi3_seed2
historical_score_grid_s23,3,implicit,hopper-medium-v2,0.4,3,hopper-medium-v2_tau0.4_mpi3_seed3,d4rl_pi3,43.04791749787164,53.652216254817716,10.60429875694608,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau0.4_mpi3_seed3
historical_score_grid_s23,3,implicit,hopper-medium-v2,0.7,2,hopper-medium-v2_tau0.7_mpi3_seed2,d4rl_pi3,43.773314905152425,41.06738657279869,-2.7059283323537358,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau0.7_mpi3_seed2
historical_score_grid_s23,3,implicit,hopper-medium-v2,0.7,3,hopper-medium-v2_tau0.7_mpi3_seed3,d4rl_pi3,44.87651321160914,52.22276841345626,7.346255201847121,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau0.7_mpi3_seed3
historical_score_grid_s23,3,implicit,hopper-medium-v2,1.5,2,hopper-medium-v2_tau1.5_mpi3_seed2,d4rl_pi3,47.57353690699738,44.03964621990032,-3.533890687097063,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau1.5_mpi3_seed2
historical_score_grid_s23,3,implicit,hopper-medium-v2,1.5,3,hopper-medium-v2_tau1.5_mpi3_seed3,d4rl_pi3,48.01539465882393,52.159572470079226,4.144177811255297,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau1.5_mpi3_seed3
historical_score_grid_s23,3,implicit,hopper-medium-v2,2.5,2,hopper-medium-v2_tau2.5_mpi3_seed2,d4rl_pi3,44.23189961837508,53.915933198013974,9.684033579638893,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau2.5_mpi3_seed2
historical_score_grid_s23,3,implicit,hopper-medium-v2,2.5,3,hopper-medium-v2_tau2.5_mpi3_seed3,d4rl_pi3,48.24191850539607,50.52004777306749,2.2781292676714173,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau2.5_mpi3_seed3
historical_score_grid_s23,3,implicit,hopper-medium-v2,4,2,hopper-medium-v2_tau4_mpi3_seed2,d4rl_pi3,45.11915860209154,68.68399730946645,23.56483870737491,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau4_mpi3_seed2
historical_score_grid_s23,3,implicit,hopper-medium-v2,4,3,hopper-medium-v2_tau4_mpi3_seed3,d4rl_pi3,46.70376179688664,54.074420591654295,7.370658794767657,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau4_mpi3_seed3
historical_score_grid_s23,3,implicit,hopper-medium-v2,7,2,hopper-medium-v2_tau7_mpi3_seed2,d4rl_pi3,46.88240838829676,94.77670592519704,47.894297536900275,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau7_mpi3_seed2
historical_score_grid_s23,3,implicit,hopper-medium-v2,7,3,hopper-medium-v2_tau7_mpi3_seed3,d4rl_pi3,48.864793644009154,80.31170706040106,31.446913416391908,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau7_mpi3_seed3
historical_score_grid_s23,3,implicit,hopper-medium-v2,10,2,hopper-medium-v2_tau10_mpi3_seed2,d4rl_pi3,25.69614691314946,0.6735265113209262,-25.022620401828533,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau10_mpi3_seed2
historical_score_grid_s23,3,implicit,hopper-medium-v2,10,3,hopper-medium-v2_tau10_mpi3_seed3,d4rl_pi3,47.23967876455302,99.29227419667515,52.05259543212213,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau10_mpi3_seed3
historical_score_grid_s23,3,implicit,hopper-medium-v2,12,2,hopper-medium-v2_tau12_mpi3_seed2,d4rl_pi3,74.33100146587395,6.443000777561775,-67.88800068831218,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau12_mpi3_seed2
historical_score_grid_s23,3,implicit,hopper-medium-v2,12,3,hopper-medium-v2_tau12_mpi3_seed3,d4rl_pi3,50.8498653176859,101.37533397850956,50.52546866082366,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau12_mpi3_seed3
historical_score_grid_s23,3,implicit,hopper-medium-v2,14,2,hopper-medium-v2_tau14_mpi3_seed2,d4rl_pi3,1.0896210055011453,0.7324674912774559,-0.35715351422368935,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau14_mpi3_seed2
historical_score_grid_s23,3,implicit,hopper-medium-v2,14,3,hopper-medium-v2_tau14_mpi3_seed3,d4rl_pi3,55.46881864481967,101.03344504036447,45.5646263955448,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau14_mpi3_seed3
historical_score_grid_s23,3,implicit,hopper-medium-v2,17,2,hopper-medium-v2_tau17_mpi3_seed2,d4rl_pi3,0.7864593792924236,0.7324674912774559,-0.05399188801496768,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau17_mpi3_seed2
historical_score_grid_s23,3,implicit,hopper-medium-v2,17,3,hopper-medium-v2_tau17_mpi3_seed3,d4rl_pi3,62.8663592680677,101.53874707094556,38.672387802877864,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau17_mpi3_seed3
historical_score_grid_s23,3,implicit,hopper-medium-v2,20,2,hopper-medium-v2_tau20_mpi3_seed2,d4rl_pi3,0.8636138240675171,0.7324674912774559,-0.13114633279006116,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau20_mpi3_seed2
historical_score_grid_s23,3,implicit,hopper-medium-v2,20,3,hopper-medium-v2_tau20_mpi3_seed3,d4rl_pi3,101.3961248259907,101.49206126548525,0.095936439494551,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-v2_tau20_mpi3_seed3
historical_score_grid_s23,3,implicit,hopper-medium-replay-v2,0.05,2,hopper-medium-replay-v2_tau0.05_mpi3_seed2,d4rl_pi3,15.987037188375789,12.674342283427956,-3.3126949049478327,/home/ext_csh/MPI_sweep/results/mpi3_s23/hopper-medium-replay-v2_tau0.05_mpi3_seed2
