family,K,integrator,environment,T,seed,tag,score_column,target_d4rl,deployment_d4rl,delta_endpoint_minus_first,host_run_dir
historical_i4_504_cpu_reeval,4,implicit,hopper-medium-v2,0.05,0,hopper-medium-v2_tau0.05_mpi4_seed0,d4rl_pi4,53.29732379534056,43.962452475553825,-9.334871319786735,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/hopper-medium-v2_tau0.05_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,hopper-medium-v2,0.05,1,hopper-medium-v2_tau0.05_mpi4_seed1,d4rl_pi4,49.90442251607572,44.826285570254235,-5.078136945821484,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/hopper-medium-v2_tau0.05_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,hopper-medium-v2,0.05,2,hopper-medium-v2_tau0.05_mpi4_seed2,d4rl_pi4,45.429441798830894,43.722554250280844,-1.7068875485500499,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/hopper-medium-v2_tau0.05_mpi4_seed2
historical_i4_504_cpu_reeval,4,implicit,hopper-medium-v2,0.05,3,hopper-medium-v2_tau0.05_mpi4_seed3,d4rl_pi4,48.35583130303151,51.857802054568616,3.501970751537108,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/hopper-medium-v2_tau0.05_mpi4_seed3
historical_i4_504_cpu_reeval,4,implicit,hopper-medium-v2,0.1,0,hopper-medium-v2_tau0.1_mpi4_seed0,d4rl_pi4,48.563172787105856,43.644713367914164,-4.9184594191916915,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/hopper-medium-v2_tau0.1_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,hopper-medium-v2,0.1,1,hopper-medium-v2_tau0.1_mpi4_seed1,d4rl_pi4,45.66304042763291,44.951534934574276,-0.7115054930586311,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/hopper-medium-v2_tau0.1_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,hopper-medium-v2,0.1,2,hopper-medium-v2_tau0.1_mpi4_seed2,d4rl_pi4,51.35742417113024,41.67526985724002,-9.682154313890223,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/hopper-medium-v2_tau0.1_mpi4_seed2
historical_i4_504_cpu_reeval,4,implicit,hopper-medium-v2,0.1,3,hopper-medium-v2_tau0.1_mpi4_seed3,d4rl_pi4,53.39140774474443,48.37985633624158,-5.0115514085028465,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/hopper-medium-v2_tau0.1_mpi4_seed3
historical_i4_504_cpu_reeval,4,implicit,hopper-medium-v2,0.2,0,hopper-medium-v2_tau0.2_mpi4_seed0,d4rl_pi4,50.62304418136648,45.96485441541945,-4.658189765947029,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/hopper-medium-v2_tau0.2_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,hopper-medium-v2,0.2,1,hopper-medium-v2_tau0.2_mpi4_seed1,d4rl_pi4,48.68610343419587,49.371597300769565,0.6854938665736938,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/hopper-medium-v2_tau0.2_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,hopper-medium-v2,0.2,2,hopper-medium-v2_tau0.2_mpi4_seed2,d4rl_pi4,44.9984361324602,46.81175301688757,1.8133168844273726,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/hopper-medium-v2_tau0.2_mpi4_seed2
