family,K,integrator,environment,T,seed,tag,score_column,target_d4rl,deployment_d4rl,delta_endpoint_minus_first,host_run_dir
p0_contemporaneous_i4,4,implicit,hopper-medium-v2,4,0,hopper-medium-v2_tau4_mpi4_seed0,d4rl_pi4,49.91623177850066,58.43276895306132,8.51653717456066,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
p0_contemporaneous_i4,4,implicit,hopper-medium-v2,4,1,hopper-medium-v2_tau4_mpi4_seed1,d4rl_pi4,48.80016203756621,70.98385541587153,22.18369337830532,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
p0_contemporaneous_i4,4,implicit,hopper-medium-v2,7,0,hopper-medium-v2_tau7_mpi4_seed0,d4rl_pi4,54.11656123004085,97.42622666302383,43.309665432982975,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau7_mpi4_seed0
p0_contemporaneous_i4,4,implicit,hopper-medium-v2,7,1,hopper-medium-v2_tau7_mpi4_seed1,d4rl_pi4,49.82695707836454,83.4861315173573,33.65917443899275,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau7_mpi4_seed1
p0_contemporaneous_i4,4,implicit,hopper-medium-v2,10,0,hopper-medium-v2_tau10_mpi4_seed0,d4rl_pi4,50.82926298959622,100.62532829809756,49.79606530850134,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau10_mpi4_seed0
p0_contemporaneous_i4,4,implicit,hopper-medium-v2,10,1,hopper-medium-v2_tau10_mpi4_seed1,d4rl_pi4,51.51022037706468,100.74766430811697,49.23744393105229,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau10_mpi4_seed1
p0_contemporaneous_i4,4,implicit,hopper-medium-v2,14,0,hopper-medium-v2_tau14_mpi4_seed0,d4rl_pi4,68.75094024342867,101.22063075861216,32.46969051518349,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau14_mpi4_seed0
p0_contemporaneous_i4,4,implicit,hopper-medium-v2,14,1,hopper-medium-v2_tau14_mpi4_seed1,d4rl_pi4,54.28098347609054,100.9527563985614,46.671772922470865,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau14_mpi4_seed1
p0_contemporaneous_i4,4,implicit,hopper-medium-v2,20,0,hopper-medium-v2_tau20_mpi4_seed0,d4rl_pi4,68.99723413561341,101.31860077558706,32.32136663997365,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau20_mpi4_seed0
p0_contemporaneous_i4,4,implicit,hopper-medium-v2,20,1,hopper-medium-v2_tau20_mpi4_seed1,d4rl_pi4,55.44099099931372,47.233420930053626,-8.207570069260093,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau20_mpi4_seed1
