env,tau,seed,method,total_hops,d4rl_score,critic_displacement_sq_mean_metric_mean,final_displacement_sq_mean_metric_mean,final_over_critic_rms
halfcheetah-expert-v2,10.0,0,exp2m,2,9.136261904514747,0.0464770981220631,0.05587579072977861,1.096458854105499
halfcheetah-expert-v2,10.0,1,exp2m,2,2.459843985932357,0.11292647377800014,0.13947615261890853,1.1113531785663902
halfcheetah-expert-v2,14.0,0,exp2m,2,4.5365990456805605,0.061808332791504335,0.11350299702006028,1.3551274730031058
halfcheetah-expert-v2,14.0,1,exp2m,2,1.1477917331437002,0.07776752731512913,0.0919910649736178,1.0876112173298627
halfcheetah-expert-v2,20.0,0,exp2m,2,1.381347733890032,0.0857795101333182,0.11323839956594221,1.148960452649368
halfcheetah-expert-v2,20.0,1,exp2m,2,12.241163031496969,0.11234244068902488,0.16345227709085033,1.2062117651176574
halfcheetah-expert-v2,4.0,0,exp2m,2,76.67797755430662,0.028899403252184194,0.032324207601454075,1.057595285465346
halfcheetah-expert-v2,4.0,1,exp2m,2,62.30141941952089,0.028318957285185197,0.03223868007720446,1.0669645668553058
halfcheetah-expert-v2,7.0,0,exp2m,2,25.918094143315145,0.03227138113663378,0.041462402672614786,1.1334919920958186
halfcheetah-expert-v2,7.0,1,exp2m,2,53.31751268750299,0.03345840438984302,0.04256355219981977,1.1278888926290471
halfcheetah-medium-replay-v2,10.0,0,exp2m,2,49.99995364131308,0.1446356502676672,0.19989398451561743,1.1756070619010002
halfcheetah-medium-replay-v2,10.0,1,exp2m,2,47.833508921177035,0.14100823132871212,0.1924602741872609,1.16828370010818
halfcheetah-medium-replay-v2,14.0,0,exp2m,2,41.63736228224783,0.1577772077464296,0.22661951536250521,1.1984682145480647
halfcheetah-medium-replay-v2,14.0,1,exp2m,2,48.60309913985013,0.17493176563811763,0.22279668283741763,1.1285479609265883
halfcheetah-medium-replay-v2,20.0,0,exp2m,2,41.99083270646851,0.24080716692724535,0.28644059973450614,1.090642916440183
halfcheetah-medium-replay-v2,20.0,1,exp2m,2,35.937620919142674,0.3087358624466956,0.333492784772409,1.0393209492691697
halfcheetah-medium-replay-v2,4.0,0,exp2m,2,49.20342318353849,0.1108149091768213,0.14714723821913792,1.1523302432799978
halfcheetah-medium-replay-v2,4.0,1,exp2m,2,49.99347674487928,0.11627679318583412,0.14722931196313493,1.1252541371829636
halfcheetah-medium-replay-v2,7.0,0,exp2m,2,49.28693184204431,0.12340496765895816,0.16738609954224212,1.1646444822615218
halfcheetah-medium-replay-v2,7.0,1,exp2m,2,51.72596218240951,0.12345778057538026,0.16863258968527783,1.168722814954095
halfcheetah-medium-v2,10.0,0,exp2m,2,55.060219036320554,0.05031910445497476,0.07232759368744325,1.1989071676952765
halfcheetah-medium-v2,10.0,1,exp2m,2,55.546455381857896,0.04735713558278928,0.06753928615893691,1.1942232444429859
halfcheetah-medium-v2,14.0,0,exp2m,2,53.898405800616686,0.059285586484147994,0.0897684598605048,1.2305161749882174
halfcheetah-medium-v2,14.0,1,exp2m,2,52.57568548018018,0.06517997832619435,0.08728138477376736,1.1571874318055528
halfcheetah-medium-v2,20.0,0,exp2m,2,48.20727665311683,0.08472242072642273,0.11882062153384283,1.1842591033725534
halfcheetah-medium-v2,20.0,1,exp2m,2,52.07210048899914,0.09390577605169008,0.12006295745122116,1.130728569527469
halfcheetah-medium-v2,4.0,0,exp2m,2,53.055893527184814,0.03497708909960287,0.04368342043788517,1.1175487744048733
halfcheetah-medium-v2,4.0,1,exp2m,2,53.55608637179162,0.03625355383234458,0.0435666663336978,1.096230476871827
halfcheetah-medium-v2,7.0,0,exp2m,2,55.65851988687955,0.03897347731616788,0.05534468924294062,1.1916628444000492
halfcheetah-medium-v2,7.0,1,exp2m,2,54.96324824273936,0.04171762116710483,0.05736566347817881,1.1726441530276055
hopper-expert-v2,10.0,0,exp2m,2,1.8196078126231339,0.7939111142748677,0.9244293872188386,1.0790732599546424
hopper-expert-v2,10.0,1,exp2m,2,1.8199033857390776,0.8647466207035491,0.9884755047549714,1.0691497014933509
hopper-expert-v2,14.0,0,exp2m,2,1.8195997084397029,0.7053003497649767,0.7901905879677518,1.0584707877337176
hopper-expert-v2,14.0,1,exp2m,2,1.8183988868064251,0.6987974658629806,0.7951026552720152,1.066684393923611
hopper-expert-v2,20.0,0,exp2m,2,1.8196078133883824,0.645043497677662,0.8066956289788875,1.11830521724236
hopper-expert-v2,20.0,1,exp2m,2,1.819903610444258,0.9418857490579904,1.0459805344511377,1.0538109045863224
hopper-expert-v2,4.0,0,exp2m,2,109.643771169907,0.052222747629659894,0.05336569726748258,1.010883796222411
hopper-expert-v2,4.0,1,exp2m,2,100.07445344051311,0.050525459397005,0.052080413164124234,1.0152712190694313
