manifest_index,key,condition,environment,T,seed,score_column,deployment_d4rl,host_shard,score_source,config_sha256
1,bar_p4|hopper-medium-v2|T=4|seed=0,bar_p4,hopper-medium-v2,4,0,d4rl_pi4,58.43276895306132,ext_csv,first90_final_scores.csv,22d22dcc517ef7e176e0e373f83d468ca540640f93e0c97092e657e935cc138e
2,two_actor_p4|hopper-medium-v2|T=4|seed=0,two_actor_p4,hopper-medium-v2,4,0,d4rl_eval,75.49907526614189,ext_csv,first90_final_scores.csv,654698459dce735aff0bbe848f03239cdc651caf6a5867ba4a3b19879d9c913e
3,bar_p4|hopper-medium-v2|T=4|seed=1,bar_p4,hopper-medium-v2,4,1,d4rl_pi4,70.98385541587153,ext_csv,first90_final_scores.csv,8a42af56fc8d5d25563c0815f48935f7331a9c7743073bcd3e46686d92648404
4,two_actor_p4|hopper-medium-v2|T=4|seed=1,two_actor_p4,hopper-medium-v2,4,1,d4rl_eval,57.867585638127984,ext_csv,first90_final_scores.csv,6c70a40572790b26f237100f4b3df64dbe02053390c3b2b9fc060cf6a6f8af23
5,bar_p4|hopper-medium-v2|T=7|seed=0,bar_p4,hopper-medium-v2,7,0,d4rl_pi4,97.42622666302383,ext_csv,first90_final_scores.csv,b0d73774a5c34a300279410723a7dfb212febdca955b086c09756f27337bd6db
6,two_actor_p4|hopper-medium-v2|T=7|seed=0,two_actor_p4,hopper-medium-v2,7,0,d4rl_eval,98.89577782514104,ext_csv,first90_final_scores.csv,0192edc7d145045bb021f99ec57e684abf11327a6660444d9c07c69b4d9ba9e5
7,bar_p4|hopper-medium-v2|T=7|seed=1,bar_p4,hopper-medium-v2,7,1,d4rl_pi4,83.4861315173573,ext_csv,first90_final_scores.csv,6cfa85d7eb099fbd0397f6a3291181ec29b3f6af6ec57158c05257620ffeaa43
8,two_actor_p4|hopper-medium-v2|T=7|seed=1,two_actor_p4,hopper-medium-v2,7,1,d4rl_eval,100.49764317272498,ext_csv,first90_final_scores.csv,c5c8f028c467a25544175d0f5c890bbb512910e1dd0d5ae3db4d3d2295123304
9,bar_p4|hopper-medium-v2|T=10|seed=0,bar_p4,hopper-medium-v2,10,0,d4rl_pi4,100.62532829809756,ext_csv,first90_final_scores.csv,f4a9389b07e073c49b3fe7095d1303e03516fe413a4a5b695e30112d47dc941f
10,two_actor_p4|hopper-medium-v2|T=10|seed=0,two_actor_p4,hopper-medium-v2,10,0,d4rl_eval,99.59075623653766,ext_csv,first90_final_scores.csv,57f399460b1bcc7946c8bfae1bff0b73647e23c262f2a5e9bebba36276f227c3
11,bar_p4|hopper-medium-v2|T=10|seed=1,bar_p4,hopper-medium-v2,10,1,d4rl_pi4,100.74766430811697,ext_csv,first90_final_scores.csv,d73a8350bd94f744f0a4efb3fa67212d985482f887baf073619ba3488cd3658e
12,two_actor_p4|hopper-medium-v2|T=10|seed=1,two_actor_p4,hopper-medium-v2,10,1,d4rl_eval,97.84462648280717,ext_csv,first90_final_scores.csv,1c4b6cbf1a86f2bd8130ccb5f8c2a1804c888a512dc320ec6f37635add934c52
13,bar_p4|hopper-medium-v2|T=14|seed=0,bar_p4,hopper-medium-v2,14,0,d4rl_pi4,101.22063075861216,ext_csv,first90_final_scores.csv,cbe144371432106900ee02fb287ce9977267f6d867347ef7fc3bae32a31b2792
14,two_actor_p4|hopper-medium-v2|T=14|seed=0,two_actor_p4,hopper-medium-v2,14,0,d4rl_eval,100.19772054831577,ext_csv,first90_final_scores.csv,edf8719e1728c001ceeb75df94c94fa1e91641de9a4361b59ffc56608487db2b
15,bar_p4|hopper-medium-v2|T=14|seed=1,bar_p4,hopper-medium-v2,14,1,d4rl_pi4,100.9527563985614,ext_csv,first90_final_scores.csv,39f4d96d84d0a811adbfe5ef7348237775d1d8dabe4d4e02cca3a22fde741f14
16,two_actor_p4|hopper-medium-v2|T=14|seed=1,two_actor_p4,hopper-medium-v2,14,1,d4rl_eval,99.12217542444908,ext_csv,first90_final_scores.csv,89123844ce663ccff2ac0bae2ecd31b8f25d2351999a5cfaec3f4c058bc69443
17,bar_p4|hopper-medium-v2|T=20|seed=0,bar_p4,hopper-medium-v2,20,0,d4rl_pi4,101.31860077558706,ext_csv,first90_final_scores.csv,883ba5f7ed32b56b4859bc6a86211d87ce726676431936acf15e5c3bfa04fd00
