environment,T,seed,bar_score,two_actor_score,delta_bar_minus_two_actor
hopper-medium-v2,4,0,58.43276895306132,75.499075266141887,-17.066306313080567
hopper-medium-v2,4,1,70.983855415871531,57.867585638127984,13.116269777743547
hopper-medium-v2,7,0,97.426226663023826,98.895777825141039,-1.469551162117213
hopper-medium-v2,7,1,83.486131517357293,100.49764317272498,-17.011511655367684
hopper-medium-v2,10,0,100.62532829809756,99.590756236537658,1.0345720615598992
hopper-medium-v2,10,1,100.74766430811697,97.844626482807172,2.903037825309795
hopper-medium-v2,14,0,101.22063075861216,100.19772054831577,1.0229102102963878
hopper-medium-v2,14,1,100.95275639856141,99.122175424449082,1.8305809741123227
hopper-medium-v2,20,0,101.31860077558706,100.82821498138934,0.49038579419772077
hopper-medium-v2,20,1,47.233420930053626,15.634261821320617,31.599159108733009
hopper-medium-replay-v2,4,0,98.961168018042301,97.000504241948576,1.9606637760937247
hopper-medium-replay-v2,4,1,98.912081147788527,98.331135564023597,0.58094558376492955
hopper-medium-replay-v2,7,0,99.539834321619637,98.508904365611997,1.0309299560076397
hopper-medium-replay-v2,7,1,100.34107052377894,98.407491434090076,1.9335790896888625
hopper-medium-replay-v2,10,0,100.89999788204062,100.24767372969312,0.65232415234750363
hopper-medium-replay-v2,10,1,100.10534849491484,99.183076273745513,0.92227222116932239
hopper-medium-replay-v2,14,0,97.395602301618609,98.843842852362002,-1.4482405507433924
hopper-medium-replay-v2,14,1,100.11317909454237,99.403372103866189,0.70980699067618502
hopper-medium-replay-v2,20,0,101.47993276053194,100.47301324371732,1.0069195168146194
hopper-medium-replay-v2,20,1,99.629399678163082,99.623142508599287,0.0062571695637956282
hopper-expert-v2,4,0,86.949555918730184,110.02914030239307,-23.07958438366289
hopper-expert-v2,4,1,104.9943709308524,99.344570126556718,5.6498008042956798
hopper-expert-v2,7,0,74.987737078414625,99.498698278315871,-24.510961199901246
hopper-expert-v2,7,1,102.99780271481571,99.156398426413574,3.8414042884021313
hopper-expert-v2,10,0,81.391030329723677,108.16737517961369,-26.776344849890009
hopper-expert-v2,10,1,38.803137656180745,81.624729135579528,-42.821591479398784
hopper-expert-v2,14,0,45.30764331021571,1.818401049624143,43.489242260591567
hopper-expert-v2,14,1,1.7686955716754882,66.601170328330582,-64.832474756655088
hopper-expert-v2,20,0,0.7850109539935497,1.8196078126231339,-1.0345968586295842
hopper-expert-v2,20,1,7.7963629449091352,1.8199036104442581,5.9764593344648773
halfcheetah-medium-v2,4,0,52.746453677542661,52.962581912272455,-0.21612823472979414
halfcheetah-medium-v2,4,1,53.070634864943713,53.166623903783147,-0.095989038839434215
halfcheetah-medium-v2,7,0,56.355928183990834,56.305890046013431,0.050038137977402641
halfcheetah-medium-v2,7,1,57.16246090628708,56.133838026397676,1.0286228798894044
halfcheetah-medium-v2,10,0,57.82220343076596,58.346323127458014,-0.52411969669205405
halfcheetah-medium-v2,10,1,59.007663211341821,58.025305696200334,0.98235751514148717
halfcheetah-medium-v2,14,0,57.553672980814831,59.41278169974219,-1.8591087189273594
halfcheetah-medium-v2,14,1,59.480857334604394,59.385104412122416,0.095752922481977976
halfcheetah-medium-v2,20,0,61.096803940237152,60.462339677218225,0.634464263018927
halfcheetah-medium-v2,20,1,59.085122796780546,59.688496937973625,-0.60337414119307908
halfcheetah-medium-replay-v2,4,0,49.791607616379707,48.658954645320982,1.1326529710587252
halfcheetah-medium-replay-v2,4,1,50.69703860963962,49.333545817942472,1.3634927916971478
halfcheetah-medium-replay-v2,7,0,52.647738475583949,50.307661021387261,2.3400774541966882
halfcheetah-medium-replay-v2,7,1,52.909759514003682,49.665724828814817,3.2440346851888648
halfcheetah-medium-replay-v2,10,0,52.47841857874139,52.799903550606111,-0.32148497186472014
halfcheetah-medium-replay-v2,10,1,53.701939268105768,51.962911500233979,1.7390277678717894
halfcheetah-medium-replay-v2,14,0,52.315197211509137,51.389433675308894,0.92576353620024321
halfcheetah-medium-replay-v2,14,1,54.500202925611482,51.137826997567039,3.3623759280444432
halfcheetah-medium-replay-v2,20,0,54.312867875520965,52.290282043897506,2.0225858316234593
halfcheetah-medium-replay-v2,20,1,56.680417473855812,53.95052435926516,2.7298931145906522
halfcheetah-expert-v2,4,0,74.225071503435274,89.744812990777064,-15.51974148734179
halfcheetah-expert-v2,4,1,94.064525623696312,86.086865809307085,7.9776598143892272
halfcheetah-expert-v2,7,0,31.384514010774232,57.348746863094924,-25.964232852320691
halfcheetah-expert-v2,7,1,35.62704890971348,47.748743960756848,-12.121695051043368
halfcheetah-expert-v2,10,0,24.972552109996286,52.554666344774581,-27.582114234778295
halfcheetah-expert-v2,10,1,41.232821913456384,26.342163487556142,14.890658425900241
halfcheetah-expert-v2,14,0,26.040214738529162,33.53994714324535,-7.4997324047161875
halfcheetah-expert-v2,14,1,8.342140542300422,40.437141556436309,-32.095001014135889
halfcheetah-expert-v2,20,0,8.5580857581814698,12.685150704233269,-4.1270649460517994
halfcheetah-expert-v2,20,1,2.3147341391772236,1.3661814122539073,0.94855272692331627
walker2d-medium-v2,4,0,88.725342328511061,87.407397148681156,1.3179451798299056
walker2d-medium-v2,4,1,89.858191730744963,88.451580262479752,1.4066114682652113
walker2d-medium-v2,7,0,89.27012181154268,91.972614313772979,-2.7024925022302995
walker2d-medium-v2,7,1,88.726449356181121,89.755063567411639,-1.0286142112305185
walker2d-medium-v2,10,0,92.924311612197684,91.327782087082525,1.5965295251151588
walker2d-medium-v2,10,1,93.070476039617972,90.820854501994972,2.2496215376229998
walker2d-medium-v2,14,0,11.265735152970711,92.033767544126277,-80.768032391155572
walker2d-medium-v2,14,1,93.817947359181503,94.97720583655763,-1.1592584773761274
walker2d-medium-v2,20,0,8.8077389853002721,61.993578214549792,-53.185839229249524
walker2d-medium-v2,20,1,0.10398311012065385,2.3684229043738587,-2.2644397942532049
walker2d-medium-replay-v2,4,0,89.184003294706272,2.4328687887292566,86.751134505977021
walker2d-medium-replay-v2,4,1,88.851933981474204,88.201343764240264,0.65059021723394039
walker2d-medium-replay-v2,7,0,88.862806037671433,91.184254634525075,-2.3214485968536422
walker2d-medium-replay-v2,7,1,86.684552079798877,92.676123922927289,-5.991571843128412
walker2d-medium-replay-v2,10,0,90.861739428332655,82.55506560822198,8.3066738201106745
walker2d-medium-replay-v2,10,1,89.076880470266943,92.656552142539027,-3.5796716722720845
walker2d-medium-replay-v2,14,0,78.645915156812478,89.132989675238349,-10.487074518425871
walker2d-medium-replay-v2,14,1,97.374885053823945,91.76709080055987,5.6077942532640748
walker2d-medium-replay-v2,20,0,71.669290970334416,74.828846134632315,-3.159555164297899
walker2d-medium-replay-v2,20,1,90.214543458694479,67.211509874207849,23.00303358448663
walker2d-expert-v2,4,0,111.59559944185438,111.33119666742739,0.26440277442698346
walker2d-expert-v2,4,1,112.01504263310127,111.2471515375252,0.7678910955760756
walker2d-expert-v2,7,0,113.67995325258885,112.94499497129679,0.73495828129205165
walker2d-expert-v2,7,1,113.6756946954753,112.73542581269194,0.94026888278335718
walker2d-expert-v2,10,0,114.94027003258802,114.09051878123113,0.84975125135689211
walker2d-expert-v2,10,1,115.67236460173862,113.39894954928522,2.2734150524534016
walker2d-expert-v2,14,0,115.91745717689876,115.31678209008493,0.60067508681383686
walker2d-expert-v2,14,1,2.3797269989140259,-0.27132615083314482,2.6510531497471708
walker2d-expert-v2,20,0,2.301870741924926,2.301870741924926,0
walker2d-expert-v2,20,1,2.3684229043738587,0.017078175039684299,2.3513447293341745
