environment,T,seed,pair_key,hop_index,contrast,same_critic,score_mean,score_se,score_mean_over_se,score_n_pos,score_n_neg,discounted_mean,discounted_se,discounted_mean_over_se,discounted_n_pos,discounted_n_neg,q_s0_mean,q_s0_se,q_s0_mean_over_se,q_s0_n_pos,q_s0_n_neg,length_mean
walker2d-medium-v2,20,0,walker2d-medium-v2|T=20|seed=0,3,MART μ3−μ2 | MART Polyak μ1,True,-1.2101791399627486,0.45874945535756806,-2.637995807579729,2,8,-3.76584148561104,1.5168686862735294,-2.4826417208615013,3,7,0.5405609130859375,0.018493552996288503,29.2296949750231,10,0,0.0
walker2d-medium-v2,20,0,walker2d-medium-v2|T=20|seed=0,3,MART μ3−μ2 | two-actor Polyak target,True,-0.36921958414441464,0.48472998039675097,-0.7617015639144268,3,7,-2.9315311873096137,0.8922191944421282,-3.2856625429837254,0,10,-0.21085052490234374,0.024736876616772575,-8.523732731859074,0,10,0.0
walker2d-medium-v2,20,0,walker2d-medium-v2|T=20|seed=0,2,MART μ2 − two-actor deploy | MART Polyak μ1,True,-0.03749336872732556,2.5883092020488143,-0.014485660638090352,3,7,-31.058239431034604,4.539130305343087,-6.842332636821513,0,10,3.16749267578125,0.06508372752103435,48.66796657824417,10,0,29.8
walker2d-medium-v2,20,0,walker2d-medium-v2|T=20|seed=0,2,MART μ2 − two-actor deploy | two-actor Polyak target,True,-0.8954346088457796,0.579989057975051,-1.5438819000690494,3,7,-12.729988189748918,2.5003247547154537,-5.091333902022515,1,9,-2.6034835815429687,0.09590310936119677,-27.14701951672446,0,10,0.0
walker2d-medium-v2,20,0,walker2d-medium-v2|T=20|seed=0,3,MART μ3 − two-actor deploy | MART Polyak μ1,True,-1.2476725086900742,2.6812338846620536,-0.4653352010159802,1,9,-34.82408091664564,5.013688751232457,-6.94580031679973,0,10,3.7080535888671875,0.05696773658529567,65.09041452463636,10,0,29.8
walker2d-medium-v2,20,0,walker2d-medium-v2|T=20|seed=0,3,MART μ3 − two-actor deploy | two-actor Polyak target,True,-1.2646541929901942,0.4992313513490134,-2.53320267161281,1,9,-15.66151937705853,2.2980291481063544,-6.815196138814905,0,10,-2.8143341064453127,0.0831097983858527,-33.86284362499886,0,10,0.0
walker2d-medium-v2,20,0,walker2d-medium-v2|T=20|seed=0,2,MART Polyak μ1 − two-actor Polyak | first MART μ2,False,-6.494380573080084,0.7865450106127119,-8.256845425821234,0,10,-83.42626598774004,2.2484136078774632,-37.10450145624928,0,10,nan,nan,nan,,,0.0
walker2d-medium-v2,20,0,walker2d-medium-v2|T=20|seed=0,3,MART Polyak μ1 − two-actor Polyak | first MART μ3,False,-7.335340128898419,0.5674366442975222,-12.92715266561513,0,10,-84.26057628604147,3.3611376396279864,-25.06906450143693,0,10,nan,nan,nan,,,0.0
walker2d-medium-v2,20,0,walker2d-medium-v2|T=20|seed=0,0,MART Polyak μ1 − two-actor Polyak | first two-actor deploy,False,-7.352321813198539,2.4292664237192305,-3.0265605046078323,0,10,-65.09801474645435,4.979440773920396,-13.073358576208472,0,10,nan,nan,nan,,,-29.8
walker2d-medium-v2,20,0,walker2d-medium-v2|T=20|seed=0,2,full MART μ2 − full two-actor deploy,False,-13.450654185295969,21.091780772754237,-0.637720177836816,3,7,-154.65440025847428,20.251965077802744,-7.636513279789521,0,10,nan,nan,nan,,,-32.8
walker2d-medium-v2,20,0,walker2d-medium-v2|T=20|seed=0,3,full MART μ3 − full two-actor deploy,False,-22.836760053393505,20.733566560209326,-1.1014390595596084,3,7,-141.84367529865395,20.48207663863409,-6.925258498012984,0,10,nan,nan,nan,,,-105.5
