task,hop,contrast,held_fixed,metric,n,mean,std,n_negative,n_positive,n_zero
hopper-medium-v2,2,first_mart_hop_minus_two_deploy,mart_polyak_mu1,normalized_score,20.0,-2.754891616240017,8.659674224697623,13.0,7.0,0.0
hopper-medium-v2,2,first_mart_hop_minus_two_deploy,mart_polyak_mu1,discounted_return,20.0,-0.07834787159632413,0.7761724423082192,10.0,10.0,0.0
hopper-medium-v2,2,first_mart_hop_minus_two_deploy,two_actor_polyak_target,normalized_score,20.0,-3.655742245989076,12.846960604620426,11.0,9.0,0.0
hopper-medium-v2,2,first_mart_hop_minus_two_deploy,two_actor_polyak_target,discounted_return,20.0,-0.030982055403805477,1.1711988257233799,9.0,11.0,0.0
hopper-medium-v2,2,cont_mart_polyak_minus_two_polyak,mart_mu2,normalized_score,20.0,-3.602170602805623,11.11736302550165,13.0,7.0,0.0
hopper-medium-v2,2,cont_mart_polyak_minus_two_polyak,mart_mu2,discounted_return,20.0,-0.6040004467726134,1.1912504821595467,14.0,6.0,0.0
hopper-medium-v2,2,cont_mart_polyak_minus_two_polyak,two_actor_deploy,normalized_score,20.0,-4.503021232554683,16.248669949869996,14.0,6.0,0.0
hopper-medium-v2,2,cont_mart_polyak_minus_two_polyak,two_actor_deploy,discounted_return,20.0,-0.5566346305800949,1.2124709024175933,14.0,6.0,0.0
hopper-medium-v2,3,first_mart_hop_minus_two_deploy,mart_polyak_mu1,normalized_score,20.0,-1.10969212576665,5.146991290326366,10.0,10.0,0.0
hopper-medium-v2,3,first_mart_hop_minus_two_deploy,mart_polyak_mu1,discounted_return,20.0,0.12181443087327892,0.43347414286000135,8.0,12.0,0.0
hopper-medium-v2,3,first_mart_hop_minus_two_deploy,two_actor_polyak_target,normalized_score,20.0,-5.342139161573302,9.854804034803301,14.0,6.0,0.0
hopper-medium-v2,3,first_mart_hop_minus_two_deploy,two_actor_polyak_target,discounted_return,20.0,-0.276639711160594,0.5905911973545163,12.0,8.0,0.0
hopper-medium-v2,3,cont_mart_polyak_minus_two_polyak,mart_mu3,normalized_score,20.0,-0.27057419674803285,7.474020013244206,9.0,11.0,0.0
hopper-medium-v2,3,cont_mart_polyak_minus_two_polyak,mart_mu3,discounted_return,20.0,-0.1581804885462219,0.8779857683430543,12.0,8.0,0.0
hopper-medium-v2,3,cont_mart_polyak_minus_two_polyak,two_actor_deploy,normalized_score,20.0,-4.503021232554683,16.248669949869996,14.0,6.0,0.0
hopper-medium-v2,3,cont_mart_polyak_minus_two_polyak,two_actor_deploy,discounted_return,20.0,-0.5566346305800949,1.2124709024175933,14.0,6.0,0.0
hopper-medium-v2,4,first_mart_hop_minus_two_deploy,mart_polyak_mu1,normalized_score,20.0,-0.16781935223153824,8.461877478024551,9.0,11.0,0.0
hopper-medium-v2,4,first_mart_hop_minus_two_deploy,mart_polyak_mu1,discounted_return,20.0,0.008935009744151045,1.0514687109382859,9.0,11.0,0.0
hopper-medium-v2,4,first_mart_hop_minus_two_deploy,two_actor_polyak_target,normalized_score,20.0,-3.4414715847348645,13.711767379589851,12.0,8.0,0.0
hopper-medium-v2,4,first_mart_hop_minus_two_deploy,two_actor_polyak_target,discounted_return,20.0,-0.19180347600306788,0.7584027435204359,11.0,9.0,0.0
hopper-medium-v2,4,cont_mart_polyak_minus_two_polyak,mart_mu4,normalized_score,20.0,-1.229369000051357,15.40317119725746,9.0,11.0,0.0
hopper-medium-v2,4,cont_mart_polyak_minus_two_polyak,mart_mu4,discounted_return,20.0,-0.3558961448328759,1.5576567786011635,12.0,8.0,0.0
hopper-medium-v2,4,cont_mart_polyak_minus_two_polyak,two_actor_deploy,normalized_score,20.0,-4.503021232554683,16.248669949869996,14.0,6.0,0.0
hopper-medium-v2,4,cont_mart_polyak_minus_two_polyak,two_actor_deploy,discounted_return,20.0,-0.5566346305800949,1.2124709024175933,14.0,6.0,0.0
