task,T,training_seed,kind,hop,first_source,continuation_source,evaluation_seed,raw_return,discounted_return,normalized_score,episode_length,terminated,truncated,q_mart_first,q_mart_cont_action,delta_q_mart,q_two_first,q_two_cont_action,delta_q_two,first_action_rms,checkpoint_hash_mart,checkpoint_hash_two
hopper-medium-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10000,1406.2767274350217,237.15014151142137,43.832150548427336,435,1,0,217.8072967529297,217.62161254882812,0.1856842041015625,217.5169219970703,217.39588928222656,0.12103271484375,0.05256209522485733,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10001,1431.009765820067,236.7670616100301,44.5920979721502,441,1,0,218.1618194580078,217.99412536621094,0.167694091796875,217.86354064941406,217.71705627441406,0.146484375,0.043180156499147415,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10002,1475.5961365702078,238.01516645976113,45.9620589553996,453,1,0,217.7322235107422,217.5447998046875,0.1874237060546875,217.4708709716797,217.32672119140625,0.1441497802734375,0.05544857680797577,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10003,1512.0918759180406,237.8749173930661,47.08342716995008,464,1,0,217.0830535888672,216.86985778808594,0.21319580078125,216.85897827148438,216.7178955078125,0.141082763671875,0.06460016220808029,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10004,1426.9450788211009,237.09255282348485,44.467206385236565,440,1,0,217.80477905273438,217.65415954589844,0.1506195068359375,217.541748046875,217.40992736816406,0.1318206787109375,0.048653967678546906,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10005,1366.1820236251485,236.85286460126264,42.600200539257905,426,1,0,217.7339324951172,217.60897827148438,0.1249542236328125,217.59347534179688,217.4819793701172,0.1114959716796875,0.062349412590265274,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10006,1325.0096839385092,235.6010200749077,41.33513908637864,418,1,0,218.6100311279297,218.45626831054688,0.1537628173828125,218.45138549804688,218.27914428710938,0.1722412109375,0.05816752836108208,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10007,1836.2902851675772,237.64960380117014,57.04474862381578,565,1,0,218.7685089111328,218.62322998046875,0.1452789306640625,218.6859588623047,218.55206298828125,0.1338958740234375,0.04718392714858055,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10008,1395.6130298664025,236.3913080064499,43.50449773972382,433,1,0,218.6720428466797,218.51364135742188,0.1584014892578125,218.72348022460938,218.53976440429688,0.1837158203125,0.06543387472629547,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10009,1397.7344270552549,236.95888549208445,43.56967979715094,433,1,0,218.1473846435547,217.96755981445312,0.1798248291015625,218.0425262451172,217.8509521484375,0.1915740966796875,0.06577077507972717,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480
hopper-medium-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10000,1506.2594858152784,237.86646007114524,46.90422113130094,462,1,0,220.45960998535156,220.3599853515625,0.0996246337890625,218.7206268310547,218.65110778808594,0.06951904296875,0.030813850462436676,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10001,1346.9524019802116,235.9262030329106,42.00935111749534,423,1,0,220.1591339111328,220.05043029785156,0.10870361328125,219.04295349121094,218.953125,0.0898284912109375,0.03292541950941086,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10002,1566.8189438904476,237.9539904818473,48.76497125143599,486,1,0,220.3195037841797,220.20497131347656,0.114532470703125,218.70567321777344,218.63258361816406,0.073089599609375,0.03328664228320122,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10003,2053.5530459343236,239.51809501613886,63.72036496925587,622,1,0,219.77188110351562,219.65185546875,0.120025634765625,218.04713439941406,217.95188903808594,0.095245361328125,0.02909027226269245,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10004,1742.2928505459495,238.09400750162487,54.156583119635116,531,1,0,220.1849822998047,220.08445739746094,0.10052490234375,218.82337951660156,218.73941040039062,0.0839691162109375,0.03390652313828468,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10005,1482.6969900279948,237.50269631920852,46.18023980352143,456,1,0,220.6573028564453,220.53916931152344,0.118133544921875,218.8428497314453,218.7505340576172,0.092315673828125,0.029818953946232796,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10006,1572.9618393590595,236.97232876817878,48.9537178790397,491,1,0,220.7674102783203,220.62400817871094,0.143402099609375,219.57843017578125,219.4640350341797,0.1143951416015625,0.0379343144595623,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10007,1846.199108744324,238.16527511041627,57.34920717161095,572,1,0,221.2261199951172,221.12289428710938,0.1032257080078125,219.9340362548828,219.83888244628906,0.09515380859375,0.03464435040950775,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10008,1795.2570131772356,237.90560172508413,55.783960165458225,546,1,0,221.0736541748047,220.9065399169922,0.1671142578125,219.8787384033203,219.75863647460938,0.1201019287109375,0.03684043139219284,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10009,1378.0483848684592,235.90335444696737,42.964806396226585,430,1,0,220.4900665283203,220.3411407470703,0.14892578125,219.22457885742188,219.1166534423828,0.1079254150390625,0.03505994752049446,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3,6ebbfe48b0b39daa531a6300b8c744a704986b2a138644d5d4bcc99179fdfbde
hopper-medium-replay-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10000,3264.9972807278536,252.87824572250526,100.94320475475973,1000,0,1,205.05078125,203.97494506835938,1.075836181640625,203.63589477539062,202.984130859375,0.651763916015625,0.10028981417417526,95fa8be2e5439c7708acc429dde5034367ef928cf3096282e9a37a8ee6acad28,df254c3d6c7df282cb71dd6b01f62ee8f945c8c41b1d2c1e9717bb364836b4e9
hopper-medium-replay-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10001,1868.8735687497194,252.3815386257082,58.04590270885745,549,1,0,205.77609252929688,205.0565185546875,0.719573974609375,204.68832397460938,204.15037536621094,0.5379486083984375,0.08036593347787857,95fa8be2e5439c7708acc429dde5034367ef928cf3096282e9a37a8ee6acad28,df254c3d6c7df282cb71dd6b01f62ee8f945c8c41b1d2c1e9717bb364836b4e9
hopper-medium-replay-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10002,3268.5800533677366,254.2967370065476,101.05328903939457,1000,0,1,204.992431640625,203.92056274414062,1.071868896484375,203.34555053710938,202.56527709960938,0.7802734375,0.11246948689222336,95fa8be2e5439c7708acc429dde5034367ef928cf3096282e9a37a8ee6acad28,df254c3d6c7df282cb71dd6b01f62ee8f945c8c41b1d2c1e9717bb364836b4e9
hopper-medium-replay-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10003,1710.925740303177,253.24397005464823,53.19279718086266,503,1,0,205.8721160888672,204.73605346679688,1.1360626220703125,202.98568725585938,202.24624633789062,0.73944091796875,0.09517423063516617,95fa8be2e5439c7708acc429dde5034367ef928cf3096282e9a37a8ee6acad28,df254c3d6c7df282cb71dd6b01f62ee8f945c8c41b1d2c1e9717bb364836b4e9
hopper-medium-replay-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10004,3043.485162985793,253.47493310805595,94.13702265206835,901,1,0,205.5926055908203,204.33670043945312,1.2559051513671875,204.1295166015625,203.40956115722656,0.7199554443359375,0.10615891218185425,95fa8be2e5439c7708acc429dde5034367ef928cf3096282e9a37a8ee6acad28,df254c3d6c7df282cb71dd6b01f62ee8f945c8c41b1d2c1e9717bb364836b4e9
hopper-medium-replay-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10005,2692.8370365483415,252.31681292142662,83.3630070955926,803,1,0,206.41983032226562,205.15975952148438,1.26007080078125,203.96910095214844,203.194091796875,0.7750091552734375,0.0984605923295021,95fa8be2e5439c7708acc429dde5034367ef928cf3096282e9a37a8ee6acad28,df254c3d6c7df282cb71dd6b01f62ee8f945c8c41b1d2c1e9717bb364836b4e9
hopper-medium-replay-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10006,2874.4343775032735,251.3157618223963,88.94276762744325,851,1,0,207.1307830810547,206.5588836669922,0.5718994140625,205.75332641601562,205.315673828125,0.437652587890625,0.07880157232284546,95fa8be2e5439c7708acc429dde5034367ef928cf3096282e9a37a8ee6acad28,df254c3d6c7df282cb71dd6b01f62ee8f945c8c41b1d2c1e9717bb364836b4e9
hopper-medium-replay-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10007,2115.035672476014,252.53165625721113,65.60948036691457,642,1,0,206.4208221435547,205.21975708007812,1.2010650634765625,204.99346923828125,204.18008422851562,0.813385009765625,0.1041124016046524,95fa8be2e5439c7708acc429dde5034367ef928cf3096282e9a37a8ee6acad28,df254c3d6c7df282cb71dd6b01f62ee8f945c8c41b1d2c1e9717bb364836b4e9
hopper-medium-replay-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10008,2364.237433499741,252.16680418930974,73.26645454569925,715,1,0,207.60130310058594,206.78521728515625,0.8160858154296875,205.53506469726562,204.90029907226562,0.634765625,0.09549757838249207,95fa8be2e5439c7708acc429dde5034367ef928cf3096282e9a37a8ee6acad28,df254c3d6c7df282cb71dd6b01f62ee8f945c8c41b1d2c1e9717bb364836b4e9
hopper-medium-replay-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10009,3215.011612392452,252.8141931375566,99.40734493506518,1000,0,1,206.77757263183594,205.8719482421875,0.9056243896484375,205.1258544921875,204.50762939453125,0.61822509765625,0.09633627533912659,95fa8be2e5439c7708acc429dde5034367ef928cf3096282e9a37a8ee6acad28,df254c3d6c7df282cb71dd6b01f62ee8f945c8c41b1d2c1e9717bb364836b4e9
