task,T,training_seed,method,state_set,metric,actor_a,actor_b,value,n,n_excluded,q_weight,action_grad_norm,paired,checkpoint_hash
hopper-medium-v2,4,0,MART4,dataset,bound_frac,mu1,,0.193115234375,4096,0,0.00849231332540512,3.6535677909851074,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,dataset,bound_frac,mu2,,0.190185546875,4096,0,0.00849231332540512,3.627838611602783,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,dataset,bound_frac,mu3,,0.19384765625,4096,0,0.008488957770168781,3.5769495964050293,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,dataset,bound_frac,mu4,,0.195556640625,4096,0,0.008484461344778538,3.5547027587890625,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,dataset,adjacent_rms,mu1,mu2,0.04458199441432953,4096,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,dataset,adjacent_rms,mu2,mu3,0.04758211970329285,4096,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,dataset,adjacent_rms,mu3,mu4,0.045092009007930756,4096,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,dataset,from_mu1_rms,mu1,mu2,0.04458199441432953,4096,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,dataset,from_mu1_rms,mu1,mu3,0.06489229202270508,4096,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,dataset,from_mu1_rms,mu1,mu4,0.07527939230203629,4096,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,dataset,cos_d2_d3,delta,delta,-0.01679065451025963,4096,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,dataset,cos_d3_d4,delta,delta,-0.1640712320804596,4096,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,dataset,cos_d2_d4,delta,delta,0.05999322608113289,4096,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,rollout_union,bound_frac,mu1,,0.22972972972972974,962,0,0.007964558899402618,3.294302225112915,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,rollout_union,bound_frac,mu2,,0.22661122661122662,962,0,0.007964558899402618,3.261868715286255,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,rollout_union,bound_frac,mu3,,0.22765072765072766,962,0,0.007963113486766815,3.2065577507019043,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,rollout_union,bound_frac,mu4,,0.22765072765072766,962,0,0.007961364462971687,3.2001655101776123,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,rollout_union,adjacent_rms,mu1,mu2,0.041548311710357666,962,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,rollout_union,adjacent_rms,mu2,mu3,0.03940795734524727,962,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,rollout_union,adjacent_rms,mu3,mu4,0.04363096132874489,962,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,rollout_union,from_mu1_rms,mu1,mu2,0.041548311710357666,962,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,rollout_union,from_mu1_rms,mu1,mu3,0.05538373440504074,962,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,rollout_union,from_mu1_rms,mu1,mu4,0.0641062781214714,962,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,rollout_union,cos_d2_d3,delta,delta,-0.020798973739147186,962,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,rollout_union,cos_d3_d4,delta,delta,-0.2112060934305191,962,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,4,0,MART4,rollout_union,cos_d2_d4,delta,delta,0.021068239584565163,962,0,,,True,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b
hopper-medium-v2,7,0,MART4,dataset,bound_frac,mu1,,0.18701171875,4096,0,0.01459435559809208,3.351668357849121,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,dataset,bound_frac,mu2,,0.20458984375,4096,0,0.01459435559809208,3.326474666595459,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,dataset,bound_frac,mu3,,0.218017578125,4096,0,0.014586466364562511,3.283243179321289,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,dataset,bound_frac,mu4,,0.2294921875,4096,0,0.01457704696804285,3.2792439460754395,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,dataset,adjacent_rms,mu1,mu2,0.051161959767341614,4096,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,dataset,adjacent_rms,mu2,mu3,0.05456137657165527,4096,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,dataset,adjacent_rms,mu3,mu4,0.04806898161768913,4096,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,dataset,from_mu1_rms,mu1,mu2,0.051161959767341614,4096,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,dataset,from_mu1_rms,mu1,mu3,0.0762564167380333,4096,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,dataset,from_mu1_rms,mu1,mu4,0.09165389835834503,4096,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,dataset,cos_d2_d3,delta,delta,0.044331714510917664,4096,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,dataset,cos_d3_d4,delta,delta,-0.01331933494657278,4096,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,dataset,cos_d2_d4,delta,delta,0.10743863135576248,4096,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,bound_frac,mu1,,0.2504684572142411,1601,0,0.012285210192203522,2.716313123703003,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,bound_frac,mu2,,0.273579013116802,1601,0,0.012285210192203522,2.721684217453003,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,bound_frac,mu3,,0.301686445971268,1601,0,0.012282010167837143,2.7036361694335938,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,bound_frac,mu4,,0.3029356652092442,1601,0,0.01227989699691534,2.7102701663970947,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,adjacent_rms,mu1,mu2,0.04926863685250282,1601,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,adjacent_rms,mu2,mu3,0.04148351028561592,1601,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,adjacent_rms,mu3,mu4,0.045134205371141434,1601,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,from_mu1_rms,mu1,mu2,0.04926863685250282,1601,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,from_mu1_rms,mu1,mu3,0.0613967590034008,1601,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,from_mu1_rms,mu1,mu4,0.07867465168237686,1601,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,cos_d2_d3,delta,delta,-0.03344332054257393,1601,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,cos_d3_d4,delta,delta,0.06126076728105545,1601,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,cos_d2_d4,delta,delta,0.09345296025276184,1601,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,10,0,MART4,dataset,bound_frac,mu1,,0.19189453125,4096,0,0.020632294937968254,3.253143787384033,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,dataset,bound_frac,mu2,,0.20751953125,4096,0,0.020632294937968254,3.2229132652282715,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
