task,T,training_seed,method,actor_index,actor_role,n_episodes,mean_normalized,std_normalized
halfcheetah-medium-replay-v2,4,0,MART4,1,mu1,10,44.17465911220721,1.1313237197766741
halfcheetah-medium-replay-v2,4,0,MART4,2,mu2,10,46.93416694311328,0.6011443185439362
halfcheetah-medium-replay-v2,4,0,MART4,3,mu3,10,49.205660346792705,0.7796094023660677
halfcheetah-medium-replay-v2,4,0,MART4,4,mu4,10,49.86607758129658,0.4994338558883509
halfcheetah-medium-replay-v2,4,0,two_actor_p4,1,target_value,10,43.07539308886831,1.4100252968695555
halfcheetah-medium-replay-v2,4,0,two_actor_p4,2,deployment,10,48.92762619142634,0.7956736562862303
halfcheetah-medium-replay-v2,4,1,MART4,1,mu1,10,43.45238254982036,0.9311497905045183
halfcheetah-medium-replay-v2,4,1,MART4,2,mu2,10,46.94189191636309,0.6391654138496257
halfcheetah-medium-replay-v2,4,1,MART4,3,mu3,10,49.3951480173468,0.508018354163831
halfcheetah-medium-replay-v2,4,1,MART4,4,mu4,10,50.58720382885469,0.7693529131307347
halfcheetah-medium-replay-v2,4,1,two_actor_p4,1,target_value,10,43.68838529870621,0.8729756252287683
halfcheetah-medium-replay-v2,4,1,two_actor_p4,2,deployment,10,49.55473772152287,0.42898456304550797
halfcheetah-medium-replay-v2,7,0,MART4,1,mu1,10,45.589074027238766,0.8852961575098905
halfcheetah-medium-replay-v2,7,0,MART4,2,mu2,10,49.156061627624226,0.8084403033567962
halfcheetah-medium-replay-v2,7,0,MART4,3,mu3,10,51.40623349835736,0.48936521396556004
halfcheetah-medium-replay-v2,7,0,MART4,4,mu4,10,52.118984859233635,0.7577205024260961
halfcheetah-medium-replay-v2,7,0,two_actor_p4,1,target_value,10,45.25538280082528,0.7236420970793457
halfcheetah-medium-replay-v2,7,0,two_actor_p4,2,deployment,10,49.805666504639,0.5334145098705886
halfcheetah-medium-replay-v2,7,1,MART4,1,mu1,10,45.51263741104785,0.6549705201059652
halfcheetah-medium-replay-v2,7,1,MART4,2,mu2,10,48.819638321420335,0.7320480154916693
halfcheetah-medium-replay-v2,7,1,MART4,3,mu3,10,50.3626714982568,0.7779372139322622
halfcheetah-medium-replay-v2,7,1,MART4,4,mu4,10,52.38929577867826,0.9274401748678616
halfcheetah-medium-replay-v2,7,1,two_actor_p4,1,target_value,10,45.00888861312758,1.4603996258936998
halfcheetah-medium-replay-v2,7,1,two_actor_p4,2,deployment,10,49.61453000637222,0.35269899577586017
halfcheetah-medium-replay-v2,10,0,MART4,1,mu1,10,45.98080820747854,0.8290234050776479
halfcheetah-medium-replay-v2,10,0,MART4,2,mu2,10,50.262137406289135,0.7565161644582225
halfcheetah-medium-replay-v2,10,0,MART4,3,mu3,10,51.37287155436205,0.7956441477717682
halfcheetah-medium-replay-v2,10,0,MART4,4,mu4,10,52.70658294527838,0.6231719792431347
halfcheetah-medium-replay-v2,10,0,two_actor_p4,1,target_value,10,46.07085604169669,0.6379453099799528
halfcheetah-medium-replay-v2,10,0,two_actor_p4,2,deployment,10,52.54595404322214,0.6679791038082463
halfcheetah-medium-v2,4,0,MART4,1,mu1,10,47.13356050619648,0.5396150127896029
halfcheetah-medium-v2,4,0,MART4,2,mu2,10,49.1594848223385,0.26365308895157935
halfcheetah-medium-v2,4,0,MART4,3,mu3,10,50.981941740709395,0.560012889713504
halfcheetah-medium-v2,4,0,MART4,4,mu4,10,52.151026495697636,0.5073245102433053
halfcheetah-medium-v2,4,0,two_actor_p4,1,target_value,10,47.32948332496132,0.5252631402709926
halfcheetah-medium-v2,4,0,two_actor_p4,2,deployment,10,53.1841174535117,0.785459217416813
halfcheetah-medium-v2,4,1,MART4,1,mu1,10,47.79090847175479,0.6124537267961714
halfcheetah-medium-v2,4,1,MART4,2,mu2,10,50.10261461099583,0.4928557419481396
halfcheetah-medium-v2,4,1,MART4,3,mu3,10,52.68580993725452,0.7516333512439499
halfcheetah-medium-v2,4,1,MART4,4,mu4,10,52.757146393140246,0.6548074531194399
halfcheetah-medium-v2,4,1,two_actor_p4,1,target_value,10,47.87936730780519,0.8305469618218732
halfcheetah-medium-v2,4,1,two_actor_p4,2,deployment,10,52.66217264182417,0.3801884807146095
halfcheetah-medium-v2,7,0,MART4,1,mu1,10,48.99770645079939,0.6040548190234056
halfcheetah-medium-v2,7,0,MART4,2,mu2,10,52.98048478614457,0.5587640332169074
halfcheetah-medium-v2,7,0,MART4,3,mu3,10,55.341044638593964,0.6891905163010774
halfcheetah-medium-v2,7,0,MART4,4,mu4,10,56.50028061417741,0.4957553663587855
halfcheetah-medium-v2,7,0,two_actor_p4,1,target_value,10,49.67286099202137,0.5378145535341772
halfcheetah-medium-v2,7,0,two_actor_p4,2,deployment,10,56.2003590487717,0.5601384087690576
halfcheetah-medium-v2,7,1,MART4,1,mu1,10,49.240942918082844,0.7101548345239554
halfcheetah-medium-v2,7,1,MART4,2,mu2,10,54.29198316470418,0.5751721556254383
halfcheetah-medium-v2,7,1,MART4,3,mu3,10,56.056479396558174,0.3946097687832721
halfcheetah-medium-v2,7,1,MART4,4,mu4,10,57.04646570951049,0.6061020304327767
halfcheetah-medium-v2,7,1,two_actor_p4,1,target_value,10,49.27836096246116,0.8352088597588456
halfcheetah-medium-v2,7,1,two_actor_p4,2,deployment,10,56.33117924166404,0.5578465192125794
halfcheetah-medium-v2,10,0,MART4,1,mu1,10,50.889636153734784,0.7803764152695759
halfcheetah-medium-v2,10,0,MART4,2,mu2,10,55.56656661479302,0.35472753789975325
halfcheetah-medium-v2,10,0,MART4,3,mu3,10,57.14771594554097,0.3996848441389163
halfcheetah-medium-v2,10,0,MART4,4,mu4,10,58.08364292668374,0.5715976395323995
halfcheetah-medium-v2,10,0,two_actor_p4,1,target_value,10,50.946840347172,0.766708885747817
halfcheetah-medium-v2,10,0,two_actor_p4,2,deployment,10,58.44630480664813,0.7408241552843066
halfcheetah-medium-v2,10,1,MART4,1,mu1,10,51.063204872730815,0.7175280092639896
halfcheetah-medium-v2,10,1,MART4,2,mu2,10,55.38849290596738,0.6574431061511412
halfcheetah-medium-v2,10,1,MART4,3,mu3,10,56.74229506758421,0.7541605445631049
halfcheetah-medium-v2,10,1,MART4,4,mu4,10,58.82742669992454,0.9386222193965654
halfcheetah-medium-v2,10,1,two_actor_p4,1,target_value,10,51.12489662500975,0.6922274975660855
halfcheetah-medium-v2,10,1,two_actor_p4,2,deployment,10,58.547854388821065,0.6834244568321013
halfcheetah-medium-v2,14,0,MART4,1,mu1,10,52.03580263208791,0.49948316676443255
halfcheetah-medium-v2,14,0,MART4,2,mu2,10,55.215550415024936,0.6430451804191465
halfcheetah-medium-v2,14,0,MART4,3,mu3,10,57.98461107119722,0.7302665116416749
halfcheetah-medium-v2,14,0,MART4,4,mu4,10,57.75822040803213,0.8653692837160559
halfcheetah-medium-v2,14,0,two_actor_p4,1,target_value,10,51.899875808710135,0.6806124255123217
halfcheetah-medium-v2,14,0,two_actor_p4,2,deployment,10,59.09278884491208,0.6828397001433903
halfcheetah-medium-v2,14,1,MART4,1,mu1,10,51.85221298590953,0.6369071926193146
halfcheetah-medium-v2,14,1,MART4,2,mu2,10,56.17790560572625,0.6867787199777806
halfcheetah-medium-v2,14,1,MART4,3,mu3,10,58.72908184038407,0.8738434188112676
halfcheetah-medium-v2,14,1,MART4,4,mu4,10,59.53994062954217,0.43783566165000504
halfcheetah-medium-v2,14,1,two_actor_p4,1,target_value,10,52.6186553002677,0.4107173756892891
halfcheetah-medium-v2,14,1,two_actor_p4,2,deployment,10,58.52484452925254,0.789846312370808
halfcheetah-medium-v2,20,0,MART4,1,mu1,10,53.417102067794815,0.6495202260879057
halfcheetah-medium-v2,20,0,MART4,2,mu2,10,58.23669254816961,0.6738703559094668
halfcheetah-medium-v2,20,0,MART4,3,mu3,10,60.58990549222956,0.651556330074067
halfcheetah-medium-v2,20,0,MART4,4,mu4,10,60.8669391081653,0.43419676202401275
halfcheetah-medium-v2,20,0,two_actor_p4,1,target_value,10,53.69835190017043,0.8441988663030283
halfcheetah-medium-v2,20,0,two_actor_p4,2,deployment,10,60.68232858755705,0.6095045542174351
halfcheetah-medium-v2,20,1,MART4,1,mu1,10,54.331437214700976,0.8015561688289613
halfcheetah-medium-v2,20,1,MART4,2,mu2,10,58.20077564604875,0.6974514965861015
halfcheetah-medium-v2,20,1,MART4,3,mu3,10,58.681736979530605,0.4511343721851471
halfcheetah-medium-v2,20,1,MART4,4,mu4,10,59.71251403500105,0.5060066275330639
halfcheetah-medium-v2,20,1,two_actor_p4,1,target_value,10,52.801546960834266,0.6128319313016959
halfcheetah-medium-v2,20,1,two_actor_p4,2,deployment,10,59.60035690587698,0.8273835970897726
hopper-expert-v2,4,0,MART4,1,mu1,10,107.10420094823219,9.26455856682344
hopper-expert-v2,4,0,MART4,2,mu2,10,109.57006498828682,0.8491342247071767
hopper-expert-v2,4,0,MART4,3,mu3,10,106.05017807062696,10.094607911595398
hopper-expert-v2,4,0,MART4,4,mu4,10,87.0265742208804,24.720299014210358
hopper-expert-v2,4,0,two_actor_p4,1,target_value,10,98.72780447683695,15.18350504902962
hopper-expert-v2,4,0,two_actor_p4,2,deployment,10,106.65492420594985,9.191580446857047
hopper-expert-v2,4,1,MART4,1,mu1,10,92.92854182575512,19.070181796372896
hopper-expert-v2,4,1,MART4,2,mu2,10,102.89614893538476,13.860490156872103
hopper-expert-v2,4,1,MART4,3,mu3,10,97.7171930117054,17.29382620560463
hopper-expert-v2,4,1,MART4,4,mu4,10,107.18750522543448,11.863011814382482
hopper-expert-v2,4,1,two_actor_p4,1,target_value,10,100.27845249495051,18.459137742605993
hopper-expert-v2,4,1,two_actor_p4,2,deployment,10,105.25087881996808,11.218537672575339
hopper-expert-v2,7,0,MART4,1,mu1,10,104.20425599780069,12.051094323356617
hopper-expert-v2,7,0,MART4,2,mu2,10,110.43266602182777,0.7248797919098982
hopper-expert-v2,7,0,MART4,3,mu3,10,105.10027144926565,9.841144858518597
hopper-expert-v2,7,0,MART4,4,mu4,10,91.16977916064454,19.77692100197833
hopper-expert-v2,7,0,two_actor_p4,1,target_value,10,110.70736250536467,2.1632612501392496
hopper-expert-v2,7,0,two_actor_p4,2,deployment,10,98.29921353120724,17.3477337437196
hopper-expert-v2,7,1,MART4,1,mu1,10,102.80211221564836,14.781241416790605
hopper-expert-v2,7,1,MART4,2,mu2,10,93.42932689210868,18.747298904996562
hopper-expert-v2,7,1,MART4,3,mu3,10,92.79343360592011,22.890280823836633
hopper-expert-v2,7,1,MART4,4,mu4,10,96.7492618741995,21.04857168736222
hopper-expert-v2,7,1,two_actor_p4,1,target_value,10,97.54809248207393,16.581075866424793
hopper-expert-v2,7,1,two_actor_p4,2,deployment,10,98.6801513873032,21.37455286503751
hopper-expert-v2,10,0,MART4,1,mu1,10,107.70723070261383,9.6378888745966
hopper-expert-v2,10,0,MART4,2,mu2,10,103.44688948581711,18.84226891428456
hopper-expert-v2,10,0,MART4,3,mu3,10,90.45582048721919,21.295993588900426
hopper-expert-v2,10,0,MART4,4,mu4,10,72.1537557984125,14.395114068830281
hopper-expert-v2,10,0,two_actor_p4,1,target_value,10,104.47839967501291,13.978917973744561
hopper-expert-v2,10,0,two_actor_p4,2,deployment,10,106.22414187607494,18.154096390362767
hopper-expert-v2,10,1,MART4,1,mu1,10,91.6371545239256,19.889796720598
hopper-expert-v2,10,1,MART4,2,mu2,10,95.36061512199014,23.563152273508553
hopper-expert-v2,10,1,MART4,3,mu3,10,46.09400467757429,23.224892182337097
hopper-expert-v2,10,1,MART4,4,mu4,10,30.883688734190024,19.16094615892065
hopper-expert-v2,10,1,two_actor_p4,1,target_value,10,104.73385067877783,11.53692080416247
hopper-expert-v2,10,1,two_actor_p4,2,deployment,10,94.11679281549155,19.55911174775049
hopper-expert-v2,14,0,MART4,1,mu1,10,90.68467577951,21.50833586226133
hopper-expert-v2,14,0,MART4,2,mu2,10,111.32739734930767,1.4210570805690457
hopper-expert-v2,14,0,MART4,3,mu3,10,58.7980295293104,11.723142714293287
hopper-expert-v2,14,0,MART4,4,mu4,10,44.070301198704655,0.13444234443385206
hopper-expert-v2,14,0,two_actor_p4,1,target_value,10,11.86403122820929,2.639890374376949
