task,T,training_seed,hop,actor_a,actor_b,state_set,n,tau_step,scale_norm,q_weight,mean_q_prev,mean_q_k,delta_q,w2,loss_stay,loss_k,delta_L,objective_improved,delta_normalized,obj_vs_return,checkpoint_hash
hopper-medium-v2,10,0,2,mu1,mu2,dataset,4096,2.5,True,0.020632293931438665,242.33853957212705,242.49746904351923,0.1589294713921845,0.0041530890406096125,-4.999999979367706,-4.999125969895228,0.0008740094724775105,False,11.451795624668328,obj_flat_return_up,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,3,mu2,mu3,dataset,4096,2.5,True,0.020618771812764426,242.49746904351923,242.66228609920654,0.1648170556873083,0.004606384131115867,-4.999999979381228,-4.998791920512181,0.0012080588690475125,False,25.707423500238804,obj_flat_return_up,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,4,mu3,mu4,dataset,4096,2.5,True,0.020604767472400327,242.66228609920654,242.78592142001435,0.12363532080780715,0.0047729472198594835,-4.999999979395233,-4.997774509211993,0.0022254701832400414,False,11.240562509069846,obj_flat_return_up,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,1,2,mu1,mu2,dataset,4096,2.5,True,0.020437499035232735,244.64832859161834,244.84344084981421,0.19511225819587708,0.004799550536532952,-4.999999979562501,-4.999188035614608,0.000811943947892857,False,15.212218445406627,obj_flat_return_up,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3
hopper-medium-v2,10,1,3,mu2,mu3,dataset,4096,2.5,True,0.020421212682784358,244.84344084981421,244.99879674591648,0.15535589610226452,0.004104396014213693,-4.999999979578788,-4.9990681393604035,0.0009318402183842167,False,28.46893986122052,obj_flat_return_up,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3
hopper-medium-v2,10,1,4,mu3,mu4,dataset,4096,2.5,True,0.020408263411910304,244.99879674591648,245.16589030601608,0.16709356009960175,0.004990451930978863,-4.9999999795917365,-4.998419617049704,0.0015803625420325318,False,2.1733382607473573,obj_flat_return_flat,6aa372aefdb40f3dac09e1f026d781d3bab7e63f4735743c358c1bda69a1acc3
hopper-medium-replay-v2,10,0,2,mu1,mu2,dataset,4096,2.5,True,0.02654630331401583,188.27752560540102,189.49387322273105,1.2163476173300296,0.030416789931979177,-4.998072301933358,-4.999945044786302,-0.0018727428529441426,True,44.059646445629696,obj_up_return_up,95fa8be2e5439c7708acc429dde5034367ef928cf3096282e9a37a8ee6acad28
hopper-medium-replay-v2,10,0,3,mu2,mu3,dataset,4096,2.5,True,0.026376149600060215,189.49387322273105,190.4458903633058,0.9520171405747533,0.021578157895692607,-4.998118748417599,-5.0016511370435275,-0.0035323886259286397,True,0.9299446243656462,obj_up_return_flat,95fa8be2e5439c7708acc429dde5034367ef928cf3096282e9a37a8ee6acad28
hopper-medium-replay-v2,10,0,4,mu3,mu4,dataset,4096,2.5,True,0.02624513038347258,190.4458903633058,191.0676466692239,0.6217563059180975,0.017226462609876623,-4.998277223581485,-4.997368836287175,0.0009083872943094207,False,0.39445810512022206,obj_flat_return_flat,95fa8be2e5439c7708acc429dde5034367ef928cf3096282e9a37a8ee6acad28
hopper-medium-replay-v2,10,1,2,mu1,mu2,dataset,4096,2.5,True,0.027060860530663484,184.71797279512975,185.72672797937412,1.0087551842443645,0.029352973027984248,-4.998627299315898,-4.9965721096383335,0.002055189677564684,False,46.48584089402817,obj_flat_return_up,e7f827ecf0e3aaed0fa772d58f597439b77fc47b3ae2565b7cd551ecc60b8db3
hopper-medium-replay-v2,10,1,3,mu2,mu3,dataset,4096,2.5,True,0.026914842494291616,185.72672797937412,186.56910283281468,0.8423748534405604,0.019976703393858573,-4.998805630544998,-5.0015013136526445,-0.0026956831076461185,True,-1.423426325701243,obj_up_return_flat,e7f827ecf0e3aaed0fa772d58f597439b77fc47b3ae2565b7cd551ecc60b8db3
hopper-medium-replay-v2,10,1,4,mu3,mu4,dataset,4096,2.5,True,0.02679397075951441,186.56910283281468,187.17671624338254,0.6076134105678648,0.01817065909903091,-4.998927085931274,-4.997036802788087,0.0018902831431866218,False,1.156163763874801,obj_flat_return_flat,e7f827ecf0e3aaed0fa772d58f597439b77fc47b3ae2565b7cd551ecc60b8db3
hopper-expert-v2,10,0,2,mu1,mu2,dataset,4096,2.5,True,0.014294353192811115,349.78768756001955,349.81426029228896,0.0265727322694147,0.0049544836273036266,-4.999988748479582,-4.995414104872636,0.00457464360694626,False,-4.260341216796718,obj_flat_return_down,51f81441d59524dce5138520603a366434d87fa32a2e61090c2a9f51d6dcee11
hopper-expert-v2,10,0,3,mu2,mu3,dataset,4096,2.5,True,0.014293287867137067,349.81426029228896,349.84585554659134,0.03159525430237409,0.0036125693125970116,-4.999995922387302,-4.996834953139684,0.003160969247617551,False,-12.991068998597925,obj_flat_return_down,51f81441d59524dce5138520603a366434d87fa32a2e61090c2a9f51d6dcee11
hopper-expert-v2,10,0,4,mu3,mu4,dataset,4096,2.5,True,0.014291969682213268,349.84585554659134,349.8732726009912,0.027417054399847984,0.003924913183140939,-4.999986360919846,-4.996453291446963,0.0035330694728825662,False,-18.30206468880668,obj_flat_return_down,51f81441d59524dce5138520603a366434d87fa32a2e61090c2a9f51d6dcee11
hopper-expert-v2,10,1,2,mu1,mu2,dataset,4096,2.5,True,0.01441044765884726,346.9704830800183,346.99163469347695,0.021151613458641805,0.003790408021022918,-4.999999985589553,-4.9965143817871756,0.0034856038023773905,False,3.723460598064534,obj_flat_return_up,7fb0cd4a9b7259187baae09587141fe05649f34ca4769f34127c62dbe9245319
hopper-expert-v2,10,1,3,mu2,mu3,dataset,4096,2.5,True,0.014409569239348654,346.99163469347695,347.0175045584474,0.025869864970445633,0.0025355114279351867,-4.9999999855904305,-4.997837247773,0.0021627378174304823,False,-49.266610444415846,obj_flat_return_down,7fb0cd4a9b7259187baae09587141fe05649f34ca4769f34127c62dbe9245319
hopper-expert-v2,10,1,4,mu3,mu4,dataset,4096,2.5,True,0.01440849209239815,347.0175045584474,347.04753176915983,0.03002721071243286,0.003968623344949586,-4.999998970354128,-4.9964629938372855,0.003535976516842787,False,-15.210315943384266,obj_flat_return_down,7fb0cd4a9b7259187baae09587141fe05649f34ca4769f34127c62dbe9245319
