task,T,training_seed,J_mu4,J_deploy,return_diff,action_rms_dataset
halfcheetah-medium-replay-v2,4,0,49.86607758129658,48.92762619142634,0.938451389870238,0.17580705881118774
halfcheetah-medium-replay-v2,4,1,50.58720382885469,49.55473772152287,1.032466107331821,0.183869868516922
halfcheetah-medium-replay-v2,7,0,52.118984859233635,49.805666504639,2.313318354594635,0.20363707840442657
halfcheetah-medium-replay-v2,7,1,52.38929577867826,49.61453000637222,2.77476577230604,0.19760850071907043
halfcheetah-medium-replay-v2,10,0,52.70658294527838,52.54595404322214,0.1606289020562386,0.22076821327209473
halfcheetah-medium-v2,4,0,52.151026495697636,53.1841174535117,-1.0330909578140677,0.08321113884449005
halfcheetah-medium-v2,4,1,52.757146393140246,52.66217264182417,0.09497375131607555,0.08803893625736237
halfcheetah-medium-v2,7,0,56.50028061417741,56.2003590487717,0.299921565405711,0.10246007144451141
halfcheetah-medium-v2,7,1,57.04646570951049,56.33117924166404,0.7152864678464539,0.10506682097911835
halfcheetah-medium-v2,10,0,58.08364292668374,58.44630480664813,-0.36266187996439214,0.12293627858161926
halfcheetah-medium-v2,10,1,58.82742669992454,58.547854388821065,0.2795723111034718,0.12481538206338882
halfcheetah-medium-v2,14,0,57.75822040803213,59.09278884491208,-1.3345684368799482,0.1528557538986206
halfcheetah-medium-v2,14,1,59.53994062954217,58.52484452925254,1.0150961002896324,0.14974595606327057
halfcheetah-medium-v2,20,0,60.8669391081653,60.68232858755705,0.18461052060824557,0.17544563114643097
halfcheetah-medium-v2,20,1,59.71251403500105,59.60035690587698,0.11215712912407128,0.1678488850593567
hopper-expert-v2,4,0,87.0265742208804,106.65492420594985,-19.62834998506945,0.06877677887678146
hopper-expert-v2,4,1,107.18750522543448,105.25087881996808,1.9366264054663986,0.06900392472743988
hopper-expert-v2,7,0,91.16977916064454,98.29921353120724,-7.129434370562706,0.06880279630422592
hopper-expert-v2,7,1,96.7492618741995,98.6801513873032,-1.9308895131036934,0.06927651166915894
hopper-expert-v2,10,0,72.1537557984125,106.22414187607494,-34.070386077662434,0.07351182401180267
hopper-expert-v2,10,1,30.883688734190024,94.11679281549155,-63.233104081301526,0.06973784416913986
hopper-expert-v2,14,0,44.070301198704655,1.8207685012664,42.249532697438255,0.615922749042511
hopper-expert-v2,14,1,1.765446297449979,59.403703879670694,-57.63825758222072,0.569288432598114
hopper-expert-v2,20,0,0.7837575935114363,1.8093330671800953,-1.025575473668659,0.9609017372131348
hopper-expert-v2,20,1,7.76567044362195,1.8093330671800953,5.956337376441855,0.9429323077201843
hopper-medium-replay-v2,4,0,99.02465934737398,96.82221363617008,2.2024457112039073,0.19437266886234283
hopper-medium-replay-v2,4,1,99.01468718717436,98.3885029026815,0.6261842844928651,0.19261671602725983
hopper-medium-replay-v2,7,0,99.47513842476474,98.21077971809645,1.2643587066682898,0.21575890481472015
hopper-medium-replay-v2,7,1,100.42883828332464,98.48447875492971,1.9443595283949264,0.2225240170955658
hopper-medium-replay-v2,10,0,100.75349494517232,100.286463538428,0.46703140674432575,0.2329367697238922
hopper-medium-replay-v2,10,1,100.09646089724525,99.22743006731743,0.8690308299278229,0.23913700878620148
hopper-medium-replay-v2,14,0,97.36654495325637,98.8366842819025,-1.470139328646141,0.26993173360824585
hopper-medium-replay-v2,14,1,100.14735999205102,99.47626558067633,0.6710944113746962,0.2635151445865631
hopper-medium-replay-v2,20,0,101.27703642348965,100.66040900071565,0.6166274227740018,0.29715538024902344
hopper-medium-replay-v2,20,1,99.63249148049455,99.69359862300173,-0.06110714250718274,0.30367085337638855
hopper-medium-v2,4,0,65.97890991878539,58.795639567783326,7.183270351002065,0.07830532640218735
hopper-medium-v2,4,1,63.64222324391253,63.03180459341354,0.6104186504989926,0.06998968124389648
hopper-medium-v2,7,0,100.46322048509231,99.10605751560672,1.3571629694855858,0.09333498030900955
hopper-medium-v2,7,1,90.86054512690157,96.16145365117141,-5.300908524269843,0.08468000590801239
hopper-medium-v2,10,0,100.75296774952444,99.7071824251968,1.045785324327639,0.11166353523731232
hopper-medium-v2,10,1,100.71061772822802,97.00205039064612,3.708567337581897,0.10690983384847641
hopper-medium-v2,14,0,101.37247188609294,99.91116204962894,1.4613098364639967,0.12713664770126343
hopper-medium-v2,14,1,100.96707305813271,98.85728452712655,2.10978853100616,0.12606802582740784
hopper-medium-v2,20,0,101.39372848302614,101.46760047903238,-0.07387199600624683,0.1721520572900772
hopper-medium-v2,20,1,41.85749852989048,15.71943984236869,26.138058687521788,0.20854586362838745
