task,T,training_seed,method,actor_index,actor_role,n_episodes,mean_normalized,mean_raw_return,mean_length,n_timeout,pooled_reward_per_step,mean_episode_reward_per_step
halfcheetah-medium-replay-v2,4,0,MART4,1,mu1,10,44.17465911220721,5204.184027658248,1000.0,10,5.204184027658248,5.204184027658248
halfcheetah-medium-replay-v2,4,0,MART4,2,mu2,10,46.93416694311328,5546.781863087284,1000.0,10,5.5467818630872845,5.546781863087285
halfcheetah-medium-replay-v2,4,0,MART4,3,mu3,10,49.205660346792705,5828.791834059675,1000.0,10,5.828791834059675,5.828791834059676
halfcheetah-medium-replay-v2,4,0,MART4,4,mu4,10,49.86607758129658,5910.783815559785,1000.0,10,5.9107838155597845,5.910783815559785
halfcheetah-medium-replay-v2,4,0,two_actor_p4,1,target_value,10,43.07539308886831,5067.708183691196,1000.0,10,5.067708183691196,5.067708183691196
halfcheetah-medium-replay-v2,4,0,two_actor_p4,2,deployment,10,48.92762619142634,5794.273396120478,1000.0,10,5.794273396120478,5.794273396120479
halfcheetah-medium-replay-v2,4,1,MART4,1,mu1,10,43.45238254982036,5114.512099902344,1000.0,10,5.114512099902344,5.114512099902343
halfcheetah-medium-replay-v2,4,1,MART4,2,mu2,10,46.94189191636309,5547.740932340319,1000.0,10,5.547740932340319,5.54774093234032
halfcheetah-medium-replay-v2,4,1,MART4,3,mu3,10,49.3951480173468,5852.317067452836,1000.0,10,5.852317067452836,5.852317067452836
halfcheetah-medium-replay-v2,4,1,MART4,4,mu4,10,50.58720382885469,6000.3129296711795,1000.0,10,6.000312929671179,6.000312929671178
halfcheetah-medium-replay-v2,4,1,two_actor_p4,1,target_value,10,43.68838529870621,5143.81226351052,1000.0,10,5.143812263510521,5.143812263510521
halfcheetah-medium-replay-v2,4,1,two_actor_p4,2,deployment,10,49.55473772152287,5872.130414816859,1000.0,10,5.872130414816859,5.8721304148168585
halfcheetah-medium-replay-v2,7,0,MART4,1,mu1,10,45.589074027238766,5379.7861704973375,1000.0,10,5.379786170497337,5.379786170497338
halfcheetah-medium-replay-v2,7,0,MART4,2,mu2,10,49.156061627624226,5822.634064316512,1000.0,10,5.822634064316512,5.822634064316512
halfcheetah-medium-replay-v2,7,0,MART4,3,mu3,10,51.40623349835736,6101.996928818099,1000.0,10,6.101996928818099,6.101996928818099
halfcheetah-medium-replay-v2,7,0,MART4,4,mu4,10,52.118984859233635,6190.486285760831,1000.0,10,6.190486285760832,6.190486285760832
halfcheetah-medium-replay-v2,7,0,two_actor_p4,1,target_value,10,45.25538280082528,5338.357807587645,1000.0,10,5.338357807587644,5.338357807587644
halfcheetah-medium-replay-v2,7,0,two_actor_p4,2,deployment,10,49.805666504639,5903.283672285313,1000.0,10,5.903283672285313,5.903283672285314
halfcheetah-medium-replay-v2,7,1,MART4,1,mu1,10,45.51263741104785,5370.296427811618,1000.0,10,5.370296427811618,5.370296427811619
halfcheetah-medium-replay-v2,7,1,MART4,2,mu2,10,48.819638321420335,5780.8665088117,1000.0,10,5.780866508811701,5.780866508811701
halfcheetah-medium-replay-v2,7,1,MART4,3,mu3,10,50.3626714982568,5972.43683902011,1000.0,10,5.9724368390201095,5.9724368390201095
halfcheetah-medium-replay-v2,7,1,MART4,4,mu4,10,52.38929577867826,6224.045870139382,1000.0,10,6.224045870139381,6.224045870139381
halfcheetah-medium-replay-v2,7,1,two_actor_p4,1,target_value,10,45.00888861312758,5307.7551130762295,1000.0,10,5.3077551130762295,5.307755113076229
halfcheetah-medium-replay-v2,7,1,two_actor_p4,2,deployment,10,49.61453000637222,5879.5537339809935,1000.0,10,5.879553733980993,5.879553733980994
halfcheetah-medium-replay-v2,10,0,MART4,1,mu1,10,45.98080820747854,5428.420669994172,1000.0,10,5.428420669994172,5.428420669994173
halfcheetah-medium-replay-v2,10,0,MART4,2,mu2,10,50.262137406289135,5959.9553515935495,1000.0,10,5.95995535159355,5.959955351593549
halfcheetah-medium-replay-v2,10,0,MART4,3,mu3,10,51.37287155436205,6097.854983768882,1000.0,10,6.097854983768883,6.097854983768882
halfcheetah-medium-replay-v2,10,0,MART4,4,mu4,10,52.70658294527838,6263.437639667689,1000.0,10,6.263437639667689,6.263437639667688
halfcheetah-medium-replay-v2,10,0,two_actor_p4,1,target_value,10,46.07085604169669,5439.600269755658,1000.0,10,5.439600269755657,5.439600269755657
halfcheetah-medium-replay-v2,10,0,two_actor_p4,2,deployment,10,52.54595404322214,6243.495274027167,1000.0,10,6.243495274027167,6.243495274027168
halfcheetah-medium-v2,4,0,MART4,1,mu1,10,47.13356050619648,5571.536930764827,1000.0,10,5.571536930764827,5.571536930764826
halfcheetah-medium-v2,4,0,MART4,2,mu2,10,49.1594848223385,5823.059060066198,1000.0,10,5.823059060066198,5.823059060066199
halfcheetah-medium-v2,4,0,MART4,3,mu3,10,50.981941740709395,6049.320347823275,1000.0,10,6.049320347823276,6.049320347823275
halfcheetah-medium-v2,4,0,MART4,4,mu4,10,52.151026495697636,6194.464312267308,1000.0,10,6.194464312267308,6.194464312267306
halfcheetah-medium-v2,4,0,two_actor_p4,1,target_value,10,47.32948332496132,5595.861099324244,1000.0,10,5.595861099324244,5.595861099324243
halfcheetah-medium-v2,4,0,two_actor_p4,2,deployment,10,53.1841174535117,6322.724403427184,1000.0,10,6.322724403427185,6.322724403427185
halfcheetah-medium-v2,4,1,MART4,1,mu1,10,47.79090847175479,5653.1478570327945,1000.0,10,5.653147857032795,5.6531478570327955
halfcheetah-medium-v2,4,1,MART4,2,mu2,10,50.10261461099583,5940.150311087058,1000.0,10,5.940150311087058,5.9401503110870575
halfcheetah-medium-v2,4,1,MART4,3,mu3,10,52.68580993725452,6260.858633547606,1000.0,10,6.260858633547606,6.260858633547605
halfcheetah-medium-v2,4,1,MART4,4,mu4,10,52.757146393140246,6269.715182204548,1000.0,10,6.269715182204548,6.269715182204548
halfcheetah-medium-v2,4,1,two_actor_p4,1,target_value,10,47.87936730780519,5664.130179828193,1000.0,10,5.664130179828193,5.664130179828193
halfcheetah-medium-v2,4,1,two_actor_p4,2,deployment,10,52.66217264182417,6257.924021020279,1000.0,10,6.257924021020279,6.257924021020278
halfcheetah-medium-v2,7,0,MART4,1,mu1,10,48.99770645079939,5802.97398573237,1000.0,10,5.80297398573237,5.80297398573237
halfcheetah-medium-v2,7,0,MART4,2,mu2,10,52.98048478614457,6297.443043366789,1000.0,10,6.297443043366789,6.297443043366789
halfcheetah-medium-v2,7,0,MART4,3,mu3,10,55.341044638593964,6590.510773341053,1000.0,10,6.5905107733410535,6.5905107733410535
