task,T,training_seed,method,actor_role,n_episodes,S_100,S_200,S_300,S_400,S_500,S_600,S_700,S_800,S_900,S_1000
hopper-medium-v2,10,0,MART4,mu1,10,1.0,1.0,1.0,1.0,0.4,0.1,0.1,0.1,0.0,0.0
hopper-medium-v2,10,0,MART4,mu2,10,1.0,1.0,1.0,1.0,0.8,0.3,0.2,0.1,0.1,0.1
hopper-medium-v2,10,0,MART4,mu3,10,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.7,0.7,0.6
hopper-medium-v2,10,0,MART4,mu4,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hopper-medium-v2,10,0,two_actor_p4,deployment,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hopper-medium-v2,10,1,MART4,mu1,10,1.0,1.0,1.0,1.0,0.6,0.2,0.1,0.0,0.0,0.0
hopper-medium-v2,10,1,MART4,mu2,10,1.0,1.0,1.0,1.0,1.0,0.4,0.3,0.3,0.3,0.0
hopper-medium-v2,10,1,MART4,mu3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9
hopper-medium-v2,10,1,MART4,mu4,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hopper-medium-v2,10,1,two_actor_p4,deployment,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hopper-medium-v2,10,pooled,MART4,mu1,20,1.0,1.0,1.0,1.0,0.5,0.15,0.1,0.05,0.0,0.0
hopper-medium-v2,10,pooled,MART4,mu2,20,1.0,1.0,1.0,1.0,0.9,0.35,0.25,0.2,0.2,0.05
hopper-medium-v2,10,pooled,MART4,mu3,20,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.75
hopper-medium-v2,10,pooled,MART4,mu4,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hopper-medium-v2,10,pooled,two_actor_p4,deployment,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
