state_set,environment,T,seed,n_states,metric,mean,std,n_finite,n_near_zero_excluded
dataset,halfcheetah-expert-v2,10,0,2048,mart_adjacent_rms_mu1_to_mu2,0.048299923920895965,0.024668580625856553,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_adjacent_l2_mu1_to_mu2,0.11831016822144252,0.060425435212055456,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_delta_mu2_minus_mu1_rms,0.048299923920895965,0.024668580625856553,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_adjacent_rms_mu2_to_mu3,0.0435129251368207,0.024365059519234747,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_adjacent_l2_mu2_to_mu3,0.10658446380113462,0.05968196337466714,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_delta_mu3_minus_mu2_rms,0.0435129251368207,0.024365059519234747,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_adjacent_rms_mu3_to_mu4,0.043024323227419545,0.025327259577209764,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_adjacent_l2_mu3_to_mu4,0.10538763843575222,0.06203886254718232,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_delta_mu4_minus_mu3_rms,0.043024323227419545,0.025327259577209764,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_from_mu1_rms_mu2,0.048299923920895965,0.024668580625856553,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_from_mu1_rms_mu3,0.0709286453517586,0.036398257554949284,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_from_mu1_rms_mu4,0.0877490630115238,0.04636950178970564,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_delta2_rms,0.04829992390386906,0.024668580478805175,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_delta2_l2,0.11831016827136409,0.060425435146644134,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_delta3_rms,0.04351292511569227,0.024365059330387965,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_delta3_l2,0.10658446381921749,0.0596819627005687,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_delta4_rms,0.04302432320277205,0.025327259603886373,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_delta4_l2,0.10538763838508203,0.062038862486980324,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_cosine_delta2_delta3,0.21049659347846097,0.49658134014962163,2048,0
dataset,halfcheetah-expert-v2,10,0,2048,mart_cosine_delta3_delta4,0.07428051732007807,0.5396793615723919,2048,0
dataset,halfcheetah-expert-v2,10,0,2048,mart_cosine_delta2_delta4,0.15228508148665987,0.48463364954025884,2048,0
dataset,halfcheetah-expert-v2,10,0,2048,bound_frac_mart_mu1,0.24576822916666666,0.0,1,
dataset,halfcheetah-expert-v2,10,0,2048,bound_frac_mart_mu2,0.3091634114583333,0.0,1,
dataset,halfcheetah-expert-v2,10,0,2048,bound_frac_mart_mu3,0.3397623697916667,0.0,1,
dataset,halfcheetah-expert-v2,10,0,2048,bound_frac_mart_mu4,0.3643391927083333,0.0,1,
dataset,halfcheetah-expert-v2,10,0,2048,mart_mu4_vs_two_deploy_rms,0.08363879237837989,0.050913064481002274,2048,
dataset,halfcheetah-expert-v2,10,0,2048,mart_mu1_vs_two_target_rms,0.041530715915014234,0.024296053613874047,2048,
dataset,halfcheetah-expert-v2,10,0,2048,two_target_vs_deploy_rms,0.08115246014134932,0.04849589953577333,2048,
dataset,halfcheetah-expert-v2,10,0,2048,bound_frac_two_actor_target,0.24943033854166666,0.0,1,
dataset,halfcheetah-expert-v2,10,0,2048,bound_frac_two_actor_deploy,0.3678385416666667,0.0,1,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_adjacent_rms_mu1_to_mu2,0.16005094539389042,0.14156091900293583,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_adjacent_l2_mu1_to_mu2,0.39204314906508503,0.34675201907665154,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_delta_mu2_minus_mu1_rms,0.16005094539389042,0.14156091900293583,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_adjacent_rms_mu2_to_mu3,0.1489326708623508,0.13909486483671565,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_adjacent_l2_mu2_to_mu3,0.3648090496426314,0.34071144469134756,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_delta_mu3_minus_mu2_rms,0.1489326708623508,0.13909486483671565,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_adjacent_rms_mu3_to_mu4,0.30842622045295787,0.3432388237896901,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_adjacent_l2_mu3_to_mu4,0.7554868634049036,0.8407599781978087,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_delta_mu4_minus_mu3_rms,0.30842622045295787,0.3432388237896901,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_from_mu1_rms_mu2,0.16005094539389042,0.14156091900293583,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_from_mu1_rms_mu3,0.2298778278714989,0.1970754538299177,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_from_mu1_rms_mu4,0.2802623470219163,0.23306942137287676,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_delta2_rms,0.1600509458477688,0.14156091798696557,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_delta2_l2,0.3920431516872753,0.3467520210340801,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_delta3_rms,0.14893267156302903,0.13909486588747605,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_delta3_l2,0.36480905112088813,0.3407114451661251,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_delta4_rms,0.30842622067712,0.34323882371921927,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_delta4_l2,0.7554868613615326,0.8407599746160809,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_cosine_delta2_delta3,0.13396975639633074,0.5263836887833087,489,23
rollout_common,halfcheetah-expert-v2,10,0,512,mart_cosine_delta3_delta4,-0.31325941334741164,0.617044213873098,488,24
rollout_common,halfcheetah-expert-v2,10,0,512,mart_cosine_delta2_delta4,-0.0197022157071502,0.4542258110215754,488,24
rollout_common,halfcheetah-expert-v2,10,0,512,bound_frac_mart_mu1,0.3138020833333333,0.0,1,
rollout_common,halfcheetah-expert-v2,10,0,512,bound_frac_mart_mu2,0.2916666666666667,0.0,1,
rollout_common,halfcheetah-expert-v2,10,0,512,bound_frac_mart_mu3,0.2591145833333333,0.0,1,
rollout_common,halfcheetah-expert-v2,10,0,512,bound_frac_mart_mu4,0.3707682291666667,0.0,1,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_mu4_vs_two_deploy_rms,0.20775170827413292,0.16888210263880452,512,
rollout_common,halfcheetah-expert-v2,10,0,512,mart_mu1_vs_two_target_rms,0.16392825907813446,0.15912692286419547,512,
rollout_common,halfcheetah-expert-v2,10,0,512,two_target_vs_deploy_rms,0.24729901155141354,0.2081386883593153,512,
rollout_common,halfcheetah-expert-v2,10,0,512,bound_frac_two_actor_target,0.2692057291666667,0.0,1,
rollout_common,halfcheetah-expert-v2,10,0,512,bound_frac_two_actor_deploy,0.388671875,0.0,1,
dataset,halfcheetah-expert-v2,10,1,2048,mart_adjacent_rms_mu1_to_mu2,0.04898160745994555,0.0273615836373398,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_adjacent_l2_mu1_to_mu2,0.11997994505816861,0.06702191846596789,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_delta_mu2_minus_mu1_rms,0.04898160745994555,0.0273615836373398,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_adjacent_rms_mu2_to_mu3,0.04257695225105887,0.025270321501329008,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_adjacent_l2_mu2_to_mu3,0.10429180781793786,0.061899393314338615,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_delta_mu3_minus_mu2_rms,0.04257695225105887,0.025270321501329008,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_adjacent_rms_mu3_to_mu4,0.04794279681534075,0.02682432041511442,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_adjacent_l2_mu3_to_mu4,0.11743538903951517,0.06570589771395217,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_delta_mu4_minus_mu3_rms,0.04794279681534075,0.02682432041511442,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_from_mu1_rms_mu2,0.04898160745994555,0.0273615836373398,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_from_mu1_rms_mu3,0.06953116245552811,0.03663283672617636,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_from_mu1_rms_mu4,0.0885381362331907,0.046069280755728755,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_delta2_rms,0.04898160747870861,0.027361583666548756,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_delta2_l2,0.11997994499233755,0.06702191883092236,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_delta3_rms,0.04257695227380509,0.02527032149142994,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_delta3_l2,0.10429180785126846,0.061899393400806774,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_delta4_rms,0.0479427968643904,0.02682432047910243,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_delta4_l2,0.11743538918540253,0.06570589801492445,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_cosine_delta2_delta3,0.1543122868903115,0.49839146919524197,2048,0
dataset,halfcheetah-expert-v2,10,1,2048,mart_cosine_delta3_delta4,-0.06605416169664013,0.5450150360031735,2048,0
dataset,halfcheetah-expert-v2,10,1,2048,mart_cosine_delta2_delta4,0.19904155430226902,0.4904679948101567,2048,0
dataset,halfcheetah-expert-v2,10,1,2048,bound_frac_mart_mu1,0.24690755208333334,0.0,1,
dataset,halfcheetah-expert-v2,10,1,2048,bound_frac_mart_mu2,0.310791015625,0.0,1,
dataset,halfcheetah-expert-v2,10,1,2048,bound_frac_mart_mu3,0.3413899739583333,0.0,1,
dataset,halfcheetah-expert-v2,10,1,2048,bound_frac_mart_mu4,0.3745930989583333,0.0,1,
dataset,halfcheetah-expert-v2,10,1,2048,mart_mu4_vs_two_deploy_rms,0.07389863365829236,0.045053815854560926,2048,
dataset,halfcheetah-expert-v2,10,1,2048,mart_mu1_vs_two_target_rms,0.03849468091354276,0.025288160303484627,2048,
dataset,halfcheetah-expert-v2,10,1,2048,two_target_vs_deploy_rms,0.08180766648905093,0.0456286296854322,2048,
dataset,halfcheetah-expert-v2,10,1,2048,bound_frac_two_actor_target,0.2523600260416667,0.0,1,
dataset,halfcheetah-expert-v2,10,1,2048,bound_frac_two_actor_deploy,0.3688151041666667,0.0,1,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_adjacent_rms_mu1_to_mu2,0.20334237423938875,0.1734628690510501,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_adjacent_l2_mu1_to_mu2,0.49808505997256114,0.4248955184942888,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_delta_mu2_minus_mu1_rms,0.20334237423938875,0.1734628690510501,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_adjacent_rms_mu2_to_mu3,0.28527724465865356,0.272228279194895,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_adjacent_l2_mu2_to_mu3,0.6987836846408191,0.6668203775834105,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_delta_mu3_minus_mu2_rms,0.28527724465865356,0.272228279194895,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_adjacent_rms_mu3_to_mu4,0.24368966524224764,0.22008590021511729,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_adjacent_l2_mu3_to_mu4,0.5969153354331519,0.5390981551081319,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_delta_mu4_minus_mu3_rms,0.24368966524224764,0.22008590021511729,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_from_mu1_rms_mu2,0.20334237423938875,0.1734628690510501,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_from_mu1_rms_mu3,0.277506762456329,0.2183040346836362,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_from_mu1_rms_mu4,0.27454646206526473,0.19599595139316944,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_delta2_rms,0.20334237400311395,0.17346286969579236,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_delta2_l2,0.4980850595748052,0.42489552151856264,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_delta3_rms,0.2852772445012306,0.27222827886533696,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_delta3_l2,0.6987836839016381,0.6668203762565558,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_delta4_rms,0.24368966505517164,0.2200858995728587,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_delta4_l2,0.5969153337882744,0.539098152170134,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_cosine_delta2_delta3,-0.13288308901690135,0.5516555784952799,512,0
rollout_common,halfcheetah-expert-v2,10,1,512,mart_cosine_delta3_delta4,-0.39196460979268205,0.568155256761666,512,0
rollout_common,halfcheetah-expert-v2,10,1,512,mart_cosine_delta2_delta4,0.23870606632630043,0.5177015750595317,512,0
rollout_common,halfcheetah-expert-v2,10,1,512,bound_frac_mart_mu1,0.18587239583333334,0.0,1,
rollout_common,halfcheetah-expert-v2,10,1,512,bound_frac_mart_mu2,0.2740885416666667,0.0,1,
rollout_common,halfcheetah-expert-v2,10,1,512,bound_frac_mart_mu3,0.2991536458333333,0.0,1,
rollout_common,halfcheetah-expert-v2,10,1,512,bound_frac_mart_mu4,0.2679036458333333,0.0,1,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_mu4_vs_two_deploy_rms,0.3165545417607015,0.258334536625354,512,
rollout_common,halfcheetah-expert-v2,10,1,512,mart_mu1_vs_two_target_rms,0.19883585785612523,0.17540138589314103,512,
rollout_common,halfcheetah-expert-v2,10,1,512,two_target_vs_deploy_rms,0.3382320401618691,0.27111380183096934,512,
rollout_common,halfcheetah-expert-v2,10,1,512,bound_frac_two_actor_target,0.1923828125,0.0,1,
rollout_common,halfcheetah-expert-v2,10,1,512,bound_frac_two_actor_deploy,0.3274739583333333,0.0,1,
dataset,halfcheetah-expert-v2,14,0,2048,mart_adjacent_rms_mu1_to_mu2,0.05453230532035197,0.031185659829987143,2048,
dataset,halfcheetah-expert-v2,14,0,2048,mart_adjacent_l2_mu1_to_mu2,0.13357632253252266,0.07638895387547891,2048,
dataset,halfcheetah-expert-v2,14,0,2048,mart_delta_mu2_minus_mu1_rms,0.05453230532035197,0.031185659829987143,2048,
dataset,halfcheetah-expert-v2,14,0,2048,mart_adjacent_rms_mu2_to_mu3,0.047032818664790026,0.0293935431486619,2048,
dataset,halfcheetah-expert-v2,14,0,2048,mart_adjacent_l2_mu2_to_mu3,0.11520640689358437,0.07199918244670209,2048,
dataset,halfcheetah-expert-v2,14,0,2048,mart_delta_mu3_minus_mu2_rms,0.047032818664790026,0.0293935431486619,2048,
dataset,halfcheetah-expert-v2,14,0,2048,mart_adjacent_rms_mu3_to_mu4,0.04888128757127447,0.028651275340658845,2048,
dataset,halfcheetah-expert-v2,14,0,2048,mart_adjacent_l2_mu3_to_mu4,0.11973421251987167,0.07018100506460045,2048,
dataset,halfcheetah-expert-v2,14,0,2048,mart_delta_mu4_minus_mu3_rms,0.04888128757127447,0.028651275340658845,2048,
dataset,halfcheetah-expert-v2,14,0,2048,mart_from_mu1_rms_mu2,0.05453230532035197,0.031185659829987143,2048,
dataset,halfcheetah-expert-v2,14,0,2048,mart_from_mu1_rms_mu3,0.07915021524253273,0.0471594386386133,2048,
dataset,halfcheetah-expert-v2,14,0,2048,mart_from_mu1_rms_mu4,0.1044591081348507,0.05713060293005379,2048,
dataset,halfcheetah-expert-v2,14,0,2048,mart_delta2_rms,0.05453230529360553,0.031185659735445844,2048,
dataset,halfcheetah-expert-v2,14,0,2048,mart_delta2_l2,0.13357632258407648,0.07638895450514142,2048,
dataset,halfcheetah-expert-v2,14,0,2048,mart_delta3_rms,0.04703281859193709,0.029393543026291158,2048,
