state_set,environment,T,seed,condition,run_key,hop_index,ref_actor,new_actor,n_states,optimizer_diverged,c_k,mean_q_new,mean_q_ref,mean_q_gain,transport_mean_sq,delta_L,q_term
dataset,halfcheetah-expert-v2,10,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=10|seed=0,1,dataset_action,mart_mu1,2048,False,0.004827555152160232,1034.7265625,1033.0758056640625,1.6507357824593782,0.02800221799601596,0.020033199964548935,-0.007969018031467023
dataset,halfcheetah-expert-v2,10,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=10|seed=0,2,mart_mu1,mart_mu2,2048,False,0.004827555152160232,1035.3414306640625,1034.7265625,0.6148517062538303,0.0029411243827385607,-2.7106139601627832e-05,-0.0029682305223401886
dataset,halfcheetah-expert-v2,10,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=10|seed=0,3,mart_mu2,mart_mu3,2048,False,0.004824758545391316,1035.70068359375,1035.3414306640625,0.3591591626754962,0.002486740908183446,0.0007538846689092559,-0.00173285623927419
dataset,halfcheetah-expert-v2,10,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=10|seed=0,4,mart_mu3,mart_mu4,2048,False,0.004823093380962465,1035.914306640625,1035.70068359375,0.2136325123719871,0.002492249249057464,0.0014618796926777512,-0.0010303695563797129
dataset,halfcheetah-expert-v2,10,0,two_actor_p4,two_actor_p4|halfcheetah-expert-v2|T=10|seed=0,1,dataset_action,two_actor_target,2048,False,0.004827568238661557,1034.8448486328125,1033.022216796875,1.8227219032123685,0.028178615941222285,0.019379301573361513,-0.008799314367860774
dataset,halfcheetah-expert-v2,10,0,two_actor_p4,two_actor_p4|halfcheetah-expert-v2|T=10|seed=0,1,dataset_action,two_actor_deploy,2048,False,0.01928732031054637,1036.1060791015625,1033.022216796875,3.083953071385622,0.04103613174109891,-0.01844505896940886,-0.05948119071050777
rollout_common,halfcheetah-expert-v2,10,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=10|seed=0,2,mart_mu1,mart_mu2,512,False,0.008192637373764862,529.728515625,532.0864868164062,-2.3580298498272896,0.04561665927412728,0.06493514275027548,0.019318483476148198
rollout_common,halfcheetah-expert-v2,10,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=10|seed=0,3,mart_mu2,mart_mu3,512,False,0.008225566879846508,520.8854370117188,529.728515625,-8.843014471232891,0.04149053401979388,0.11422934097237053,0.07273880695257665
rollout_common,halfcheetah-expert-v2,10,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=10|seed=0,4,mart_mu3,mart_mu4,512,False,0.008347192661729364,546.8497314453125,520.8854370117188,25.964294590055943,0.2127095203183396,-0.004019448950754789,-0.21672896926909438
dataset,halfcheetah-expert-v2,10,1,bar_p4,bar_p4|halfcheetah-expert-v2|T=10|seed=1,1,dataset_action,mart_mu1,2048,False,0.004815037206102308,1037.3739013671875,1035.8939208984375,1.4799709599465132,0.027922720198966952,0.02079660496287354,-0.00712611523609341
dataset,halfcheetah-expert-v2,10,1,bar_p4,bar_p4|halfcheetah-expert-v2|T=10|seed=1,2,mart_mu1,mart_mu2,2048,False,0.004815037206102308,1037.9727783203125,1037.3739013671875,0.5989668648689985,0.0031474885736893,0.0002634408341226184,-0.0028840477395666816
dataset,halfcheetah-expert-v2,10,1,bar_p4,bar_p4|halfcheetah-expert-v2|T=10|seed=1,3,mart_mu2,mart_mu3,2048,False,0.004812308790978797,1038.289794921875,1037.9727783203125,0.3170824870467186,0.0024510742006616753,0.0009251753607813309,-0.0015258988398803445
dataset,halfcheetah-expert-v2,10,1,bar_p4,bar_p4|halfcheetah-expert-v2|T=10|seed=1,4,mart_mu3,mart_mu4,2048,False,0.004810924552650836,1038.529296875,1038.289794921875,0.23940097074955702,0.003017704592285097,0.0018659645841776083,-0.0011517400081074885
dataset,halfcheetah-expert-v2,10,1,two_actor_p4,two_actor_p4|halfcheetah-expert-v2|T=10|seed=1,1,dataset_action,two_actor_target,2048,False,0.004800603821340823,1040.25341796875,1038.6572265625,1.5962556172162294,0.028493975001612094,0.020830984185767107,-0.007662990815844985
dataset,halfcheetah-expert-v2,10,1,two_actor_p4,two_actor_p4|halfcheetah-expert-v2|T=10|seed=1,1,dataset_action,two_actor_deploy,2048,False,0.019178975030211314,1041.5496826171875,1038.6572265625,2.8924790658056736,0.041000631893770824,-0.014474151884725138,-0.05547478377849596
rollout_common,halfcheetah-expert-v2,10,1,bar_p4,bar_p4|halfcheetah-expert-v2|T=10|seed=1,2,mart_mu1,mart_mu2,512,False,0.008242730696841893,580.307373046875,569.5403442382812,10.767033249139786,0.07137871980592983,-0.017371035670671997,-0.08874975547660183
rollout_common,halfcheetah-expert-v2,10,1,bar_p4,bar_p4|halfcheetah-expert-v2|T=10|seed=1,3,mart_mu2,mart_mu3,512,False,0.008098990371406347,580.6085205078125,580.307373046875,0.30115893483161926,0.15534659966502237,0.1529075163515581,-0.002439083313464276
rollout_common,halfcheetah-expert-v2,10,1,bar_p4,bar_p4|halfcheetah-expert-v2|T=10|seed=1,4,mart_mu3,mart_mu4,512,False,0.008095984844869326,578.4441528320312,580.6085205078125,-2.164345234632492,0.1077278513344681,0.12525035755311792,0.0175225062186498
dataset,halfcheetah-expert-v2,14,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=14|seed=0,1,dataset_action,mart_mu1,2048,False,0.006522907292288712,1072.39013671875,1070.130126953125,2.2600950095802546,0.03008019858301136,0.015337808363754991,-0.01474239021925637
dataset,halfcheetah-expert-v2,14,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=14|seed=0,2,mart_mu1,mart_mu2,2048,False,0.006522907292288712,1073.13916015625,1072.39013671875,0.749050909653306,0.003945842826910406,-0.0009401468139626371,-0.004885989640873043
dataset,halfcheetah-expert-v2,14,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=14|seed=0,3,mart_mu2,mart_mu3,2048,False,0.006518357655160147,1073.5283203125,1073.13916015625,0.3891640082001686,0.0030756445449679182,0.0005389343530035427,-0.0025367101919643756
dataset,halfcheetah-expert-v2,14,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=14|seed=0,4,mart_mu3,mart_mu4,2048,False,0.006516005250009077,1073.771484375,1073.5283203125,0.24317381158471107,0.0032098750253526168,0.0016253531924019214,-0.0015845218329506954
dataset,halfcheetah-expert-v2,14,0,two_actor_p4,two_actor_p4|halfcheetah-expert-v2|T=14|seed=0,1,dataset_action,two_actor_target,2048,False,0.006566201096574097,1065.095458984375,1063.1341552734375,1.961353452410549,0.029490515268437364,0.01661187407844983,-0.012878641189987536
dataset,halfcheetah-expert-v2,14,0,two_actor_p4,two_actor_p4|halfcheetah-expert-v2|T=14|seed=0,1,dataset_action,two_actor_deploy,2048,False,0.026234215052842687,1066.34130859375,1063.1341552734375,3.2070527006872,0.04718525891313979,-0.03694925132248814,-0.08413451023562793
rollout_common,halfcheetah-expert-v2,14,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=14|seed=0,2,mart_mu1,mart_mu2,512,False,0.014019457274143504,380.95404052734375,378.01983642578125,2.934204265475273,0.03576020547847953,-0.005375745854960687,-0.04113595133344022
rollout_common,halfcheetah-expert-v2,14,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=14|seed=0,3,mart_mu2,mart_mu3,512,False,0.013937470206196309,373.67041015625,380.95404052734375,-7.283608369529247,0.05341384989963859,0.15492892454355456,0.10151507464391596
rollout_common,halfcheetah-expert-v2,14,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=14|seed=0,4,mart_mu3,mart_mu4,512,False,0.01414717061129237,384.4339599609375,373.67041015625,10.763519082218409,0.1913865646206888,0.03911322378664389,-0.1522733408340449
dataset,halfcheetah-expert-v2,14,1,bar_p4,bar_p4|halfcheetah-expert-v2|T=14|seed=1,1,dataset_action,mart_mu1,2048,False,0.006558402243365349,1066.4783935546875,1064.4637451171875,2.0146086364984512,0.029860150196538347,0.016647536395423698,-0.01321261380111465
dataset,halfcheetah-expert-v2,14,1,bar_p4,bar_p4|halfcheetah-expert-v2|T=14|seed=1,2,mart_mu1,mart_mu2,2048,False,0.006558402243365349,1067.210693359375,1066.4783935546875,0.7323026321828365,0.004185636535838029,-0.0006170986898922362,-0.004802735225730265
dataset,halfcheetah-expert-v2,14,1,bar_p4,bar_p4|halfcheetah-expert-v2|T=14|seed=1,3,mart_mu2,mart_mu3,2048,False,0.006553920574207547,1067.638671875,1067.210693359375,0.42795291543006897,0.0032933640437515497,0.0004885946265223181,-0.0028047694172292316
dataset,halfcheetah-expert-v2,14,1,bar_p4,bar_p4|halfcheetah-expert-v2|T=14|seed=1,4,mart_mu3,mart_mu4,2048,False,0.006551304416798835,1067.9412841796875,1067.638671875,0.30266400054097176,0.0033393646868491137,0.0013565206832990406,-0.001982844003550073
dataset,halfcheetah-expert-v2,14,1,two_actor_p4,two_actor_p4|halfcheetah-expert-v2|T=14|seed=1,1,dataset_action,two_actor_target,2048,False,0.006595062966264044,1060.2294921875,1058.3758544921875,1.8536956924945116,0.029837723027463976,0.01761248321517024,-0.012225239812293735
dataset,halfcheetah-expert-v2,14,1,two_actor_p4,two_actor_p4|halfcheetah-expert-v2|T=14|seed=1,1,dataset_action,two_actor_deploy,2048,False,0.026349535449995787,1061.469482421875,1058.3758544921875,3.0935448678210378,0.04665094049479862,-0.03486252966600435,-0.08151347016080297
rollout_common,halfcheetah-expert-v2,14,1,bar_p4,bar_p4|halfcheetah-expert-v2|T=14|seed=1,2,mart_mu1,mart_mu2,512,False,0.01286983607355321,443.99066162109375,442.68927001953125,1.3014009445905685,0.13634460934461426,0.11959579252176633,-0.01674881682284792
rollout_common,halfcheetah-expert-v2,14,1,bar_p4,bar_p4|halfcheetah-expert-v2|T=14|seed=1,3,mart_mu2,mart_mu3,512,False,0.012844662415973516,444.6187744140625,443.99066162109375,0.6280997768044472,0.12656021792466543,0.118492488328064,-0.008067729596601436
rollout_common,halfcheetah-expert-v2,14,1,bar_p4,bar_p4|halfcheetah-expert-v2|T=14|seed=1,4,mart_mu3,mart_mu4,512,False,0.012830994848468441,446.73358154296875,444.6187744140625,2.1147896721959114,0.12436370725334113,0.09722885186380112,-0.027134855389540004
dataset,halfcheetah-expert-v2,20,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=20|seed=0,1,dataset_action,mart_mu1,2048,False,0.00907884519633846,1100.498779296875,1098.0655517578125,2.4331381637603045,0.03292312723275662,0.010833042502673602,-0.02209008473008302
dataset,halfcheetah-expert-v2,20,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=20|seed=0,2,mart_mu1,mart_mu2,2048,False,0.00907884519633846,1101.25048828125,1100.498779296875,0.7517896145582199,0.005693047059352088,-0.001132334471436949,-0.006825381530789037
dataset,halfcheetah-expert-v2,20,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=20|seed=0,3,mart_mu2,mart_mu3,2048,False,0.009072657447561633,1101.6839599609375,1101.25048828125,0.43338804692029953,0.004272166670665532,0.000340185379089886,-0.003931981291575646
dataset,halfcheetah-expert-v2,20,0,bar_p4,bar_p4|halfcheetah-expert-v2|T=20|seed=0,4,mart_mu3,mart_mu4,2048,False,0.009069097837952973,1101.92041015625,1101.6839599609375,0.2364993691444397,0.004454187356570113,0.002309351439185033,-0.00214483591738508
dataset,halfcheetah-expert-v2,20,0,two_actor_p4,two_actor_p4|halfcheetah-expert-v2|T=20|seed=0,1,dataset_action,two_actor_target,2048,False,0.00906708424017706,1101.895751953125,1099.2637939453125,2.63193435780704,0.03334295893540413,0.009478988398551384,-0.023863970536852745
