run_key,condition,method_label,environment,T,seed,eval_eligible,missing_reason,checkpoint,file_sha256,step,n_actors_in_ckpt,config_method,config_tau,config_normalize,config_q_scale_norm,eval_env,optimizer_diverged,frozen_source_revision
bar_p4|hopper-medium-v2|T=4|seed=0,bar_p4,MART4,hopper-medium-v2,4,0,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
two_actor_p4|hopper-medium-v2|T=4|seed=0,two_actor_p4,two_actor_p4,hopper-medium-v2,4,0,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
bar_p4|hopper-medium-v2|T=4|seed=1,bar_p4,MART4,hopper-medium-v2,4,1,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
two_actor_p4|hopper-medium-v2|T=4|seed=1,two_actor_p4,two_actor_p4,hopper-medium-v2,4,1,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
bar_p4|hopper-medium-v2|T=7|seed=0,bar_p4,MART4,hopper-medium-v2,7,0,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
two_actor_p4|hopper-medium-v2|T=7|seed=0,two_actor_p4,two_actor_p4,hopper-medium-v2,7,0,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
bar_p4|hopper-medium-v2|T=7|seed=1,bar_p4,MART4,hopper-medium-v2,7,1,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
two_actor_p4|hopper-medium-v2|T=7|seed=1,two_actor_p4,two_actor_p4,hopper-medium-v2,7,1,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
bar_p4|hopper-medium-v2|T=10|seed=0,bar_p4,MART4,hopper-medium-v2,10,0,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
two_actor_p4|hopper-medium-v2|T=10|seed=0,two_actor_p4,two_actor_p4,hopper-medium-v2,10,0,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
bar_p4|hopper-medium-v2|T=10|seed=1,bar_p4,MART4,hopper-medium-v2,10,1,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
two_actor_p4|hopper-medium-v2|T=10|seed=1,two_actor_p4,two_actor_p4,hopper-medium-v2,10,1,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
bar_p4|hopper-medium-v2|T=14|seed=0,bar_p4,MART4,hopper-medium-v2,14,0,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
two_actor_p4|hopper-medium-v2|T=14|seed=0,two_actor_p4,two_actor_p4,hopper-medium-v2,14,0,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
bar_p4|hopper-medium-v2|T=14|seed=1,bar_p4,MART4,hopper-medium-v2,14,1,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
two_actor_p4|hopper-medium-v2|T=14|seed=1,two_actor_p4,two_actor_p4,hopper-medium-v2,14,1,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
bar_p4|hopper-medium-v2|T=20|seed=0,bar_p4,MART4,hopper-medium-v2,20,0,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
two_actor_p4|hopper-medium-v2|T=20|seed=0,two_actor_p4,two_actor_p4,hopper-medium-v2,20,0,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
bar_p4|hopper-medium-v2|T=20|seed=1,bar_p4,MART4,hopper-medium-v2,20,1,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
two_actor_p4|hopper-medium-v2|T=20|seed=1,two_actor_p4,two_actor_p4,hopper-medium-v2,20,1,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
bar_p4|hopper-medium-replay-v2|T=4|seed=0,bar_p4,MART4,hopper-medium-replay-v2,4,0,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
two_actor_p4|hopper-medium-replay-v2|T=4|seed=0,two_actor_p4,two_actor_p4,hopper-medium-replay-v2,4,0,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
bar_p4|hopper-medium-replay-v2|T=4|seed=1,bar_p4,MART4,hopper-medium-replay-v2,4,1,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
two_actor_p4|hopper-medium-replay-v2|T=4|seed=1,two_actor_p4,two_actor_p4,hopper-medium-replay-v2,4,1,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
bar_p4|hopper-medium-replay-v2|T=7|seed=0,bar_p4,MART4,hopper-medium-replay-v2,7,0,False,not in ext_csh frozen tail90 CHECKPOINTS.json; head shard lives on ext_csv and is not substituted,,,,,,,,,,False,29fea94bee9d9276ac463caa2b897e3474fe1b2b
