pair_key,environment,T,seed,mart_mu1,mart_mu4,two_target,two_deploy,mart4_minus_two_deploy,mart1_minus_two_target
halfcheetah-expert-v2|T=10|seed=0,halfcheetah-expert-v2,10,0,97.89240884034699,20.275292612362282,93.05913991319433,47.06805672967712,-26.792764117314835,4.833268927152659
halfcheetah-expert-v2|T=10|seed=1,halfcheetah-expert-v2,10,1,92.05886600364889,35.530845671193575,94.31779830930547,35.34560319330741,0.18524247788616321,-2.258932305656586
halfcheetah-expert-v2|T=14|seed=0,halfcheetah-expert-v2,14,0,69.77673909513113,17.66509012124252,76.89798514813222,27.050133191490147,-9.385043070247626,-7.121246053001087
halfcheetah-expert-v2|T=14|seed=1,halfcheetah-expert-v2,14,1,80.46524819709614,14.111392752110698,88.58697626219279,29.358482777215556,-15.247090025104859,-8.121728065096647
halfcheetah-expert-v2|T=20|seed=0,halfcheetah-expert-v2,20,0,48.44814012464906,4.879546261043007,55.28035541022689,13.34015798631522,-8.460611725272212,-6.832215285577831
halfcheetah-expert-v2|T=20|seed=1,halfcheetah-expert-v2,20,1,49.67812234172869,3.615968990809435,17.267312765427413,-0.24096988184531193,3.856938872654747,32.410809576301276
halfcheetah-expert-v2|T=4|seed=0,halfcheetah-expert-v2,4,0,95.94425747122946,90.3286103847087,96.77017430415478,93.5709553346547,-3.242344949946002,-0.8259168329253157
halfcheetah-expert-v2|T=4|seed=1,halfcheetah-expert-v2,4,1,95.88598843542908,95.4825534119722,95.99544475740989,88.32744815169306,7.155105260279143,-0.10945632198080091
halfcheetah-expert-v2|T=7|seed=0,halfcheetah-expert-v2,7,0,96.9026990619432,46.607135828845756,97.24780777120483,57.640652632917934,-11.033516804072178,-0.3451087092616376
halfcheetah-expert-v2|T=7|seed=1,halfcheetah-expert-v2,7,1,96.72184677426311,52.38958991536482,86.47297573660882,42.54386588457963,9.845724030785192,10.248871037654297
halfcheetah-medium-replay-v2|T=10|seed=1,halfcheetah-medium-replay-v2,10,1,46.878960386687375,53.918439267999965,45.97110116969553,52.572316004201454,1.3461232637985105,0.9078592169918451
halfcheetah-medium-replay-v2|T=14|seed=0,halfcheetah-medium-replay-v2,14,0,47.12025338877426,51.85940051622274,47.193730446392856,51.724691146664625,0.13470936955811652,-0.07347705761859658
halfcheetah-medium-replay-v2|T=14|seed=1,halfcheetah-medium-replay-v2,14,1,47.29715638255443,54.4388761041934,47.093942720783424,51.122728862156826,3.316147242036571,0.2032136617710023
halfcheetah-medium-replay-v2|T=20|seed=0,halfcheetah-medium-replay-v2,20,0,48.039339606417116,54.666794860569055,49.37973901344518,52.25445239864659,2.4123424619224636,-1.340399407028066
halfcheetah-medium-replay-v2|T=20|seed=1,halfcheetah-medium-replay-v2,20,1,49.703009971721954,56.3498796628729,48.28809291699126,49.29295434663749,7.056925316235414,1.4149170547306937
walker2d-expert-v2|T=10|seed=0,walker2d-expert-v2,10,0,110.25839710920084,114.87418608664498,110.69695653245205,114.138066555012,0.7361195316329798,-0.4385594232512062
walker2d-expert-v2|T=10|seed=1,walker2d-expert-v2,10,1,110.38107909994514,115.70730992629319,110.29090019759367,113.33403056637448,2.373279359918712,0.09017890235146808
walker2d-expert-v2|T=14|seed=0,walker2d-expert-v2,14,0,111.597351256405,115.81939190438015,111.56333433517048,115.27974483815356,0.5396470662265926,0.03401692123452449
walker2d-expert-v2|T=14|seed=1,walker2d-expert-v2,14,1,7.970689603804945,1.8386548309702626,0.7864744399632089,-0.258564032067392,2.0972188630376545,7.184215163841736
walker2d-expert-v2|T=20|seed=0,walker2d-expert-v2,20,0,13.837169135716703,1.8275824611373814,0.8356340163928324,1.8275824611373814,0.0,13.00153511932387
walker2d-expert-v2|T=20|seed=1,walker2d-expert-v2,20,1,2.3093506045397363,1.8275824611373814,8.280182300131825,0.10888721366561735,1.718695247471764,-5.970831695592089
walker2d-expert-v2|T=4|seed=0,walker2d-expert-v2,4,0,109.22375828707568,111.607550043944,109.07162280872285,111.3105739140153,0.2969761299287086,0.15213547835283237
walker2d-expert-v2|T=4|seed=1,walker2d-expert-v2,4,1,108.53738441939367,112.00330113780265,108.32651616459546,111.17048446819061,0.8328166696120434,0.21086825479821414
walker2d-expert-v2|T=7|seed=0,walker2d-expert-v2,7,0,110.09588007829048,113.583764149635,109.97168081707673,112.8631073431216,0.7206568065134036,0.12419926121374658
walker2d-expert-v2|T=7|seed=1,walker2d-expert-v2,7,1,109.80062358086361,113.65623413705964,109.84630042989065,112.47885206858489,1.1773820684747562,-0.04567684902703206
walker2d-medium-replay-v2|T=10|seed=0,walker2d-medium-replay-v2,10,0,52.78375135132312,91.02816875499256,90.1817803104569,88.46505318846565,2.5631155665269176,-37.39802895913378
walker2d-medium-replay-v2|T=10|seed=1,walker2d-medium-replay-v2,10,1,88.05555748108485,89.11856645064688,89.37534305639397,88.6107982419937,0.5077682086531752,-1.319785575309126
walker2d-medium-replay-v2|T=14|seed=0,walker2d-medium-replay-v2,14,0,86.53094356939248,85.57047223964184,93.35862387851911,95.3554646832614,-9.784992443619558,-6.8276803091266345
walker2d-medium-replay-v2|T=14|seed=1,walker2d-medium-replay-v2,14,1,80.71851487608517,94.59189009818687,88.03897549095083,91.16928035377379,3.42260974441308,-7.320460614865667
walker2d-medium-replay-v2|T=20|seed=0,walker2d-medium-replay-v2,20,0,64.532574058438,47.83785232088634,89.89000821965955,82.00188047882212,-34.164028157935775,-25.357434161221548
