method,hop,tau,environment,stability,n_seed_cells,r_before_mean,slack_before_mean,r_after_mean,slack_after_mean
p3,2,4.0,halfcheetah-expert-v2,stable,2,0.0011060664209276982,0.0011060664209276982,0.001001013410921292,0.001001013410921292
p3,2,4.0,halfcheetah-medium-replay-v2,stable,2,0.014450820756965133,0.014450820756965133,0.014078115612295328,0.014078115612295328
p3,2,4.0,halfcheetah-medium-v2,stable,2,0.0006687147261235094,0.0006687147261235094,0.0005311907595564325,0.0005311907595564325
p3,2,4.0,hopper-expert-v2,stable,2,0.0038520389980734038,0.0038520389980734038,0.0034949692767241025,0.0034949692767241025
p3,2,4.0,hopper-medium-replay-v2,stable,2,0.004916099867412926,0.004916099867412926,0.004558499017764062,0.004558499017764062
p3,2,4.0,hopper-medium-v2,stable,2,0.0020538672690939563,0.0020538672690939563,0.0018745568027849213,0.0018745568027849213
p3,2,4.0,walker2d-expert-v2,stable,2,0.0011260499236067645,0.0011260499236067645,0.0010484395705681049,0.0010484395705681049
p3,2,4.0,walker2d-medium-replay-v2,stable,2,0.009107545612070389,0.009107545612070389,0.008761571626882292,0.008761571626882292
p3,2,4.0,walker2d-medium-v2,stable,2,0.0012307032125202788,0.0012307032125202788,0.0010451084272922184,0.0010451084272922184
p3,2,7.0,halfcheetah-expert-v2,stable,2,0.0003656244514442797,0.0003656244514442797,0.00025015412088214006,0.00025015412088214006
p3,2,7.0,halfcheetah-medium-replay-v2,stable,2,0.010716809057158105,0.010716809057158105,0.010482234456693273,0.010482234456693273
p3,2,7.0,halfcheetah-medium-v2,stable,2,-0.0005859616079315622,0.0,-0.0007284609245292728,0.0
p3,2,7.0,hopper-expert-v2,stable,2,0.004079752206965548,0.004079752206965548,0.0036510690103730425,0.0036510690103730425
p3,2,7.0,hopper-medium-replay-v2,stable,2,0.0005415865355948846,0.0005415865355948846,0.0001400028952236454,0.00016062204692524062
p3,2,7.0,hopper-medium-v2,stable,2,0.0007485885671205672,0.0007485885671205672,0.000590240836104261,0.000590240836104261
p3,2,7.0,walker2d-expert-v2,collapsed,1,-0.021671004215942702,0.0,-0.021719630374525067,0.0
p3,2,7.0,walker2d-expert-v2,stable,1,0.0010193297642286936,0.0010193297642286936,0.000950390248096511,0.000950390248096511
p3,2,7.0,walker2d-medium-replay-v2,stable,2,0.0029967942716520035,0.0029967942716520035,0.0027018473937685528,0.0027018473937685528
p3,2,7.0,walker2d-medium-v2,collapsed,1,-0.07043959114686604,0.0,-0.07046732900848429,0.0
p3,2,7.0,walker2d-medium-v2,stable,1,-0.00025629424149009594,0.0,-0.00044591395827442426,0.0
p3,2,10.0,halfcheetah-expert-v2,stable,2,-0.0006780271699189377,0.0,-0.0007658494456661558,0.0
p3,2,10.0,halfcheetah-medium-replay-v2,stable,2,0.008163443786672442,0.008163443786672442,0.00776661648817667,0.00776661648817667
p3,2,10.0,halfcheetah-medium-v2,stable,2,-0.002263584504027527,0.0,-0.002386524386084332,0.0
p3,2,10.0,hopper-expert-v2,collapsed,2,-0.032467588422984583,0.0,-0.03288823087808179,0.0
p3,2,10.0,hopper-medium-replay-v2,stable,2,-0.004105965915847776,0.0,-0.00448146343203204,0.0
p3,2,10.0,hopper-medium-v2,stable,2,0.0001365506628427937,0.00022513065189544434,-4.8732987893540525e-05,0.00013168843648303508
p3,2,10.0,walker2d-expert-v2,collapsed,2,-0.011113063537660839,0.0,-0.01108802693867883,0.0
p3,2,10.0,walker2d-medium-replay-v2,stable,2,-0.0020407446270231944,0.0,-0.002471319119817572,0.0
p3,2,10.0,walker2d-medium-v2,collapsed,1,-0.042753870575567454,0.0,-0.043065701821392466,0.0
p3,2,10.0,walker2d-medium-v2,stable,1,-0.0012429702856033842,0.0,-0.0014336553356173454,0.0
p3,2,14.0,halfcheetah-expert-v2,collapsed,2,-0.0024903206422051127,0.0,-0.002557295703419449,0.0
p3,2,14.0,halfcheetah-medium-replay-v2,stable,2,0.0040766031797794255,0.0040766031797794255,0.0038100052333600587,0.0038100052333600587
p3,2,14.0,halfcheetah-medium-v2,stable,2,-0.0038403424487460924,0.0,-0.00396250697630407,0.0
p3,2,14.0,hopper-expert-v2,collapsed,2,-0.04700042597147025,0.0,-0.04736453403660246,0.0
p3,2,14.0,hopper-medium-replay-v2,stable,2,-0.008810728114553967,0.0,-0.009217680401198969,0.0
p3,2,14.0,hopper-medium-v2,stable,2,-0.0018381796885398316,0.0,-0.0020219799109515435,0.0
p3,2,14.0,walker2d-expert-v2,collapsed,2,-0.02977530633041159,0.0,-0.02978586473028244,0.0
p3,2,14.0,walker2d-medium-replay-v2,collapsed,1,-0.011436123255124997,0.0,-0.011758308548433405,0.0
