key,method,environment,tau,seed,checkpoint_step,checkpoint_file_sha256,weights_sha256,config_sha256,dataset_sha256,normalization_sha256,selected_transition_sha256,common_noise_sha256,external_score,stability,n_rows,action_dim,target_to_next_data_rms,final_to_next_data_rms,final_to_target_rms,smoothed_target_to_next_data_rms,final_target_ratio,target_saturation_fraction,final_saturation_fraction,smoothed_target_saturation_fraction,smoothed_dataset_saturation_fraction,all_finite,raw_npz,raw_sha256
td3|halfcheetah-medium-v2|4|0,td3,halfcheetah-medium-v2,4.0,0,1000000,7ad214a025859acb7470c19e6614652556130d0cc6177ca94b94956828402cc4,ea13f8f19c206104dd3c967a71398ce2b71326b297f29f8f59f6a6c64d4a87cd,4b77f51c6f967d082f97bcd019acbe59745069cec83d57160c3b4ca4d6670fbd,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,52.55501555283176,stable,4096,6,0.19368262370357336,0.1958528906297425,0.028815853957883584,0.18655600611097298,1.0112052743022042,0.005900065104166667,0.005900065104166667,0.24568684895833334,0.24462890625,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_seed0.npz,f404c36f698005e7cfa773b8da70b64f7d133bef47e671e39ab77b999697acf1
p3|halfcheetah-medium-v2|4|0,p3,halfcheetah-medium-v2,4.0,0,1000000,21075ab730ae3e6075d22719218a44a7e1dc7bb00aff426c45fa2829448e1a54,021456f951e305b8c909c6ba828a3f8756237d910d1cb3784f9d59da57808590,8f1b9946d18f48b5fcc743e146ce9c0853c88f76abd7cde5d9c7ffa0d9702962,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,53.89746372095229,stable,4096,6,0.17250165001850615,0.21248339876918648,0.09571064798386512,0.16671869169462158,1.2317760366140906,0.0002848307291666667,0.016845703125,0.2413330078125,0.24462890625,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_mpi3_seed0.npz,497d423331130105ce16a592b7a75cdd772399c75461746649cdd139f57a7bbe
p4|halfcheetah-medium-v2|4|0,p4,halfcheetah-medium-v2,4.0,0,1000000,6d48330a086bb601cf61b06783fcff625b2dd5a22d4c86c44c3d1ca7690d9153,50f5084ac71a2e36f93ffa65674a9cc86e7f454c83beedc9fa76ab5c3ee98c0d,3ca6a600ef986ffe64d61bab91975171f2ceb717f970ea9e40bdca991c3b57e7,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,53.47275204566746,stable,4096,6,0.16833906153908365,0.21228635119497183,0.10576928814135751,0.1628992444565822,1.2610641241200269,0.00020345052083333334,0.029988606770833332,0.23982747395833334,0.24462890625,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_mpi4_seed0.npz,f8a2373b325496920fb3ee5bfb209d82f542b7c076682a26000c6df0a42cb8d1
td3|halfcheetah-medium-v2|4|1,td3,halfcheetah-medium-v2,4.0,1,1000000,f732ae36fb0e397420de204120ea6d3abbde97d1f119866b22904757158fe74f,ac5599bcebc343ab910c921bdf2a65c6eeb47c4ed6b71ed7bdefb931c8c79d1c,82d5729cb2722977b8b7e20024137eaccc265183ad4aa190e722a3e3ce856f0a,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,53.21404461769833,stable,4096,6,0.1951036710922668,0.19685219897970618,0.02830632715732409,0.18779937923904344,1.0089620450381607,0.018310546875,0.020914713541666668,0.247802734375,0.24462890625,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_seed1.npz,5f30ae9c544bac1ccf2e9746f5e27bb3ca6c542dd1a82aaeea0e4945e4171eb3
p3|halfcheetah-medium-v2|4|1,p3,halfcheetah-medium-v2,4.0,1,1000000,3b54238ba9a6f0f9832c07ec844c93d7b84aa908952f6bca3858f368cd062d58,469defb93f268ab9732066e778bc7fa6700b134709331b41115a43e538ddc494,e0f586d74480f6381a04a6a78b2105e228fd70d299443b63a2437f111c4a5c42,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,53.27348125692657,stable,4096,6,0.1730401759593382,0.20818770930939093,0.09238113576662452,0.16730426183759944,1.2031177624224785,0.000244140625,0.031209309895833332,0.23958333333333334,0.24462890625,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_mpi3_seed1.npz,57ecf143e1394b82a7ce854acbb573d7e17dab3f63c83b2eb2a5a34b4dda6be0
p4|halfcheetah-medium-v2|4|1,p4,halfcheetah-medium-v2,4.0,1,1000000,68480988ef99c1c98e7ece5939f28fc611896c2bff1fbfc50bf60800a3c603bf,7bb6fe82bda878477b522427c3bf0ac85f59f043743efe99a37bad8b3d1db5d0,575181e62e7bfd240a06a935d026429622039fe66b125931536a975d531497c5,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,52.81514565627216,stable,4096,6,0.1691652516520156,0.21427223721456343,0.10873893056874878,0.1639129758079979,1.2666445095671064,0.0,0.020467122395833332,0.23779296875,0.24462890625,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_mpi4_seed1.npz,5477426dd800a37147ef7107a7d04eddf45abc7af79fc7d737977920d4500c15
td3|halfcheetah-medium-v2|7|0,td3,halfcheetah-medium-v2,7.0,0,1000000,33354b38dc19476c1ecd01601ffc3746c82dc85ff4fb2ca29098fbf8759e2812,1a88c422f1d6d6282a0abfa2309737c41ce3da8b2b68c6d1d901a1f3bc37974a,41c953b8cdf26df106de176357a84a846d967ead4f85f1ef47852bc4316f516c,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,56.53405207509182,stable,4096,6,0.21722512822567894,0.21907901014452563,0.027847180857144452,0.2085393227280786,1.0085343805939462,0.044718424479166664,0.043375651041666664,0.2542317708333333,0.24462890625,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau7_seed0.npz,76e2e76fc0ebb2a8dbe1b1faaaad5f693d9544b81d813b43de9420d85da61b72
p3|halfcheetah-medium-v2|7|0,p3,halfcheetah-medium-v2,7.0,0,1000000,b8597e59803bf6789eb89c6a74f2e3cc8dc64908d549ac860220bfd6547f29fd,69684eec2822f7bf9bb8d7440b060d6555199510076047a8304587567f9114a3,270d03b0496836a1a82db827e7aebd80b8e9f13819081bb635496b170b7b24f2,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,56.58806324844725,stable,4096,6,0.17979495146950925,0.23513226755450875,0.11482039530645416,0.1736392876502432,1.3077801441737587,0.000244140625,0.035196940104166664,0.24605305989583334,0.24462890625,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau7_mpi3_seed0.npz,7264198f406ab743826cc7fc7f6dff2dc1349f74736aeaf25582f517f4c91265
p4|halfcheetah-medium-v2|7|0,p4,halfcheetah-medium-v2,7.0,0,1000000,4404bd9595bbcbacee61e95d73138b62f45039b0817ff9b73496a8978a4b5394,80767477810d45a66e0e55f4bd418936573a5545c4f78635b92515dbda0e4f77,fea53c00fe52db2aa35e16dae18ad29240e79ddd43e50cf7d6ffe0b6e4183112,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,57.724175554446,stable,4096,6,0.17539318862221026,0.24354342814163715,0.13558706853880034,0.16969777643794381,1.3885569334520722,0.0001220703125,0.024983723958333332,0.24173990885416666,0.24462890625,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau7_mpi4_seed0.npz,3ca1d496b4a9103a52071e465a9b34c8971745d3c453e5bd37715c8648cb0864
td3|halfcheetah-medium-v2|7|1,td3,halfcheetah-medium-v2,7.0,1,1000000,3d4e2a95eba777e84adb1dbf3015087669ebed743bcb14ace0dc10268542986f,f2226ceba71c3a40ee3df1d40181e3a1c89235e017a78d89a99db2a99fa85b69,272c94abe75c4aead4c3943761789cbc01b585b4c2349b2021674fecb06e8ec9,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,57.54999629458176,stable,4096,6,0.215551917208811,0.21764215374091325,0.028327652970533745,0.20699598836030014,1.00969713727982,0.06404622395833333,0.06734212239583333,0.2511393229166667,0.24462890625,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau7_seed1.npz,20b48bdb5bd345d0431d25df6dcbbc4c5ab7dea2bfa223f8c730a65f5d8e3846
p3|halfcheetah-medium-v2|7|1,p3,halfcheetah-medium-v2,7.0,1,1000000,316c80cb7e8b272863a802acf6e7065ab549d587472703fd2c76ac28cb148e1e,89b9b4bdcb144ccae30bde9aaff5773d2ff3c664d6f20157922e97091a7c20df,36fc11c0bfa3fd9c79b2c13be7c42bec840e146a1524ac61ba74e94a1b161113,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,57.49236408610612,stable,4096,6,0.18112132292566235,0.23770676093760174,0.11546051960582729,0.17481316774999375,1.3124173183914063,0.0004475911458333333,0.033406575520833336,0.24064127604166666,0.24462890625,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau7_mpi3_seed1.npz,be84316836d8837d4f0f5e8a68945793c2f78f379b3ff4d948fafec3c39eb155
p4|halfcheetah-medium-v2|7|1,p4,halfcheetah-medium-v2,7.0,1,1000000,5bba05c1fc78c49f595c2c2adf8e07059461ea774ef16404205599dab41c6a42,fc3bc00f39a0a93c70e3c0c86f50f8ce25a5313a3a7cf7d06735d56a4bff7610,9959678265e9454a51c9c12c351c1c6bc236429944716c937db2d9586fd34a5a,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,54.90533813855326,stable,4096,6,0.17535988954726384,0.24109721945754192,0.13099597860667164,0.16956241034444555,1.3748709586895596,0.0004475911458333333,0.0224609375,0.24100748697916666,0.24462890625,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau7_mpi4_seed1.npz,5cb453a69f735ab9631fb37cf91193f9d3ea9d735c7768b82f25a9552c755c3a
td3|halfcheetah-medium-v2|10|0,td3,halfcheetah-medium-v2,10.0,0,1000000,e3bb66d0e33047b49bf94c053151ca47c309db808c67b5a78068497f1c519a9a,68513ff7c1d8ed95ce25c8e7493e94112e91594cc404587a9abf7ba1ba377f2a,d83a527733155095c6e970a4d9ad02564d2fb33a8a7e36a42603c469df4c625d,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,57.86957846261852,stable,4096,6,0.24243982670630115,0.24624697077144006,0.034320304865687316,0.23189752507806374,1.0157034597692194,0.063232421875,0.0572509765625,0.247314453125,0.24462890625,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau10_seed0.npz,90d5d7b8485e21459c4ca33ae45932e310a9acece9c191c9341753f73d88bfc0
