key,method,environment,tau,seed,checkpoint_step,checkpoint_file_sha256,weights_sha256,config_sha256,dataset_sha256,normalization_sha256,selected_transition_sha256,common_noise_sha256,external_score,stability,critic_scope,critic_params_sha256,gamma,action_clip_target_fraction,action_clip_dataset_fraction,n_rows,delta_y_rms,delta_y_abs_mean,target_actor_rms,target_dataset_rms,target_actor_abs_mean,target_dataset_abs_mean,q_actor_abs_mean,q_dataset_abs_mean,all_finite,action_clip_target_fraction_no_noise,action_clip_dataset_fraction_no_noise,delta_y_rms_no_noise,delta_y_abs_mean_no_noise,smoothing_delta_y_rms_change,smoothing_delta_y_rms_ratio,no_noise_all_finite,raw_npz,raw_sha256
td3|halfcheetah-medium-v2|4|0,td3,halfcheetah-medium-v2,4.0,0,1000000,7ad214a025859acb7470c19e6614652556130d0cc6177ca94b94956828402cc4,ea13f8f19c206104dd3c967a71398ce2b71326b297f29f8f59f6a6c64d4a87cd,4b77f51c6f967d082f97bcd019acbe59745069cec83d57160c3b4ca4d6670fbd,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,52.55501555283176,stable,within_run_target_critic,3a78d06eb3521779ee713850dfbe91a8c61e885041b81c31c24b4d4ec3f45318,0.99,0.24568684895833334,0.24462890625,4096,3.2832701619878213,1.6644066978804768,504.2007845798827,502.8566397780556,502.0841093957024,500.7184323954741,502.3190446686931,500.93957295129076,True,0.0,0.0,3.2510002281862977,1.7773379259277133,0.03226993380152354,1.0099261555018488,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_seed0.npz,f404c36f698005e7cfa773b8da70b64f7d133bef47e671e39ab77b999697acf1
td3|halfcheetah-medium-v2|4|0,td3,halfcheetah-medium-v2,4.0,0,1000000,7ad214a025859acb7470c19e6614652556130d0cc6177ca94b94956828402cc4,ea13f8f19c206104dd3c967a71398ce2b71326b297f29f8f59f6a6c64d4a87cd,4b77f51c6f967d082f97bcd019acbe59745069cec83d57160c3b4ca4d6670fbd,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,52.55501555283176,stable,common_td3_target_critic,3a78d06eb3521779ee713850dfbe91a8c61e885041b81c31c24b4d4ec3f45318,0.99,0.24568684895833334,0.24462890625,4096,3.2832701619878213,1.6644066978804768,504.2007845798827,502.8566397780556,502.0841093957024,500.7184323954741,502.3190446686931,500.93957295129076,True,0.0,0.0,3.2510002281862977,1.7773379259277133,0.03226993380152354,1.0099261555018488,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_seed0.npz,f404c36f698005e7cfa773b8da70b64f7d133bef47e671e39ab77b999697acf1
p3|halfcheetah-medium-v2|4|0,p3,halfcheetah-medium-v2,4.0,0,1000000,21075ab730ae3e6075d22719218a44a7e1dc7bb00aff426c45fa2829448e1a54,021456f951e305b8c909c6ba828a3f8756237d910d1cb3784f9d59da57808590,8f1b9946d18f48b5fcc743e146ce9c0853c88f76abd7cde5d9c7ffa0d9702962,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,53.89746372095229,stable,within_run_target_critic,bc0b31c0e8af567a5a1f39c5f58315f60067aac48ee1dd60580c3525d694c513,0.99,0.2413330078125,0.24462890625,4096,3.0161835578290725,1.4510457149147986,449.4057943578121,448.44019459484343,447.45946403536436,446.4662233163366,447.14350471273065,446.1402312591672,True,0.0,0.0,3.0680348765347105,1.5362889994494617,-0.05185131870563797,0.983099501540151,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_mpi3_seed0.npz,497d423331130105ce16a592b7a75cdd772399c75461746649cdd139f57a7bbe
p3|halfcheetah-medium-v2|4|0,p3,halfcheetah-medium-v2,4.0,0,1000000,21075ab730ae3e6075d22719218a44a7e1dc7bb00aff426c45fa2829448e1a54,021456f951e305b8c909c6ba828a3f8756237d910d1cb3784f9d59da57808590,8f1b9946d18f48b5fcc743e146ce9c0853c88f76abd7cde5d9c7ffa0d9702962,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,53.89746372095229,stable,common_td3_target_critic,3a78d06eb3521779ee713850dfbe91a8c61e885041b81c31c24b4d4ec3f45318,0.99,0.2413330078125,0.24462890625,4096,2.549916155569023,1.2265227595344186,503.65245200067056,502.8566397780556,501.5222192272703,500.7184323954741,501.75147884199396,500.93957295129076,True,0.0,0.0,2.5180572954351357,1.2745153966918588,0.03185886013388739,1.0126521585476402,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_mpi3_seed0.npz,497d423331130105ce16a592b7a75cdd772399c75461746649cdd139f57a7bbe
p4|halfcheetah-medium-v2|4|0,p4,halfcheetah-medium-v2,4.0,0,1000000,6d48330a086bb601cf61b06783fcff625b2dd5a22d4c86c44c3d1ca7690d9153,50f5084ac71a2e36f93ffa65674a9cc86e7f454c83beedc9fa76ab5c3ee98c0d,3ca6a600ef986ffe64d61bab91975171f2ceb717f970ea9e40bdca991c3b57e7,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,53.47275204566746,stable,within_run_target_critic,afa55718178727a4a425a9b74774993ff52d8ae36faa12e338894d04785019ae,0.99,0.23982747395833334,0.24462890625,4096,2.8669563714706543,1.3857671091053634,437.69423039474873,436.8305084850273,435.60684788912954,434.72866466419265,435.17116517107934,434.28411140851676,True,0.0,0.0,2.7454770684740373,1.433138978574425,0.12147930299661702,1.0442470652519915,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_mpi4_seed0.npz,f8a2373b325496920fb3ee5bfb209d82f542b7c076682a26000c6df0a42cb8d1
p4|halfcheetah-medium-v2|4|0,p4,halfcheetah-medium-v2,4.0,0,1000000,6d48330a086bb601cf61b06783fcff625b2dd5a22d4c86c44c3d1ca7690d9153,50f5084ac71a2e36f93ffa65674a9cc86e7f454c83beedc9fa76ab5c3ee98c0d,3ca6a600ef986ffe64d61bab91975171f2ceb717f970ea9e40bdca991c3b57e7,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,53.47275204566746,stable,common_td3_target_critic,3a78d06eb3521779ee713850dfbe91a8c61e885041b81c31c24b4d4ec3f45318,0.99,0.23982747395833334,0.24462890625,4096,2.297281166030185,1.150349166635424,503.5172504517768,502.8566397780556,501.38452162304617,500.7184323954741,501.6123903528787,500.93957295129076,True,0.0,0.0,2.241081001136757,1.1827815591171382,0.05620016489342827,1.0250772572990094,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_mpi4_seed0.npz,f8a2373b325496920fb3ee5bfb209d82f542b7c076682a26000c6df0a42cb8d1
td3|halfcheetah-medium-v2|4|1,td3,halfcheetah-medium-v2,4.0,1,1000000,f732ae36fb0e397420de204120ea6d3abbde97d1f119866b22904757158fe74f,ac5599bcebc343ab910c921bdf2a65c6eeb47c4ed6b71ed7bdefb931c8c79d1c,82d5729cb2722977b8b7e20024137eaccc265183ad4aa190e722a3e3ce856f0a,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,53.21404461769833,stable,within_run_target_critic,cbe221f40bffabb017df9f8b4a2b2c35b5fea28ca2a47742d83439d4633375f3,0.99,0.247802734375,0.24462890625,4096,3.27050522997249,1.7254867700021714,507.3872679235074,505.9495986601946,505.23723085370335,503.7831640838781,505.5048853373155,504.03613102436066,True,0.0,0.0,3.4149903685734593,1.8946767892409118,-0.14448513860096934,0.9576909089025264,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_seed1.npz,5f30ae9c544bac1ccf2e9746f5e27bb3ca6c542dd1a82aaeea0e4945e4171eb3
td3|halfcheetah-medium-v2|4|1,td3,halfcheetah-medium-v2,4.0,1,1000000,f732ae36fb0e397420de204120ea6d3abbde97d1f119866b22904757158fe74f,ac5599bcebc343ab910c921bdf2a65c6eeb47c4ed6b71ed7bdefb931c8c79d1c,82d5729cb2722977b8b7e20024137eaccc265183ad4aa190e722a3e3ce856f0a,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,53.21404461769833,stable,common_td3_target_critic,cbe221f40bffabb017df9f8b4a2b2c35b5fea28ca2a47742d83439d4633375f3,0.99,0.247802734375,0.24462890625,4096,3.27050522997249,1.7254867700021714,507.3872679235074,505.9495986601946,505.23723085370335,503.7831640838781,505.5048853373155,504.03613102436066,True,0.0,0.0,3.4149903685734593,1.8946767892409118,-0.14448513860096934,0.9576909089025264,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_seed1.npz,5f30ae9c544bac1ccf2e9746f5e27bb3ca6c542dd1a82aaeea0e4945e4171eb3
p3|halfcheetah-medium-v2|4|1,p3,halfcheetah-medium-v2,4.0,1,1000000,3b54238ba9a6f0f9832c07ec844c93d7b84aa908952f6bca3858f368cd062d58,469defb93f268ab9732066e778bc7fa6700b134709331b41115a43e538ddc494,e0f586d74480f6381a04a6a78b2105e228fd70d299443b63a2437f111c4a5c42,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,53.27348125692657,stable,within_run_target_critic,a010055f85d5ac77df7ae572d8b4a53b1bed60c0ee37de6000c111e42fb1718c,0.99,0.23958333333333334,0.24462890625,4096,2.6785846894317737,1.346393978688866,451.1206205504615,450.23290072855707,449.18661602708937,448.29140967254955,448.88810268417,447.98385384120047,True,0.0,0.0,2.8855284801648833,1.4644554336369038,-0.20694379073310953,0.9282821874205572,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_mpi3_seed1.npz,57ecf143e1394b82a7ce854acbb573d7e17dab3f63c83b2eb2a5a34b4dda6be0
p3|halfcheetah-medium-v2|4|1,p3,halfcheetah-medium-v2,4.0,1,1000000,3b54238ba9a6f0f9832c07ec844c93d7b84aa908952f6bca3858f368cd062d58,469defb93f268ab9732066e778bc7fa6700b134709331b41115a43e538ddc494,e0f586d74480f6381a04a6a78b2105e228fd70d299443b63a2437f111c4a5c42,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,53.27348125692657,stable,common_td3_target_critic,cbe221f40bffabb017df9f8b4a2b2c35b5fea28ca2a47742d83439d4633375f3,0.99,0.23958333333333334,0.24462890625,4096,2.438915534672594,1.2508564800582826,506.7626677170263,505.9495986601946,504.6048676189357,503.7831640838781,504.8661345951259,504.03613102436066,True,0.0,0.0,2.505776851231532,1.3266566720791162,-0.06686131655893801,0.9733171305632913,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_mpi3_seed1.npz,57ecf143e1394b82a7ce854acbb573d7e17dab3f63c83b2eb2a5a34b4dda6be0
p4|halfcheetah-medium-v2|4|1,p4,halfcheetah-medium-v2,4.0,1,1000000,68480988ef99c1c98e7ece5939f28fc611896c2bff1fbfc50bf60800a3c603bf,7bb6fe82bda878477b522427c3bf0ac85f59f043743efe99a37bad8b3d1db5d0,575181e62e7bfd240a06a935d026429622039fe66b125931536a975d531497c5,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,52.81514565627216,stable,within_run_target_critic,f0d29bb5a182558d44db6672124895be3017320196277278ce46360f79d50c9e,0.99,0.23779296875,0.24462890625,4096,2.899599904543699,1.4176402713381684,438.2544343093337,437.3637876066534,434.89100667843087,434.0061550579891,434.44809324108064,433.5543037254829,True,0.0,0.0,2.8850063840422497,1.4830819342704489,0.014593520501449131,1.0050584014587176,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_mpi4_seed1.npz,5477426dd800a37147ef7107a7d04eddf45abc7af79fc7d737977920d4500c15
p4|halfcheetah-medium-v2|4|1,p4,halfcheetah-medium-v2,4.0,1,1000000,68480988ef99c1c98e7ece5939f28fc611896c2bff1fbfc50bf60800a3c603bf,7bb6fe82bda878477b522427c3bf0ac85f59f043743efe99a37bad8b3d1db5d0,575181e62e7bfd240a06a935d026429622039fe66b125931536a975d531497c5,41324e8487a9556d8cfa4538827f8937f4d63dae3030825ebc9f3a726ed08ca0,51caf28579bcf0013343423215dd5726ae413ef0b9b26b62ac1b2c5fc057f353,f20b34392225e6018651d4267640ab507f18639f458d111acf32721f16328ed6,1089581c802a0f5b9679e0f7426544a2e7d61c1b00ecc63f7b60086fbe80f210,52.81514565627216,stable,common_td3_target_critic,cbe221f40bffabb017df9f8b4a2b2c35b5fea28ca2a47742d83439d4633375f3,0.99,0.23779296875,0.24462890625,4096,2.3816609825950725,1.1931624098215252,506.6807821676948,505.9495986601946,504.52552349497057,503.7831640838781,504.78598901536316,504.03613102436066,True,0.0,0.0,2.3837789586352,1.2518547312822192,-0.002117976040127534,0.999111504851381,True,raw/halfcheetah-medium-v2/halfcheetah-medium-v2_tau4_mpi4_seed1.npz,5477426dd800a37147ef7107a7d04eddf45abc7af79fc7d737977920d4500c15
