environment,seed,T,K,h,n_states,full_resident,full_relu_cross,full_box_cross,full_tie_cross,full_boundary_ambiguous,full_boundary_touch,full_nonfinite,step_resident,step_relu_cross,step_box_cross,step_tie_cross,step_boundary_ambiguous,step_boundary_touch,step_nonfinite,full_residence_fraction,step_residence_fraction,full_affine_q_max_abs_residual
hopper-medium-replay-v2,1,0.025,1,0.025,512,492,20,0,0,0,0,0,492,20,0,0,0,0,0,0.9609375,0.9609375,2.7000623958883807e-13
hopper-medium-replay-v2,1,0.025,2,0.0125,512,492,20,0,0,0,0,0,500,12,0,0,0,0,0,0.9609375,0.9765625,2.7000623958883807e-13
hopper-medium-replay-v2,1,0.025,4,0.00625,512,492,20,0,0,0,0,0,507,5,0,0,0,0,0,0.9609375,0.990234375,2.7000623958883807e-13
hopper-medium-replay-v2,1,0.025,8,0.003125,512,492,20,0,0,0,0,0,510,2,0,0,0,0,0,0.9609375,0.99609375,2.7000623958883807e-13
hopper-medium-replay-v2,1,0.025,16,0.0015625,512,492,20,0,0,0,0,0,511,1,0,0,0,0,0,0.9609375,0.998046875,2.7000623958883807e-13
hopper-medium-replay-v2,1,0.05,1,0.05,512,461,51,0,0,0,0,0,461,51,0,0,0,0,0,0.900390625,0.900390625,2.0605739337042905e-13
hopper-medium-replay-v2,1,0.05,2,0.025,512,461,51,0,0,0,0,0,492,20,0,0,0,0,0,0.900390625,0.9609375,2.0605739337042905e-13
hopper-medium-replay-v2,1,0.05,4,0.0125,512,461,51,0,0,0,0,0,500,12,0,0,0,0,0,0.900390625,0.9765625,2.0605739337042905e-13
hopper-medium-replay-v2,1,0.05,8,0.00625,512,461,51,0,0,0,0,0,507,5,0,0,0,0,0,0.900390625,0.990234375,2.0605739337042905e-13
hopper-medium-replay-v2,1,0.05,16,0.003125,512,461,51,0,0,0,0,0,510,2,0,0,0,0,0,0.900390625,0.99609375,2.0605739337042905e-13
hopper-medium-replay-v2,1,0.1,1,0.1,512,406,106,0,0,0,0,0,406,106,0,0,0,0,0,0.79296875,0.79296875,1.8829382497642655e-13
hopper-medium-replay-v2,1,0.1,2,0.05,512,406,106,0,0,0,0,0,461,51,0,0,0,0,0,0.79296875,0.900390625,1.8829382497642655e-13
hopper-medium-replay-v2,1,0.1,4,0.025,512,406,106,0,0,0,0,0,492,20,0,0,0,0,0,0.79296875,0.9609375,1.8829382497642655e-13
hopper-medium-replay-v2,1,0.1,8,0.0125,512,406,106,0,0,0,0,0,500,12,0,0,0,0,0,0.79296875,0.9765625,1.8829382497642655e-13
hopper-medium-replay-v2,1,0.1,16,0.00625,512,406,106,0,0,0,0,0,507,5,0,0,0,0,0,0.79296875,0.990234375,1.8829382497642655e-13
hopper-medium-replay-v2,1,0.2,1,0.2,512,324,186,2,0,0,0,0,324,186,2,0,0,0,0,0.6328125,0.6328125,2.7000623958883807e-13
hopper-medium-replay-v2,1,0.2,2,0.1,512,324,186,2,0,0,0,0,406,106,0,0,0,0,0,0.6328125,0.79296875,2.7000623958883807e-13
hopper-medium-replay-v2,1,0.2,4,0.05,512,324,186,2,0,0,0,0,461,51,0,0,0,0,0,0.6328125,0.900390625,2.7000623958883807e-13
hopper-medium-replay-v2,1,0.2,8,0.025,512,324,186,2,0,0,0,0,492,20,0,0,0,0,0,0.6328125,0.9609375,2.7000623958883807e-13
hopper-medium-replay-v2,1,0.2,16,0.0125,512,324,186,2,0,0,0,0,500,12,0,0,0,0,0,0.6328125,0.9765625,2.7000623958883807e-13
