environment,seed,T,K,h,n_states,full_resident,full_relu_cross,full_box_cross,full_tie_cross,full_boundary_ambiguous,full_boundary_touch,full_nonfinite,step_resident,step_relu_cross,step_box_cross,step_tie_cross,step_boundary_ambiguous,step_boundary_touch,step_nonfinite,full_residence_fraction,step_residence_fraction,full_affine_q_max_abs_residual
walker2d-expert-v2,0,0.025,1,0.025,512,502,10,0,0,0,0,0,502,10,0,0,0,0,0,0.98046875,0.98046875,2.2737367544323206e-13
walker2d-expert-v2,0,0.025,2,0.0125,512,502,10,0,0,0,0,0,508,4,0,0,0,0,0,0.98046875,0.9921875,2.2737367544323206e-13
walker2d-expert-v2,0,0.025,4,0.00625,512,502,10,0,0,0,0,0,512,0,0,0,0,0,0,0.98046875,1.0,2.2737367544323206e-13
walker2d-expert-v2,0,0.025,8,0.003125,512,502,10,0,0,0,0,0,512,0,0,0,0,0,0,0.98046875,1.0,2.2737367544323206e-13
walker2d-expert-v2,0,0.025,16,0.0015625,512,502,10,0,0,0,0,0,512,0,0,0,0,0,0,0.98046875,1.0,2.2737367544323206e-13
walker2d-expert-v2,0,0.05,1,0.05,512,496,16,0,0,0,0,0,496,16,0,0,0,0,0,0.96875,0.96875,2.2737367544323206e-13
walker2d-expert-v2,0,0.05,2,0.025,512,496,16,0,0,0,0,0,502,10,0,0,0,0,0,0.96875,0.98046875,2.2737367544323206e-13
walker2d-expert-v2,0,0.05,4,0.0125,512,496,16,0,0,0,0,0,508,4,0,0,0,0,0,0.96875,0.9921875,2.2737367544323206e-13
walker2d-expert-v2,0,0.05,8,0.00625,512,496,16,0,0,0,0,0,512,0,0,0,0,0,0,0.96875,1.0,2.2737367544323206e-13
walker2d-expert-v2,0,0.05,16,0.003125,512,496,16,0,0,0,0,0,512,0,0,0,0,0,0,0.96875,1.0,2.2737367544323206e-13
walker2d-expert-v2,0,0.1,1,0.1,512,480,32,0,0,0,0,0,480,32,0,0,0,0,0,0.9375,0.9375,2.2737367544323206e-13
walker2d-expert-v2,0,0.1,2,0.05,512,480,32,0,0,0,0,0,496,16,0,0,0,0,0,0.9375,0.96875,2.2737367544323206e-13
walker2d-expert-v2,0,0.1,4,0.025,512,480,32,0,0,0,0,0,502,10,0,0,0,0,0,0.9375,0.98046875,2.2737367544323206e-13
walker2d-expert-v2,0,0.1,8,0.0125,512,480,32,0,0,0,0,0,508,4,0,0,0,0,0,0.9375,0.9921875,2.2737367544323206e-13
walker2d-expert-v2,0,0.1,16,0.00625,512,480,32,0,0,0,0,0,512,0,0,0,0,0,0,0.9375,1.0,2.2737367544323206e-13
walker2d-expert-v2,0,0.2,1,0.2,512,452,60,0,0,0,0,0,452,60,0,0,0,0,0,0.8828125,0.8828125,2.2737367544323206e-13
walker2d-expert-v2,0,0.2,2,0.1,512,452,60,0,0,0,0,0,480,32,0,0,0,0,0,0.8828125,0.9375,2.2737367544323206e-13
walker2d-expert-v2,0,0.2,4,0.05,512,452,60,0,0,0,0,0,496,16,0,0,0,0,0,0.8828125,0.96875,2.2737367544323206e-13
walker2d-expert-v2,0,0.2,8,0.025,512,452,60,0,0,0,0,0,502,10,0,0,0,0,0,0.8828125,0.98046875,2.2737367544323206e-13
walker2d-expert-v2,0,0.2,16,0.0125,512,452,60,0,0,0,0,0,508,4,0,0,0,0,0,0.8828125,0.9921875,2.2737367544323206e-13
