environment,seed,T,K,h,n_states,full_resident,full_relu_cross,full_box_cross,full_tie_cross,full_boundary_ambiguous,full_boundary_touch,full_nonfinite,step_resident,step_relu_cross,step_box_cross,step_tie_cross,step_boundary_ambiguous,step_boundary_touch,step_nonfinite,full_residence_fraction,step_residence_fraction,full_affine_q_max_abs_residual
walker2d-medium-replay-v2,1,0.025,1,0.025,512,429,83,0,0,0,0,0,429,83,0,0,0,0,0,0.837890625,0.837890625,3.410605131648481e-13
walker2d-medium-replay-v2,1,0.025,2,0.0125,512,429,83,0,0,0,0,0,463,49,0,0,0,0,0,0.837890625,0.904296875,3.410605131648481e-13
walker2d-medium-replay-v2,1,0.025,4,0.00625,512,429,83,0,0,0,0,0,484,28,0,0,0,0,0,0.837890625,0.9453125,3.410605131648481e-13
walker2d-medium-replay-v2,1,0.025,8,0.003125,512,429,83,0,0,0,0,0,495,17,0,0,0,0,0,0.837890625,0.966796875,3.410605131648481e-13
walker2d-medium-replay-v2,1,0.025,16,0.0015625,512,429,83,0,0,0,0,0,501,11,0,0,0,0,0,0.837890625,0.978515625,3.410605131648481e-13
walker2d-medium-replay-v2,1,0.05,1,0.05,512,362,150,0,0,0,0,0,362,150,0,0,0,0,0,0.70703125,0.70703125,3.481659405224491e-13
walker2d-medium-replay-v2,1,0.05,2,0.025,512,362,150,0,0,0,0,0,429,83,0,0,0,0,0,0.70703125,0.837890625,3.481659405224491e-13
walker2d-medium-replay-v2,1,0.05,4,0.0125,512,362,150,0,0,0,0,0,463,49,0,0,0,0,0,0.70703125,0.904296875,3.481659405224491e-13
walker2d-medium-replay-v2,1,0.05,8,0.00625,512,362,150,0,0,0,0,0,484,28,0,0,0,0,0,0.70703125,0.9453125,3.481659405224491e-13
walker2d-medium-replay-v2,1,0.05,16,0.003125,512,362,150,0,0,0,0,0,495,17,0,0,0,0,0,0.70703125,0.966796875,3.481659405224491e-13
walker2d-medium-replay-v2,1,0.1,1,0.1,512,262,250,0,0,0,0,0,262,250,0,0,0,0,0,0.51171875,0.51171875,2.7000623958883807e-13
walker2d-medium-replay-v2,1,0.1,2,0.05,512,262,250,0,0,0,0,0,362,150,0,0,0,0,0,0.51171875,0.70703125,2.7000623958883807e-13
walker2d-medium-replay-v2,1,0.1,4,0.025,512,262,250,0,0,0,0,0,429,83,0,0,0,0,0,0.51171875,0.837890625,2.7000623958883807e-13
walker2d-medium-replay-v2,1,0.1,8,0.0125,512,262,250,0,0,0,0,0,463,49,0,0,0,0,0,0.51171875,0.904296875,2.7000623958883807e-13
walker2d-medium-replay-v2,1,0.1,16,0.00625,512,262,250,0,0,0,0,0,484,28,0,0,0,0,0,0.51171875,0.9453125,2.7000623958883807e-13
walker2d-medium-replay-v2,1,0.2,1,0.2,512,145,367,0,0,0,0,0,145,367,0,0,0,0,0,0.283203125,0.283203125,2.2737367544323206e-13
walker2d-medium-replay-v2,1,0.2,2,0.1,512,145,367,0,0,0,0,0,262,250,0,0,0,0,0,0.283203125,0.51171875,2.2737367544323206e-13
walker2d-medium-replay-v2,1,0.2,4,0.05,512,145,367,0,0,0,0,0,362,150,0,0,0,0,0,0.283203125,0.70703125,2.2737367544323206e-13
walker2d-medium-replay-v2,1,0.2,8,0.025,512,145,367,0,0,0,0,0,429,83,0,0,0,0,0,0.283203125,0.837890625,2.2737367544323206e-13
walker2d-medium-replay-v2,1,0.2,16,0.0125,512,145,367,0,0,0,0,0,463,49,0,0,0,0,0,0.283203125,0.904296875,2.2737367544323206e-13
