environment,seed,T,K,h,n_states,full_resident,full_relu_cross,full_box_cross,full_tie_cross,full_boundary_ambiguous,full_boundary_touch,full_nonfinite,step_resident,step_relu_cross,step_box_cross,step_tie_cross,step_boundary_ambiguous,step_boundary_touch,step_nonfinite,full_residence_fraction,step_residence_fraction,full_affine_q_max_abs_residual
walker2d-medium-v2,1,0.025,1,0.025,512,493,19,0,0,0,0,0,493,19,0,0,0,0,0,0.962890625,0.962890625,2.2737367544323206e-13
walker2d-medium-v2,1,0.025,2,0.0125,512,493,19,0,0,0,0,0,501,11,0,0,0,0,0,0.962890625,0.978515625,2.2737367544323206e-13
walker2d-medium-v2,1,0.025,4,0.00625,512,493,19,0,0,0,0,0,507,5,0,0,0,0,0,0.962890625,0.990234375,2.2737367544323206e-13
walker2d-medium-v2,1,0.025,8,0.003125,512,493,19,0,0,0,0,0,510,2,0,0,0,0,0,0.962890625,0.99609375,2.2737367544323206e-13
walker2d-medium-v2,1,0.025,16,0.0015625,512,493,19,0,0,0,0,0,512,0,0,0,0,0,0,0.962890625,1.0,2.2737367544323206e-13
walker2d-medium-v2,1,0.05,1,0.05,512,477,35,0,0,0,0,0,477,35,0,0,0,0,0,0.931640625,0.931640625,2.2737367544323206e-13
walker2d-medium-v2,1,0.05,2,0.025,512,477,35,0,0,0,0,0,493,19,0,0,0,0,0,0.931640625,0.962890625,2.2737367544323206e-13
walker2d-medium-v2,1,0.05,4,0.0125,512,477,35,0,0,0,0,0,501,11,0,0,0,0,0,0.931640625,0.978515625,2.2737367544323206e-13
walker2d-medium-v2,1,0.05,8,0.00625,512,477,35,0,0,0,0,0,507,5,0,0,0,0,0,0.931640625,0.990234375,2.2737367544323206e-13
walker2d-medium-v2,1,0.05,16,0.003125,512,477,35,0,0,0,0,0,510,2,0,0,0,0,0,0.931640625,0.99609375,2.2737367544323206e-13
walker2d-medium-v2,1,0.1,1,0.1,512,441,71,0,0,0,0,0,441,71,0,0,0,0,0,0.861328125,0.861328125,1.8474111129762605e-13
walker2d-medium-v2,1,0.1,2,0.05,512,441,71,0,0,0,0,0,477,35,0,0,0,0,0,0.861328125,0.931640625,1.8474111129762605e-13
walker2d-medium-v2,1,0.1,4,0.025,512,441,71,0,0,0,0,0,493,19,0,0,0,0,0,0.861328125,0.962890625,1.8474111129762605e-13
walker2d-medium-v2,1,0.1,8,0.0125,512,441,71,0,0,0,0,0,501,11,0,0,0,0,0,0.861328125,0.978515625,1.8474111129762605e-13
walker2d-medium-v2,1,0.1,16,0.00625,512,441,71,0,0,0,0,0,507,5,0,0,0,0,0,0.861328125,0.990234375,1.8474111129762605e-13
walker2d-medium-v2,1,0.2,1,0.2,512,387,125,0,0,0,0,0,387,125,0,0,0,0,0,0.755859375,0.755859375,1.7053025658242404e-13
walker2d-medium-v2,1,0.2,2,0.1,512,387,125,0,0,0,0,0,441,71,0,0,0,0,0,0.755859375,0.861328125,1.7053025658242404e-13
walker2d-medium-v2,1,0.2,4,0.05,512,387,125,0,0,0,0,0,477,35,0,0,0,0,0,0.755859375,0.931640625,1.7053025658242404e-13
walker2d-medium-v2,1,0.2,8,0.025,512,387,125,0,0,0,0,0,493,19,0,0,0,0,0,0.755859375,0.962890625,1.7053025658242404e-13
walker2d-medium-v2,1,0.2,16,0.0125,512,387,125,0,0,0,0,0,501,11,0,0,0,0,0,0.755859375,0.978515625,1.7053025658242404e-13
