env,tau,seed,step,shadow_mu1_error_p50,shadow_muk_error_p50,paired_delta_muk_minus_mu1
hopper-medium-v2,10,0,250000,0.019370541051264102,0.07881257006919144,0.05944202901792734
hopper-medium-v2,10,0,500000,0.02826758558805189,0.036047838644631125,0.007780253056579235
hopper-medium-v2,10,0,750000,0.02851546375189873,0.03125416320820312,0.0027386994563043943
hopper-medium-v2,10,0,1000000,0.030110157138761265,0.029120168265847575,-0.00098998887291369
hopper-medium-v2,10,1,250000,0.026962821834632507,0.09697014636137871,0.07000732452674621
hopper-medium-v2,10,1,500000,0.02975737793704851,0.04576582700911534,0.016008449072066833
hopper-medium-v2,10,1,750000,0.026868598107533403,0.03980672134095401,0.012938123233420609
hopper-medium-v2,10,1,1000000,0.02357891490551902,0.03184276662527323,0.00826385171975421
hopper-medium-v2,20,0,250000,0.9999917856322085,1.0,8.214367791525845e-06
hopper-medium-v2,20,0,500000,0.9999999960182542,1.0,3.981745821945992e-09
hopper-medium-v2,20,0,750000,1.0,0.9999999999620697,-3.793032554710862e-11
hopper-medium-v2,20,0,1000000,1.0,0.9999999999929047,-7.095324328076913e-12
hopper-medium-v2,20,1,250000,0.9908361371555394,1.0,0.00916386284446058
hopper-medium-v2,20,1,500000,0.9999730127029618,1.0,2.6987297038205682e-05
hopper-medium-v2,20,1,750000,0.9999902677456783,1.0,9.732254321659362e-06
hopper-medium-v2,20,1,1000000,0.9999999996595745,1.0,3.404254655947625e-10
walker2d-medium-v2,4,0,250000,0.07705274593460518,0.07205429356300162,-0.004998452371603554
walker2d-medium-v2,4,0,500000,0.08956203615237945,0.06862092308632314,-0.02094111306605631
walker2d-medium-v2,4,0,750000,0.07162649522058574,0.0764767856139845,0.004850290393398751
walker2d-medium-v2,4,0,1000000,0.06883204967904927,0.10890480891278692,0.040072759233737654
walker2d-medium-v2,4,1,250000,0.07164958631482243,0.08108422311227403,0.009434636797451601
walker2d-medium-v2,4,1,500000,0.07016732772090538,0.10517759079081271,0.03501026306990733
walker2d-medium-v2,4,1,750000,0.06570832441918592,0.06293386879961721,-0.002774455619568711
walker2d-medium-v2,4,1,1000000,0.06108674513857991,0.056589091868898524,-0.004497653269681386
walker2d-medium-v2,7,0,250000,0.580266857225104,1.0,0.41973314277489604
walker2d-medium-v2,7,0,500000,0.06957261684709769,1.0,0.9304273831529023
walker2d-medium-v2,7,0,750000,0.06651933888338298,1.0,0.933480661116617
walker2d-medium-v2,7,0,1000000,0.07284617149293426,1.0,0.9271538285070657
walker2d-medium-v2,7,1,250000,0.06895075448010218,0.3556649284457801,0.28671417396567794
walker2d-medium-v2,7,1,500000,0.057219267073086374,0.18628780081673765,0.1290685337436513
walker2d-medium-v2,7,1,750000,0.06226153653644217,0.12159329959618306,0.059331763059740895
walker2d-medium-v2,7,1,1000000,0.07042739933183703,0.0954352155245951,0.02500781619275806
