env,tau,seed,step,shadow_mu1_error_p50,shadow_muk_error_p50,paired_delta_muk_minus_mu1
hopper-medium-v2,10,0,250000,0.028775947962525757,0.032809987502291506,0.004034039539765749
hopper-medium-v2,10,0,500000,0.02697069931748228,0.015224196654066428,-0.011746502663415852
hopper-medium-v2,10,0,750000,0.0327012492439686,0.02302083944517995,-0.009680409798788647
hopper-medium-v2,10,0,1000000,0.02831105362145911,0.025514510952143327,-0.0027965426693157824
hopper-medium-v2,10,1,250000,0.034201120839322696,0.03830483622834936,0.004103715389026666
hopper-medium-v2,10,1,500000,0.03219567318881645,0.02856116507006371,-0.0036345081187527384
hopper-medium-v2,10,1,750000,0.035604235888498606,0.026100662544417307,-0.0095035733440813
hopper-medium-v2,10,1,1000000,0.03022799158402946,0.029116212038664928,-0.0011117795453645316
hopper-medium-v2,20,0,250000,0.2827766103468779,0.9999034139415808,0.7171268035947029
hopper-medium-v2,20,0,500000,0.014813259518022573,1.0,0.9851867404819774
hopper-medium-v2,20,0,750000,0.02782896993385052,1.0,0.9721710300661495
hopper-medium-v2,20,0,1000000,0.03045580461703426,1.0,0.9695441953829658
hopper-medium-v2,20,1,250000,0.9917865404256894,1.0,0.008213459574310633
hopper-medium-v2,20,1,500000,0.5373487803401489,0.9999994668082781,0.46265068646812924
hopper-medium-v2,20,1,750000,0.3369514099856899,0.9999996054517963,0.6630481954661065
hopper-medium-v2,20,1,1000000,1.0,1.0,0.0
walker2d-medium-v2,4,0,250000,0.09110709960210558,0.07490931262352288,-0.016197786978582707
walker2d-medium-v2,4,0,500000,0.07706959161577853,0.06938803850972758,-0.007681553106050953
walker2d-medium-v2,4,0,750000,0.08123572382110089,0.06533948488243854,-0.01589623893866235
walker2d-medium-v2,4,0,1000000,0.07639640735775462,0.07005470305733534,-0.006341704300419276
walker2d-medium-v2,4,1,250000,0.08999558635423818,0.07661099382694174,-0.013384592527296443
walker2d-medium-v2,4,1,500000,0.08706539652658901,0.07653040244223364,-0.010534994084355376
walker2d-medium-v2,4,1,750000,0.07206701058330747,0.06255193109539928,-0.009515079487908196
walker2d-medium-v2,4,1,1000000,0.08266554049055092,1.0,0.917334459509449
walker2d-medium-v2,7,0,250000,0.06925592684229281,0.9999999999999998,0.930744073157707
walker2d-medium-v2,7,0,500000,0.06000859505172011,0.9999999999999997,0.9399914049482796
walker2d-medium-v2,7,0,750000,0.075984161622979,0.9999999999999991,0.9240158383770201
walker2d-medium-v2,7,0,1000000,0.0673369110738498,0.9999999999999969,0.9326630889261471
walker2d-medium-v2,7,1,250000,0.07352971960012275,0.08495381393529869,0.011424094335175938
walker2d-medium-v2,7,1,500000,0.0615624469354458,0.9999999999999997,0.9384375530645539
walker2d-medium-v2,7,1,750000,0.07848208771601646,1.0,0.9215179122839835
walker2d-medium-v2,7,1,1000000,0.08190382664889645,1.0,0.9180961733511035
