env,tau,K,seed,geometry,policy,hop,eval_mode,d4rl_score,run
hopper-medium-v2,0.05,1,0,fr,baseline,1,mean,40.523835,hopper-medium-v2_iql_tau0.05_mpi1_seed0_87f41cc3ecd4
hopper-medium-v2,0.05,1,1,fr,baseline,1,mean,45.297964,hopper-medium-v2_iql_tau0.05_mpi1_seed1_58e1190145bf
hopper-medium-v2,0.05,1,2,fr,baseline,1,mean,41.843519,hopper-medium-v2_iql_tau0.05_mpi1_seed2_06bc243f8fc2
hopper-medium-v2,0.05,1,3,fr,baseline,1,mean,41.978406,hopper-medium-v2_iql_tau0.05_mpi1_seed3_a7a17251ec06
hopper-medium-v2,0.05,2,0,fr,mpi,2,mean,40.490668,hopper-medium-v2_iql_tau0.05_mpi2_seed0_7e50c99eda87
hopper-medium-v2,0.05,2,1,fr,mpi,2,mean,40.475817,hopper-medium-v2_iql_tau0.05_mpi2_seed1_e839019f5e16
hopper-medium-v2,0.05,2,2,fr,mpi,2,mean,39.949656,hopper-medium-v2_iql_tau0.05_mpi2_seed2_f3eb206c441b
hopper-medium-v2,0.05,2,3,fr,mpi,2,mean,42.287004,hopper-medium-v2_iql_tau0.05_mpi2_seed3_fbd9993a0af4
hopper-medium-v2,0.05,3,0,fr,mpi,3,mean,45.295239,hopper-medium-v2_iql_tau0.05_mpi3_seed0_48b364daa529
hopper-medium-v2,0.05,3,1,fr,mpi,3,mean,46.360380,hopper-medium-v2_iql_tau0.05_mpi3_seed1_084f7f2d0409
hopper-medium-v2,0.05,3,2,fr,mpi,3,mean,43.270883,hopper-medium-v2_iql_tau0.05_mpi3_seed2_64f72dc72058
hopper-medium-v2,0.05,3,3,fr,mpi,3,mean,43.172530,hopper-medium-v2_iql_tau0.05_mpi3_seed3_bf0a7484d6b8
hopper-medium-v2,0.1,1,0,fr,baseline,1,mean,43.074304,hopper-medium-v2_iql_tau0.1_mpi1_seed0_734ab233e161
hopper-medium-v2,0.1,1,1,fr,baseline,1,mean,44.724469,hopper-medium-v2_iql_tau0.1_mpi1_seed1_bd45e14275f2
hopper-medium-v2,0.1,1,2,fr,baseline,1,mean,41.095143,hopper-medium-v2_iql_tau0.1_mpi1_seed2_4a90026ce4a0
hopper-medium-v2,0.1,1,3,fr,baseline,1,mean,42.952920,hopper-medium-v2_iql_tau0.1_mpi1_seed3_c24ac7da5591
hopper-medium-v2,0.1,2,0,fr,mpi,2,mean,41.234634,hopper-medium-v2_iql_tau0.1_mpi2_seed0_a87d39294f51
hopper-medium-v2,0.1,2,1,fr,mpi,2,mean,42.639694,hopper-medium-v2_iql_tau0.1_mpi2_seed1_88d5aafde1d1
hopper-medium-v2,0.1,2,2,fr,mpi,2,mean,40.355341,hopper-medium-v2_iql_tau0.1_mpi2_seed2_420e8d90b88a
