env,tau,K,seed,variant,geometry,gaussian_qbc_mode,policy,hop,eval_mode,step,status,d4rl_score,run,machine,hostname,source,schema,eval_sha256
hopper-expert-v2,1.5,2,0,awr_gaussian_fr,fr,na,mpi,2,mean,1000000,completed,0.6779445595426206,hopper-expert-v2_iql_tau1.5_mpi2_seed0_dcf39d4e51bd,svcho,iisl-server02,/home/svcho/MPI_sweep/results/iql_awr_fr_hopper_expert/hopper-expert-v2_iql_tau1.5_mpi2_seed0_dcf39d4e51bd,iql_actor_geometry_v5_consistent_gaussian,d7923a99a901c283bf79538999c6686a0ebc156dd8c53a33e6d938aa8f6a39af
hopper-expert-v2,1.5,2,1,awr_gaussian_fr,fr,na,mpi,2,mean,1000000,completed,0.677713357549582,hopper-expert-v2_iql_tau1.5_mpi2_seed1_37a71de2a8be,svcho,iisl-server02,/home/svcho/MPI_sweep/results/iql_awr_fr_hopper_expert/hopper-expert-v2_iql_tau1.5_mpi2_seed1_37a71de2a8be,iql_actor_geometry_v5_consistent_gaussian,d0e6fa20719adecc70f85567616ee6534bfda4d18226ed9c2be79d4410b80321
hopper-expert-v2,1.5,2,2,awr_gaussian_fr,fr,na,mpi,2,mean,1000000,completed,0.6775656214104885,hopper-expert-v2_iql_tau1.5_mpi2_seed2_3c1b42fd96db,svcho,iisl-server02,/home/svcho/MPI_sweep/results/iql_awr_fr_hopper_expert/hopper-expert-v2_iql_tau1.5_mpi2_seed2_3c1b42fd96db,iql_actor_geometry_v5_consistent_gaussian,3ecca4a4ac705c5c001886930f30e974a0725af0142b1092cb0de2075ffa5d66
hopper-expert-v2,1.5,2,3,awr_gaussian_fr,fr,na,mpi,2,mean,1000000,completed,0.6775779787937553,hopper-expert-v2_iql_tau1.5_mpi2_seed3_231a8e89f5fb,svcho,iisl-server02,/home/svcho/MPI_sweep/results/iql_awr_fr_hopper_expert/hopper-expert-v2_iql_tau1.5_mpi2_seed3_231a8e89f5fb,iql_actor_geometry_v5_consistent_gaussian,f432c6a777b35b8c2190cbf9acee303ec77c1e3635b386a4ea84af402484b46b
hopper-expert-v2,1.5,3,0,awr_gaussian_fr,fr,na,mpi,3,mean,1000000,completed,0.6779445595426206,hopper-expert-v2_iql_tau1.5_mpi3_seed0_865a6d420fa5,svcho,iisl-server02,/home/svcho/MPI_sweep/results/iql_awr_fr_hopper_expert/hopper-expert-v2_iql_tau1.5_mpi3_seed0_865a6d420fa5,iql_actor_geometry_v5_consistent_gaussian,ad65c06425b13521015b604917cc66a950d30e040edebef770cd1ad17d577120
hopper-expert-v2,1.5,3,1,awr_gaussian_fr,fr,na,mpi,3,mean,1000000,completed,0.677713357549582,hopper-expert-v2_iql_tau1.5_mpi3_seed1_7c13e075cce1,svcho,iisl-server02,/home/svcho/MPI_sweep/results/iql_awr_fr_hopper_expert/hopper-expert-v2_iql_tau1.5_mpi3_seed1_7c13e075cce1,iql_actor_geometry_v5_consistent_gaussian,c32774936bd9599864483aad72381f43d69a74e9a43f0245936e1b2454e1808f
hopper-expert-v2,1.5,3,2,awr_gaussian_fr,fr,na,mpi,3,mean,1000000,completed,0.6775656214104885,hopper-expert-v2_iql_tau1.5_mpi3_seed2_76deb2f91aae,svcho,iisl-server02,/home/svcho/MPI_sweep/results/iql_awr_fr_hopper_expert/hopper-expert-v2_iql_tau1.5_mpi3_seed2_76deb2f91aae,iql_actor_geometry_v5_consistent_gaussian,3d8475035f2d9b105f8826ef367fde4193c61104afb32302b29129a3cb3fff50
hopper-expert-v2,1.5,3,3,awr_gaussian_fr,fr,na,mpi,3,mean,1000000,completed,0.6775779787937553,hopper-expert-v2_iql_tau1.5_mpi3_seed3_31bd86e94541,svcho,iisl-server02,/home/svcho/MPI_sweep/results/iql_awr_fr_hopper_expert/hopper-expert-v2_iql_tau1.5_mpi3_seed3_31bd86e94541,iql_actor_geometry_v5_consistent_gaussian,aaf24c0e9505981c6220b1830b7f7f0864ab7cc4228a9b52b78b75006c514be0
hopper-expert-v2,10,2,0,awr_gaussian_fr,fr,na,mpi,2,mean,1000000,completed,0.6779445595426206,hopper-expert-v2_iql_tau10_mpi2_seed0_9ec3711f4304,svcho,iisl-server02,/home/svcho/MPI_sweep/results/iql_awr_fr_hopper_expert/hopper-expert-v2_iql_tau10_mpi2_seed0_9ec3711f4304,iql_actor_geometry_v5_consistent_gaussian,fc3b85552136f87707124e9c55f1fccfd11a15017964f25d252ccf3d913e3803
hopper-expert-v2,10,2,1,awr_gaussian_fr,fr,na,mpi,2,mean,1000000,completed,0.677713357549582,hopper-expert-v2_iql_tau10_mpi2_seed1_51ece99912fb,svcho,iisl-server02,/home/svcho/MPI_sweep/results/iql_awr_fr_hopper_expert/hopper-expert-v2_iql_tau10_mpi2_seed1_51ece99912fb,iql_actor_geometry_v5_consistent_gaussian,8dd9a6ed35b877e13b02813bf48ae87fb4368e2dde67c7b2078477c4d886bf13
