env,tau,K,seed,geometry,policy,hop,eval_mode,d4rl_score
hopper-medium-replay-v2,0.05,1,0,w2,baseline,1,mean,27.381620533897323
hopper-medium-replay-v2,0.05,1,0,w2,baseline,1,sample,22.438807660643466
hopper-medium-replay-v2,0.05,2,0,w2,baseline,1,mean,23.138501004936078
hopper-medium-replay-v2,0.05,2,0,w2,baseline,1,sample,23.064861592850626
hopper-medium-replay-v2,0.05,2,0,w2,mpi,1,mean,23.138501004936078
hopper-medium-replay-v2,0.05,2,0,w2,mpi,1,sample,23.064861592850626
hopper-medium-replay-v2,0.05,2,0,w2,mpi,2,mean,58.55933608431458
hopper-medium-replay-v2,0.05,2,0,w2,mpi,2,sample,33.034774025786966
hopper-medium-replay-v2,0.4,1,0,w2,baseline,1,mean,39.09914923717243
hopper-medium-replay-v2,0.4,1,0,w2,baseline,1,sample,38.18526348058841
hopper-medium-replay-v2,0.4,2,0,w2,baseline,1,mean,45.712629870603095
hopper-medium-replay-v2,0.4,2,0,w2,baseline,1,sample,36.842236550484316
hopper-medium-replay-v2,0.4,2,0,w2,mpi,1,mean,45.712629870603095
hopper-medium-replay-v2,0.4,2,0,w2,mpi,1,sample,36.842236550484316
hopper-medium-replay-v2,0.4,2,0,w2,mpi,2,mean,60.29824707055496
hopper-medium-replay-v2,0.4,2,0,w2,mpi,2,sample,68.85168627922347
hopper-medium-replay-v2,1.25,1,0,w2,baseline,1,mean,0.8592074368816297
hopper-medium-replay-v2,1.25,1,0,w2,baseline,1,sample,0.8957953694907718
hopper-medium-replay-v2,1.25,2,0,w2,baseline,1,mean,4.710384511936896
hopper-medium-replay-v2,1.25,2,0,w2,baseline,1,sample,4.927720479249995
hopper-medium-replay-v2,1.25,2,0,w2,mpi,1,mean,4.710384511936896
hopper-medium-replay-v2,1.25,2,0,w2,mpi,1,sample,4.927720479249995
hopper-medium-replay-v2,1.25,2,0,w2,mpi,2,mean,4.565111862677299
hopper-medium-replay-v2,1.25,2,0,w2,mpi,2,sample,4.545691630928687
hopper-medium-replay-v2,10.0,1,0,w2,baseline,1,mean,0.7897999514018477
hopper-medium-replay-v2,10.0,1,0,w2,baseline,1,sample,0.7897999514018477
hopper-medium-replay-v2,40.0,1,0,w2,baseline,1,mean,1.8211670628000998
hopper-medium-replay-v2,40.0,1,0,w2,baseline,1,sample,2.0141819082146606
hopper-medium-replay-v2,4.0,1,0,w2,baseline,1,mean,1.6392040140439685
hopper-medium-replay-v2,4.0,1,0,w2,baseline,1,sample,1.615747668933738
hopper-medium-replay-v2,4.0,2,0,w2,baseline,1,mean,0.8467658528077439
hopper-medium-replay-v2,4.0,2,0,w2,baseline,1,sample,0.8364154494224566
hopper-medium-replay-v2,4.0,2,0,w2,mpi,1,mean,0.8467658528077439
hopper-medium-replay-v2,4.0,2,0,w2,mpi,1,sample,0.8364154494224566
hopper-medium-replay-v2,4.0,2,0,w2,mpi,2,mean,0.8144589734526216
hopper-medium-replay-v2,4.0,2,0,w2,mpi,2,sample,0.8144543121598682
hopper-medium-v2,0.05,1,0,w2,baseline,1,mean,45.10867293409707
hopper-medium-v2,0.05,1,0,w2,baseline,1,sample,43.63185474851582
hopper-medium-v2,0.05,1,1,w2,baseline,1,mean,42.398794925545516
hopper-medium-v2,0.05,1,1,w2,baseline,1,sample,40.91435822007446
hopper-medium-v2,0.05,1,2,w2,baseline,1,mean,38.89125219204724
hopper-medium-v2,0.05,1,2,w2,baseline,1,sample,39.29570681573294
hopper-medium-v2,0.05,1,3,w2,baseline,1,mean,42.88800811946134
hopper-medium-v2,0.05,1,3,w2,baseline,1,sample,41.16039188893243
hopper-medium-v2,0.05,4,0,w2,baseline,1,mean,42.89745198406319
hopper-medium-v2,0.05,4,0,w2,baseline,1,sample,40.38208494665633
hopper-medium-v2,0.05,4,0,w2,mpi,1,mean,42.89745198406319
hopper-medium-v2,0.05,4,0,w2,mpi,1,sample,40.38208494665633
hopper-medium-v2,0.05,4,0,w2,mpi,4,mean,42.22893805375581
hopper-medium-v2,0.05,4,0,w2,mpi,4,sample,47.88896861286187
hopper-medium-v2,0.1,1,0,w2,baseline,1,mean,42.7220320887006
hopper-medium-v2,0.1,1,0,w2,baseline,1,sample,38.56527089715174
hopper-medium-v2,0.1,1,1,w2,baseline,1,mean,39.577969876031105
hopper-medium-v2,0.1,1,1,w2,baseline,1,sample,40.493695489929216
hopper-medium-v2,0.1,1,2,w2,baseline,1,mean,39.451568380312224
hopper-medium-v2,0.1,1,2,w2,baseline,1,sample,32.16731063861479
hopper-medium-v2,0.1,1,3,w2,baseline,1,mean,43.65542314200888
hopper-medium-v2,0.1,1,3,w2,baseline,1,sample,39.74894418136583
hopper-medium-v2,0.2,1,0,w2,baseline,1,mean,39.87388605209254
hopper-medium-v2,0.2,1,0,w2,baseline,1,sample,42.71010350225356
hopper-medium-v2,0.2,1,1,w2,baseline,1,mean,40.405580180995464
hopper-medium-v2,0.2,1,1,w2,baseline,1,sample,42.40242658351332
hopper-medium-v2,0.4,4,0,w2,baseline,1,mean,42.7220320887006
hopper-medium-v2,0.4,4,0,w2,baseline,1,sample,38.56527089715174
hopper-medium-v2,0.4,4,0,w2,mpi,1,mean,42.7220320887006
hopper-medium-v2,0.4,4,0,w2,mpi,1,sample,38.56527089715174
hopper-medium-v2,0.4,4,0,w2,mpi,4,mean,100.47046967624405
hopper-medium-v2,0.4,4,0,w2,mpi,4,sample,95.52389928918676
hopper-medium-v2,1.25,4,0,w2,baseline,1,mean,46.86811074428882
hopper-medium-v2,1.25,4,0,w2,baseline,1,sample,47.216017918033614
hopper-medium-v2,1.25,4,0,w2,mpi,1,mean,46.86811074428882
hopper-medium-v2,1.25,4,0,w2,mpi,1,sample,47.216017918033614
hopper-medium-v2,1.25,4,0,w2,mpi,4,mean,86.9840518100602
hopper-medium-v2,1.25,4,0,w2,mpi,4,sample,84.67903613423694
hopper-medium-v2,10.0,2,0,w2,baseline,1,mean,0.5838164472620713
