variant,tau,n,mean_d4rl
awr_gaussian_fr,0.05,28,54.1948
awr_gaussian_fr,0.1,28,51.8225
awr_gaussian_fr,0.2,4,42.9523
awr_gaussian_fr,0.4,28,59.5561
awr_gaussian_fr,0.7,4,48.3676
awr_gaussian_fr,1.25,4,62.3099
awr_gaussian_fr,1.5,28,36.4539
awr_gaussian_fr,2.5,28,29.2501
awr_gaussian_fr,4,26,29.4844
awr_gaussian_fr,7,0,
awr_gaussian_fr,10,24,28.7324
awr_gaussian_fr,12,0,
awr_gaussian_fr,14,0,
awr_gaussian_fr,17,0,
awr_gaussian_fr,20,0,
qbc_deterministic_w2,0.05,4,47.8203
qbc_deterministic_w2,0.1,4,45.4209
qbc_deterministic_w2,0.2,4,46.0868
qbc_deterministic_w2,0.4,4,46.3542
qbc_deterministic_w2,0.7,4,47.6670
qbc_deterministic_w2,1.25,4,48.9524
qbc_deterministic_w2,1.5,2,47.8405
qbc_deterministic_w2,2.5,0,
qbc_deterministic_w2,4,2,52.3071
qbc_deterministic_w2,7,0,
qbc_deterministic_w2,10,2,93.9223
qbc_deterministic_w2,12,0,
qbc_deterministic_w2,14,0,
qbc_deterministic_w2,17,0,
qbc_deterministic_w2,20,0,
qbc_gaussian_w2,0.05,28,67.4959
qbc_gaussian_w2,0.1,31,70.0135
qbc_gaussian_w2,0.2,36,63.0294
qbc_gaussian_w2,0.4,34,62.6888
qbc_gaussian_w2,0.7,32,65.3481
qbc_gaussian_w2,1.25,29,59.7634
qbc_gaussian_w2,1.5,32,42.2072
qbc_gaussian_w2,2.5,30,20.3438
qbc_gaussian_w2,4,28,5.0275
qbc_gaussian_w2,7,28,1.6092
qbc_gaussian_w2,10,26,-0.1007
qbc_gaussian_w2,12,0,
qbc_gaussian_w2,14,0,
qbc_gaussian_w2,17,0,
qbc_gaussian_w2,20,0,
