env,tau,K,seed,variant,geometry,gaussian_qbc_mode,policy,hop,eval_mode,step,status,d4rl_score,run,machine,hostname,source,schema,eval_sha256
halfcheetah-expert-v2,0.05,1,0,qbc_gaussian_w2,w2,stochastic,baseline,1,mean,1000000,completed,92.358820185191,halfcheetah-expert-v2_iql_tau0.05_mpi1_seed0_38f1d0c6d040,ext_csv,DGX-H200-02,/raid/ext_csv/MPI_store/iql_qbc_gaussian_w2_hc_walker_s0123/halfcheetah-expert-v2_iql_tau0.05_mpi1_seed0_38f1d0c6d040,iql_actor_geometry_v6_chain_q_scale,adb001154f3138e6c6c26f9010161cd433c96315b304e3cb5b4b88e12dce0204
halfcheetah-expert-v2,0.05,1,1,qbc_gaussian_w2,w2,stochastic,baseline,1,mean,1000000,completed,92.2576735908776,halfcheetah-expert-v2_iql_tau0.05_mpi1_seed1_ac8e14911117,ext_csv,DGX-H200-02,/raid/ext_csv/MPI_store/iql_qbc_gaussian_w2_hc_walker_s0123/halfcheetah-expert-v2_iql_tau0.05_mpi1_seed1_ac8e14911117,iql_actor_geometry_v6_chain_q_scale,945075215c54ffe660bb348ac5071d63ab9cf6eefa56696b243748fdf6096f40
halfcheetah-expert-v2,0.05,1,2,qbc_gaussian_w2,w2,stochastic,baseline,1,mean,1000000,completed,92.7593770599105,halfcheetah-expert-v2_iql_tau0.05_mpi1_seed2_20cc139d9ab0,ext_csv,DGX-H200-02,/raid/ext_csv/MPI_store/iql_qbc_gaussian_w2_hc_walker_s0123/halfcheetah-expert-v2_iql_tau0.05_mpi1_seed2_20cc139d9ab0,iql_actor_geometry_v6_chain_q_scale,dea7e4eecf657873ec65d7db2c39da1f168207b14623666a755f313299a37a77
halfcheetah-expert-v2,0.05,1,3,qbc_gaussian_w2,w2,stochastic,baseline,1,mean,1000000,completed,91.83679050437054,halfcheetah-expert-v2_iql_tau0.05_mpi1_seed3_b5c686d66afe,ext_csv,DGX-H200-02,/raid/ext_csv/MPI_store/iql_qbc_gaussian_w2_hc_walker_s0123/halfcheetah-expert-v2_iql_tau0.05_mpi1_seed3_b5c686d66afe,iql_actor_geometry_v6_chain_q_scale,f4c54db1b456f0bc4b524ddab076c33c96af90fd1746b4b0930b23a4e6947670
halfcheetah-expert-v2,0.05,2,0,qbc_gaussian_w2,w2,stochastic,mpi,2,mean,1000000,completed,94.68669429548709,halfcheetah-expert-v2_iql_tau0.05_mpi2_seed0_d8da2934dbca,ext_csv,DGX-H200-02,/raid/ext_csv/MPI_store/iql_qbc_gaussian_w2_hc_walker_s0123/halfcheetah-expert-v2_iql_tau0.05_mpi2_seed0_d8da2934dbca,iql_actor_geometry_v6_chain_q_scale,7bab932129dc7fab5a2b2ce586815922096e84e6c619392cd042f859da97cdcb
halfcheetah-expert-v2,0.05,2,1,qbc_gaussian_w2,w2,stochastic,mpi,2,mean,1000000,completed,87.0963535724205,halfcheetah-expert-v2_iql_tau0.05_mpi2_seed1_3520761e1d68,ext_csv,DGX-H200-02,/raid/ext_csv/MPI_store/iql_qbc_gaussian_w2_hc_walker_s0123/halfcheetah-expert-v2_iql_tau0.05_mpi2_seed1_3520761e1d68,iql_actor_geometry_v6_chain_q_scale,d78add32f70a87ae80e1dd843f16d2b2a188d6dbcf2de26be099d49d63f18470
halfcheetah-expert-v2,0.05,2,2,qbc_gaussian_w2,w2,stochastic,mpi,2,mean,1000000,completed,79.6383289555978,halfcheetah-expert-v2_iql_tau0.05_mpi2_seed2_96beca6764a6,ext_csv,DGX-H200-02,/raid/ext_csv/MPI_store/iql_qbc_gaussian_w2_hc_walker_s0123/halfcheetah-expert-v2_iql_tau0.05_mpi2_seed2_96beca6764a6,iql_actor_geometry_v6_chain_q_scale,bf424bbc478b3754c570ae0a031da3e392b72162bd1291f3e6fd4c3bf73d2449
halfcheetah-expert-v2,0.1,1,0,qbc_gaussian_w2,w2,stochastic,baseline,1,mean,1000000,completed,93.32782352393816,halfcheetah-expert-v2_iql_tau0.1_mpi1_seed0_81d8fd6e48e8,ext_csv,DGX-H200-02,/raid/ext_csv/MPI_store/iql_qbc_gaussian_w2_hc_walker_s0123/halfcheetah-expert-v2_iql_tau0.1_mpi1_seed0_81d8fd6e48e8,iql_actor_geometry_v6_chain_q_scale,114e88545eb19aebff10a5c7c792a3789f7fe0450ca2c9af4ba25f20e9b8a5ce
halfcheetah-expert-v2,0.1,1,1,qbc_gaussian_w2,w2,stochastic,baseline,1,mean,1000000,completed,92.50406836376477,halfcheetah-expert-v2_iql_tau0.1_mpi1_seed1_82c16694a891,ext_csv,DGX-H200-02,/raid/ext_csv/MPI_store/iql_qbc_gaussian_w2_hc_walker_s0123/halfcheetah-expert-v2_iql_tau0.1_mpi1_seed1_82c16694a891,iql_actor_geometry_v6_chain_q_scale,a168f78c66e0478f61b48b49e710c186e3620b869a00994afd154f89441ba6f1
halfcheetah-expert-v2,0.1,1,2,qbc_gaussian_w2,w2,stochastic,baseline,1,mean,1000000,completed,92.53393355855843,halfcheetah-expert-v2_iql_tau0.1_mpi1_seed2_645c9ffd8641,ext_csv,DGX-H200-02,/raid/ext_csv/MPI_store/iql_qbc_gaussian_w2_hc_walker_s0123/halfcheetah-expert-v2_iql_tau0.1_mpi1_seed2_645c9ffd8641,iql_actor_geometry_v6_chain_q_scale,cee7e7ff181f7e7eb036d2c0c8189d38c82b4b3157bd21e09bd94851ba08b1c2
