tau,hopper-medium-expert-v2,halfcheetah-medium-expert-v2,walker2d-medium-expert-v2
0.05,48.3357,56.7350,99.7773
0.1,46.4251,80.0606,107.6409
0.2,47.1539,80.2018,108.4100
0.4,54.4169,93.0781,109.2017
0.7,57.8273,93.6032,109.6345
1.5,109.9944,83.8569,110.1678
2.5,107.7837,74.0259,110.5126
4,103.4665,52.6606,111.3736
7,102.8642,50.4335,0.7391
10,1.8137,63.0806,6.8055
12,1.8137,74.1037,5.5708
14,2.5545,65.9207,-0.1554
17,1.8137,41.2963,11.4956
20,0.7845,39.2211,12.6311
24,2.2410,48.8699,2.4618
28,0.7331,58.2840,3.7285
34,0.5810,42.2862,2.4618
40,0.7730,39.0746,2.4618
