host,env,T,K,seed,first_score,recenter_pi4,fixed_ref_pi4,paired_delta,status
choi,halfcheetah-medium-v2,4,4,0,47.45080612753137,53.540010984051165,50.1145206711946,3.4254903128565672,complete
choi,halfcheetah-medium-v2,4,4,2,47.80711215238062,53.84622756898849,50.51591025352656,3.330317315461926,complete
choi,halfcheetah-medium-v2,7,4,0,,,,,incomplete
choi,hopper-expert-v2,4,4,1,104.30662951933985,110.65783233412856,96.13313555973704,14.524696774391515,complete
choi,hopper-expert-v2,4,4,3,98.66692135354745,76.67258412438113,98.20148784119634,-21.528903716815208,complete
choi,hopper-expert-v2,7,4,1,100.12823115371926,74.39100345799227,94.76982171011103,-20.378818252118762,complete
choi,hopper-expert-v2,7,4,3,102.89768938737411,95.04262302083875,104.66400001702263,-9.621376996183884,complete
choi,hopper-medium-replay-v2,4,4,0,64.49053902085947,99.01100952009813,99.75094940547689,-0.7399398853787602,complete
choi,hopper-medium-replay-v2,4,4,2,35.80549979118554,99.16625911965473,100.3683684628554,-1.202109343200675,complete
choi,hopper-medium-replay-v2,7,4,0,45.81499595181987,97.77310907428422,98.24860309455177,-0.47549402026754706,complete
choi,hopper-medium-replay-v2,7,4,2,83.94920163019789,99.23419305447563,99.4588412760017,-0.22464822152608122,complete
choi,hopper-medium-v2,4,4,1,43.084966113357396,68.07820871178637,49.5271659929387,18.551042718847675,complete
choi,hopper-medium-v2,4,4,3,45.38803966676998,60.7835707364837,48.54730058709701,12.23627014938669,complete
choi,hopper-medium-v2,7,4,1,49.81790619097552,79.94969302302295,52.01737605800658,27.932316965016362,complete
choi,hopper-medium-v2,7,4,3,46.009710954933794,97.01870683003644,57.73743796510947,39.281268864926965,complete
