method,K,integrator,T,h,seed,environment,score,status,source_csv
TD3+BC,1,Imp,0.05,0.05,0,hopper-medium-v2,53.5427,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.05,0.05,0,hopper-medium-replay-v2,27.8122,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.05,0.05,0,hopper-expert-v2,100.3683,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.05,0.05,0,halfcheetah-medium-v2,43.6503,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.05,0.05,0,halfcheetah-medium-replay-v2,40.6276,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.05,0.05,0,halfcheetah-expert-v2,92.7637,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.05,0.05,0,walker2d-medium-v2,75.837,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.05,0.05,0,walker2d-medium-replay-v2,21.2021,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.05,0.05,0,walker2d-expert-v2,106.4532,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.05,0.05,1,hopper-medium-v2,39.2031,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.05,0.05,1,hopper-medium-replay-v2,50.2257,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.05,0.05,1,hopper-expert-v2,104.3899,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.05,0.05,1,halfcheetah-medium-v2,42.4816,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.05,0.05,1,halfcheetah-medium-replay-v2,40.4671,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.05,0.05,1,halfcheetah-expert-v2,92.286,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.05,0.05,1,walker2d-medium-v2,78.6091,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.05,0.05,1,walker2d-medium-replay-v2,56.6805,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.05,0.05,1,walker2d-expert-v2,106.8435,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.05,0.05,2,hopper-medium-v2,45.9492,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.05,0.05,2,hopper-medium-replay-v2,31.0302,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.05,0.05,2,hopper-expert-v2,103.2052,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.05,0.05,2,halfcheetah-medium-v2,42.6675,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.05,0.05,2,halfcheetah-medium-replay-v2,40.1509,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.05,0.05,2,halfcheetah-expert-v2,93.7021,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.05,0.05,2,walker2d-medium-v2,70.9467,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.05,0.05,2,walker2d-medium-replay-v2,12.6088,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.05,0.05,2,walker2d-expert-v2,106.6649,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.05,0.05,3,hopper-medium-v2,45.8386,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.05,0.05,3,hopper-medium-replay-v2,38.2164,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.05,0.05,3,hopper-expert-v2,92.9833,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.05,0.05,3,halfcheetah-medium-v2,43.0017,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.05,0.05,3,halfcheetah-medium-replay-v2,39.4461,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.05,0.05,3,halfcheetah-expert-v2,93.1843,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.05,0.05,3,walker2d-medium-v2,72.2119,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.05,0.05,3,walker2d-medium-replay-v2,45.4426,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.05,0.05,3,walker2d-expert-v2,106.615,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.07,0.07,0,hopper-medium-v2,51.0956,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.07,0.07,0,hopper-medium-replay-v2,29.9066,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.07,0.07,0,hopper-expert-v2,102.3052,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.07,0.07,0,halfcheetah-medium-v2,43.3666,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.07,0.07,0,halfcheetah-medium-replay-v2,40.2345,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.07,0.07,0,halfcheetah-expert-v2,93.9778,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.07,0.07,0,walker2d-medium-v2,77.6624,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.07,0.07,0,walker2d-medium-replay-v2,19.9273,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.07,0.07,0,walker2d-expert-v2,106.5429,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.07,0.07,1,hopper-medium-v2,48.7254,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.07,0.07,1,hopper-medium-replay-v2,19.7796,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.07,0.07,1,hopper-expert-v2,95.5426,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.07,0.07,1,halfcheetah-medium-v2,43.8803,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.07,0.07,1,halfcheetah-medium-replay-v2,40.8819,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.07,0.07,1,halfcheetah-expert-v2,91.9785,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.07,0.07,1,walker2d-medium-v2,81.5009,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.07,0.07,1,walker2d-medium-replay-v2,12.7355,available,K=1/Imp/seed1.csv
