method,T,seeds,available_runs,expected_runs,status,mean_score,std_seed_task_means,score_below_20_runs,score_below_20_task_means
TD3+BC,0.05,"0,1",18,18,complete,65.19131111111112,3.8442567265987884,0,0
TD3+BC,0.05,"2,3",18,18,complete,62.43696666666666,2.358153974805056,1,0
TD3+BC,0.05,"0,1,2,3",36,36,complete,63.81413888888889,3.0509896354861055,1,0
TD3+BC,0.07,"0,1",18,18,complete,61.490677777777776,1.8232041246113955,3,1
TD3+BC,0.07,"2,3",0,18,missing,,,,
TD3+BC,0.07,"0,1,2,3",18,36,partial,,,,
TD3+BC,0.1,"0,1",18,18,complete,62.80693333333333,1.6152361635224166,0,0
TD3+BC,0.1,"2,3",18,18,complete,62.32406111111111,1.1302630492746215,0,0
TD3+BC,0.1,"0,1,2,3",36,36,complete,62.56549722222222,1.1718429939629291,0,0
TD3+BC,0.15,"0,1",18,18,complete,62.05765,0.08160797929094345,2,1
TD3+BC,0.15,"2,3",0,18,missing,,,,
TD3+BC,0.15,"0,1,2,3",18,36,partial,,,,
TD3+BC,0.2,"0,1",18,18,complete,64.84909999999999,0.07333482995105751,0,0
TD3+BC,0.2,"2,3",18,18,complete,64.31349444444444,1.0715260459840534,0,0
TD3+BC,0.2,"0,1,2,3",36,36,complete,64.58129722222222,0.6929212017846729,0,0
TD3+BC,0.25,"0,1",18,18,complete,65.5939611111111,1.2872878951501066,0,0
TD3+BC,0.25,"2,3",0,18,missing,,,,
TD3+BC,0.25,"0,1,2,3",18,36,partial,,,,
TD3+BC,0.3,"0,1",18,18,complete,67.63717222222223,4.243151375350142,1,0
TD3+BC,0.3,"2,3",0,18,missing,,,,
TD3+BC,0.3,"0,1,2,3",18,36,partial,,,,
TD3+BC,0.4,"0,1",18,18,complete,64.21737222222222,1.1805619116430213,1,0
TD3+BC,0.4,"2,3",18,18,complete,67.65831111111112,2.803866949212976,0,0
TD3+BC,0.4,"0,1,2,3",36,36,complete,65.93784166666667,2.6517577021778713,1,0
TD3+BC,0.5,"0,1",18,18,complete,68.17361666666667,0.8065967052994915,0,0
TD3+BC,0.5,"2,3",0,18,missing,,,,
TD3+BC,0.5,"0,1,2,3",18,36,partial,,,,
TD3+BC,0.7,"0,1",18,18,complete,69.14043333333333,0.8171640233072296,0,0
TD3+BC,0.7,"2,3",18,18,complete,66.24421111111111,4.165691755842167,1,0
TD3+BC,0.7,"0,1,2,3",36,36,complete,67.69232222222223,2.966976463572126,1,0
TD3+BC,1,"0,1",18,18,complete,69.9577888888889,2.768323048345338,0,0
TD3+BC,1,"2,3",0,18,missing,,,,
TD3+BC,1,"0,1,2,3",18,36,partial,,,,
TD3+BC,1.5,"0,1",18,18,complete,75.43374444444444,1.9333399341522088,0,0
